Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-27 20:00:00,1.68,1.7,1.21,
2022-10-26 20:00:00,1.66,1.72,3.33,-0.011904761904761862
2023-01-25 19:00:00,1.5,1.3,-13.19,-0.09638554216867468
2023-04-26 20:00:00,2.99,3.14,4.89,0.9933333333333334
2023-07-26 20:00:00,1.86,1.9,2.05,-0.37792642140468224
2023-10-25 20:00:00,1.95,2.0,2.65,0.048387096774193505
2024-01-24 19:00:00,1.85,1.85,0.1,-0.05128205128205121
2024-04-24 20:00:00,3.41,3.49,2.35,0.8432432432432433
2024-07-24 20:00:00,2.24,2.26,0.92,-0.3431085043988269
2024-10-23 20:00:00,2.27,2.26,-0.5,0.013392857142856984
2025-01-29 19:00:00,2.03,2.13,4.72,-0.10572687224669608
2025-04-30 20:00:00,3.58,3.67,2.45,0.7635467980295569
