Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-26 20:00:00,1.06,0.65,-38.79,
2022-10-30 20:00:00,0.67,0.73,8.26,-0.3679245283018868
2023-02-05 19:00:00,1.31,1.27,-2.87,0.9552238805970148
2023-04-26 20:00:00,0.73,0.89,22.55,-0.4427480916030535
2023-07-26 20:00:00,0.74,1.21,63.51,0.013698630136986356
2023-10-25 20:00:00,1.15,1.66,44.35,0.554054054054054
2024-02-05 19:00:00,1.95,2.28,17.18,0.6956521739130437
2024-04-24 20:00:00,1.69,1.72,1.69,-0.1333333333333333
2024-07-24 20:00:00,0.96,1.29,34.19,-0.4319526627218935
2024-10-23 20:00:00,1.46,1.42,-2.89,0.5208333333333333
2025-02-09 19:00:00,1.9,3.14,65.07,0.3013698630136985
2025-04-27 20:00:00,-0.62,-0.24,61.29,-1.3263157894736843
