Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-20 20:00:00,5.09,4.96,-2.52,
2022-10-26 20:00:00,5.04,4.2,-16.7,-0.00982318271119842
2023-01-23 19:00:00,3.84,2.82,-26.58,-0.23809523809523814
2023-04-26 20:00:00,3.92,2.31,-41.04,0.02083333333333326
2023-07-19 20:00:00,3.23,3.52,9.13,-0.17602040816326525
2023-10-25 20:00:00,3.25,4.45,36.78,0.006191950464396356
2024-01-24 19:00:00,2.64,2.24,-15.04,-0.1876923076923076
2024-04-24 20:00:00,3.31,3.21,-2.88,0.2537878787878787
2024-07-22 20:00:00,3.29,3.14,-4.61,-0.006042296072507614
2024-10-23 20:00:00,3.76,4.51,19.94,0.1428571428571428
2025-01-20 19:00:00,2.82,3.09,9.65,-0.25
2025-04-21 20:00:00,3.71,4.06,9.53,0.3156028368794326
