Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-19 20:00:00,0.47,0.54,14.94,
2022-10-19 20:00:00,0.49,0.51,3.39,0.042553191489361764
2023-01-24 19:00:00,0.46,0.47,1.13,-0.061224489795918324
2023-04-19 20:00:00,0.43,0.48,12.3,-0.0652173913043479
2023-07-19 20:00:00,0.49,0.49,-0.68,0.13953488372093026
2023-10-18 20:00:00,0.43,0.42,-1.28,-0.12244897959183676
2024-01-23 19:00:00,0.44,0.45,1.74,0.023255813953488413
2024-04-16 20:00:00,0.45,0.46,1.79,0.022727272727272707
2024-08-04 20:00:00,0.48,0.49,2.67,0.06666666666666665
2024-10-15 20:00:00,0.48,0.46,-3.54,0.0
2025-01-22 19:00:00,0.42,0.42,-0.71,-0.125
2025-04-15 20:00:00,0.37,0.34,-7.96,-0.11904761904761907
