Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-13 20:00:00,2.67,2.81,5.07,
2022-09-27 20:00:00,3.13,3.39,8.17,0.17228464419475653
2022-12-20 19:00:00,3.03,3.12,3.0,-0.03194888178913746
2023-03-28 20:00:00,3.04,3.14,3.4,0.0033003300330034513
2023-07-12 20:00:00,3.19,3.33,4.32,0.049342105263157965
2023-09-25 20:00:00,3.67,3.7,0.69,0.15047021943573657
2023-12-20 19:00:00,3.49,3.61,3.32,-0.049046321525885506
2024-03-26 20:00:00,3.58,3.84,7.39,0.025787965616045794
2024-07-17 20:00:00,3.79,3.99,5.15,0.05865921787709505
2024-09-24 20:00:00,0.95,1.1,15.4,-0.7493403693931399
2024-12-18 19:00:00,1.01,1.09,7.43,0.06315789473684208
2025-03-25 20:00:00,1.06,1.13,7.03,0.04950495049504955
