Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-03 20:00:00,1.46,1.64,12.67,
2022-11-02 20:00:00,-0.23,-0.12,47.26,-1.1575342465753424
2023-01-31 19:00:00,0.05,0.16,212.13,-1.2173913043478262
2023-05-02 20:00:00,0.93,1.16,24.46,17.6
2023-08-02 20:00:00,1.58,1.6,0.96,0.6989247311827957
2023-11-07 19:00:00,-0.23,-0.23,1.41,-1.1455696202531644
2024-01-30 19:00:00,0.06,0.15,157.16,-1.2608695652173914
2024-04-30 20:00:00,0.84,0.89,5.75,13.0
2024-07-30 20:00:00,1.73,1.83,6.09,1.0595238095238098
2024-11-05 19:00:00,-0.3,-0.49,-64.4,-1.1734104046242775
2025-02-04 19:00:00,0.31,0.32,2.22,-2.033333333333333
2025-05-06 20:00:00,0.88,1.13,28.61,1.838709677419355
