Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-24 20:00:00,2.23,2.57,15.1,
2022-10-24 20:00:00,2.52,2.62,3.91,0.13004484304932729
2023-01-23 19:00:00,2.33,2.47,6.02,-0.07539682539682535
2023-04-18 20:00:00,2.42,2.53,4.6,0.03862660944205998
2023-07-23 20:00:00,2.86,3.21,12.34,0.18181818181818188
2023-10-23 20:00:00,3.21,3.5,8.99,0.12237762237762251
2024-01-28 19:00:00,3.04,3.43,12.89,-0.052959501557632405
2024-04-28 20:00:00,2.87,2.91,1.56,-0.05592105263157887
2024-07-28 20:00:00,2.97,3.36,13.06,0.03484320557491283
2024-10-27 20:00:00,3.45,3.67,6.42,0.16161616161616155
2025-01-27 19:00:00,3.36,3.84,14.31,-0.026086956521739202
2025-04-27 20:00:00,3.1,3.42,10.17,-0.07738095238095233
