Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-25 20:00:00,0.38,0.78,107.84,
2022-10-24 20:00:00,0.46,0.75,61.37,0.21052631578947367
2023-01-23 19:00:00,1.13,1.24,9.26,1.4565217391304346
2023-04-24 20:00:00,0.14,0.27,97.53,-0.8761061946902655
2023-07-24 20:00:00,0.46,0.68,46.87,2.2857142857142856
2023-10-23 20:00:00,0.56,0.82,46.36,0.21739130434782616
2024-01-22 19:00:00,0.91,1.03,13.44,0.625
2024-04-22 20:00:00,0.66,0.82,25.11,-0.27472527472527475
2024-07-22 20:00:00,0.99,1.2,21.78,0.5
2024-10-21 20:00:00,1.14,1.15,1.21,0.15151515151515138
2025-01-22 19:00:00,1.04,1.32,26.68,-0.08771929824561397
2025-04-21 20:00:00,1.27,1.49,17.09,0.22115384615384603
