Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-01 20:00:00,1.52,1.58,4.2,
2022-10-26 20:00:00,1.43,1.9,33.27,-0.05921052631578949
2023-02-01 19:00:00,1.5,1.67,11.71,0.04895104895104896
2023-04-26 20:00:00,1.54,1.37,-10.81,0.026666666666666616
2023-08-02 20:00:00,1.64,1.66,1.06,0.06493506493506485
2023-11-06 19:00:00,1.92,2.29,19.44,0.1707317073170731
2024-02-05 19:00:00,1.76,1.72,-2.24,-0.08333333333333326
2024-04-24 20:00:00,-1.49,-1.32,11.59,-1.8465909090909092
2024-08-07 20:00:00,1.6,2.01,25.65,-2.073825503355705
2024-11-05 19:00:00,1.55,2.02,29.99,-0.03125
2025-02-10 19:00:00,1.7,1.9,11.58,0.09677419354838701
2025-04-23 20:00:00,1.79,1.81,1.4,0.05294117647058827
