Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-25 20:00:00,1.2,1.14,-4.8,
2022-10-24 20:00:00,1.88,2.25,19.9,0.5666666666666667
2023-01-30 19:00:00,1.69,2.12,25.66,-0.10106382978723405
2023-04-24 20:00:00,1.73,2.21,27.57,0.02366863905325456
2023-07-24 20:00:00,1.85,1.91,3.02,0.06936416184971095
2023-10-23 20:00:00,1.88,2.28,21.37,0.01621621621621605
2024-01-29 19:00:00,1.16,1.24,6.84,-0.3829787234042553
2024-04-22 20:00:00,2.15,2.62,22.09,0.853448275862069
2024-07-22 20:00:00,2.75,3.06,11.29,0.2790697674418605
2024-10-21 20:00:00,2.43,2.96,21.59,-0.11636363636363634
2025-01-27 19:00:00,1.89,1.92,1.51,-0.22222222222222232
2025-04-28 20:00:00,2.74,2.78,1.41,0.44973544973545
