Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-25 20:00:00,1.3,1.21,-6.58,
2022-10-24 20:00:00,1.25,1.06,-15.09,-0.03846153846153855
2023-02-01 19:00:00,1.19,1.05,-11.64,-0.04800000000000004
2023-04-24 20:00:00,1.06,1.17,10.2,-0.10924369747899154
2023-07-24 20:00:00,1.34,1.44,7.7,0.26415094339622636
2023-10-23 20:00:00,1.45,1.55,7.2,0.08208955223880587
2024-01-29 19:00:00,1.59,1.64,2.93,0.09655172413793123
2024-04-24 20:00:00,1.51,1.89,25.21,-0.05031446540880502
2024-07-22 20:00:00,1.84,1.89,2.46,0.2185430463576159
2024-10-28 20:00:00,1.85,2.12,14.63,0.005434782608695565
2025-02-03 19:00:00,2.13,2.15,1.13,0.15135135135135114
2025-04-23 20:00:00,2.01,2.27,13.15,-0.05633802816901412
