Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-07 20:00:00,1.44,1.54,6.72,
2022-11-06 19:00:00,1.32,1.36,3.31,-0.08333333333333326
2023-02-07 19:00:00,0.96,0.97,1.3,-0.2727272727272728
2023-05-07 20:00:00,0.87,0.87,-0.13,-0.09375
2023-08-06 20:00:00,1.1,0.86,-21.65,0.26436781609195403
2023-11-05 19:00:00,0.75,0.89,18.51,-0.31818181818181823
2024-02-19 19:00:00,0.75,0.72,-4.51,0.0
2024-05-05 20:00:00,0.87,1.13,30.62,0.15999999999999992
2024-08-05 20:00:00,1.01,1.16,14.46,0.16091954022988508
2024-11-04 19:00:00,1.08,1.04,-3.53,0.06930693069306937
2025-02-17 19:00:00,0.81,0.97,19.03,-0.25
2025-05-05 20:00:00,1.14,1.2,5.29,0.4074074074074072
