Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-20 20:00:00,2.38,2.44,2.48,
2022-10-25 20:00:00,2.38,2.48,3.98,0.0
2023-02-09 19:00:00,2.76,2.78,0.65,0.15966386554621836
2023-04-26 20:00:00,2.41,2.45,1.73,-0.12681159420289845
2023-07-31 20:00:00,2.37,2.43,2.47,-0.016597510373444035
2023-10-31 20:00:00,2.44,2.49,1.88,0.029535864978902815
2024-02-13 19:00:00,2.82,2.84,0.68,0.15573770491803285
2024-05-01 20:00:00,2.48,2.54,2.4,-0.12056737588652477
2024-07-21 20:00:00,2.57,2.64,2.92,0.03629032258064502
2024-10-30 20:00:00,2.81,2.84,1.06,0.09338521400778221
2025-02-05 19:00:00,3.11,3.12,0.38,0.10676156583629881
2025-05-05 20:00:00,2.63,2.7,2.57,-0.15434083601286175
