Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-27 20:00:00,0.15,-0.21,-241.35,
2022-10-26 20:00:00,0.16,0.08,-51.15,0.06666666666666665
2023-02-08 19:00:00,0.16,-0.09,-154.78,0.0
2023-04-26 20:00:00,0.2,0.46,127.16,0.25
2023-07-26 20:00:00,0.17,0.16,-6.8,-0.15000000000000002
2023-10-25 20:00:00,0.16,0.19,18.75,-0.05882352941176472
2024-02-07 19:00:00,0.16,0.22,41.29,0.0
2024-05-01 20:00:00,0.18,-0.03,-117.05,0.125
2024-07-31 20:00:00,0.16,0.17,8.51,-0.11111111111111105
2024-10-30 20:00:00,0.17,0.19,12.59,0.0625
2025-02-06 19:00:00,0.18,0.23,27.78,0.0588235294117645
2025-04-30 20:00:00,0.17,0.18,4.52,-0.05555555555555547
