Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-01 20:00:00,0.95,0.95,0.31,
2022-10-31 20:00:00,0.85,0.92,7.69,-0.10526315789473684
2023-02-06 19:00:00,0.86,0.92,7.32,0.0117647058823529
2023-05-07 20:00:00,0.74,0.81,10.06,-0.13953488372093026
2023-08-06 20:00:00,0.71,0.73,2.41,-0.04054054054054057
2023-11-06 19:00:00,0.82,0.88,7.32,0.15492957746478875
2024-02-05 19:00:00,0.91,1.0,9.32,0.10975609756097571
2024-04-30 20:00:00,0.96,0.97,1.42,0.05494505494505497
2024-07-30 20:00:00,1.07,1.09,2.1,0.11458333333333348
2024-10-23 20:00:00,1.21,1.38,14.13,0.1308411214953269
2025-02-03 19:00:00,1.28,1.32,3.34,0.05785123966942152
2025-04-30 20:00:00,1.15,1.15,0.44,-0.10156250000000011
