Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-16 20:00:00,4.58,4.67,1.86,
2022-11-15 19:00:00,3.1,3.27,5.4,-0.3231441048034934
2023-02-28 19:00:00,2.21,2.28,3.2,-0.2870967741935484
2023-05-22 20:00:00,3.44,3.67,6.61,0.5565610859728507
2023-08-21 20:00:00,4.49,4.56,1.6,0.305232558139535
2023-11-20 19:00:00,3.03,3.06,0.93,-0.3251670378619155
2024-02-26 19:00:00,1.68,1.77,5.56,-0.4455445544554455
2024-05-20 20:00:00,2.94,3.06,4.05,0.75
2024-08-19 20:00:00,3.97,4.1,3.35,0.3503401360544218
2024-11-18 19:00:00,2.82,2.89,2.45,-0.2896725440806046
2025-02-25 19:00:00,1.84,1.93,4.82,-0.34751773049645385
2025-05-20 20:00:00,2.88,2.92,1.49,0.5652173913043477
