Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-21 20:00:00,2.44,2.49,2.11,
2022-12-13 19:00:00,2.33,2.44,4.81,-0.04508196721311475
2023-02-19 19:00:00,1.97,1.95,-1.07,-0.15450643776824036
2023-05-21 20:00:00,2.11,2.26,7.12,0.07106598984771573
2023-08-20 20:00:00,2.32,2.35,1.39,0.09952606635071093
2023-12-12 19:00:00,2.39,2.46,2.72,0.030172413793103647
2024-02-20 19:00:00,2.04,2.21,8.49,-0.14644351464435146
2024-05-19 20:00:00,2.32,2.34,1.08,0.13725490196078427
2024-08-20 20:00:00,2.33,2.41,3.26,0.004310344827586299
2024-12-10 19:00:00,2.59,2.78,7.29,0.11158798283261784
2025-02-18 19:00:00,2.09,2.06,-1.25,-0.1930501930501931
2025-05-27 20:00:00,2.36,2.42,2.54,0.12918660287081352
