Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-17 20:00:00,0.91,0.97,6.76,
2022-10-16 20:00:00,1.05,1.1,4.36,0.15384615384615397
2023-01-17 19:00:00,1.09,1.09,0.16,0.03809523809523818
2023-04-16 20:00:00,0.9,0.93,3.35,-0.17431192660550465
2023-07-17 20:00:00,0.71,0.75,5.75,-0.21111111111111114
2023-10-15 20:00:00,0.74,0.77,3.54,0.04225352112676051
2024-01-16 19:00:00,0.64,0.68,6.37,-0.1351351351351351
2024-04-14 20:00:00,0.74,0.74,0.63,0.15625
2024-07-15 20:00:00,0.72,0.73,1.83,-0.027027027027027084
2024-10-14 20:00:00,0.75,0.77,2.67,0.04166666666666674
2025-01-20 19:00:00,0.92,1.01,10.38,0.2266666666666668
2025-04-16 20:00:00,1.01,1.04,3.24,0.09782608695652173
