Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-20 20:00:00,1.9,1.59,-16.27,
2022-10-25 20:00:00,0.72,0.48,-33.42,-0.6210526315789473
2023-01-24 19:00:00,0.1,0.16,65.12,-0.8611111111111112
2023-04-19 20:00:00,0.21,-0.28,-233.13,1.0999999999999996
2023-07-25 20:00:00,-0.25,-0.18,29.36,-2.1904761904761907
2023-10-25 20:00:00,-0.21,-0.22,-5.99,-0.16000000000000003
2024-01-23 19:00:00,-0.06,0.12,288.35,-0.7142857142857143
2024-04-22 20:00:00,0.29,0.33,14.96,-5.833333333333333
2024-07-22 20:00:00,0.75,1.05,39.09,1.5862068965517242
2024-10-21 20:00:00,1.49,1.58,6.21,0.9866666666666666
2025-01-20 19:00:00,1.88,2.03,8.27,0.261744966442953
2025-04-28 20:00:00,1.74,1.9,9.13,-0.07446808510638292
