Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-02 20:00:00,0.1,0.1,3.09,
2022-10-25 20:00:00,0.21,0.23,9.95,1.0999999999999996
2023-02-21 19:00:00,0.31,0.28,-10.83,0.4761904761904763
2023-04-25 20:00:00,0.17,0.24,43.45,-0.4516129032258064
2023-08-01 20:00:00,0.29,0.46,59.42,0.7058823529411762
2023-10-24 20:00:00,0.44,0.52,18.02,0.517241379310345
2024-02-20 19:00:00,0.53,0.56,4.71,0.20454545454545459
2024-04-23 20:00:00,0.36,0.43,19.47,-0.3207547169811321
2024-07-23 20:00:00,0.57,0.67,17.08,0.5833333333333333
2024-10-22 20:00:00,0.69,0.76,10.23,0.21052631578947367
2025-02-11 19:00:00,0.82,0.99,20.68,0.18840579710144922
2025-04-22 20:00:00,0.62,0.64,4.05,-0.24390243902439024
