Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-03 20:00:00,0.01,-0.11,-1200.0,
2022-11-02 20:00:00,0.02,,-87.73,1.0
2023-02-08 19:00:00,,-0.11,-8700.0,
2023-05-07 20:00:00,-0.1,0.04,139.66,
2023-08-02 20:00:00,0.02,0.18,800.0,-1.2
2023-11-01 20:00:00,-0.01,-0.18,-1520.16,-1.5
2024-02-13 19:00:00,-0.14,-0.23,-61.0,13.000000000000002
2024-04-30 20:00:00,-0.33,-0.03,90.8,1.3571428571428572
2024-07-31 20:00:00,0.02,0.05,150.0,-1.0606060606060606
2024-10-29 20:00:00,-0.03,0.05,253.85,-2.5
2025-02-11 19:00:00,0.02,0.13,642.86,-1.6666666666666667
2025-04-29 20:00:00,0.07,0.1,47.06,2.5000000000000004
