Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-08-03 20:00:00,0.02,0.82,3784.41,
2022-11-02 20:00:00,-0.21,-0.95,-353.46,-11.5
2023-02-22 19:00:00,-0.21,-0.86,-319.16,0.0
2023-05-04 20:00:00,0.01,-0.44,-7095.23,-1.0476190476190477
2023-08-02 20:00:00,-0.38,-0.49,-28.33,-39.0
2023-11-07 19:00:00,-0.06,-0.17,-193.46,-0.8421052631578947
2024-02-22 19:00:00,-0.07,-0.16,-129.75,0.16666666666666674
2024-05-08 20:00:00,-0.24,-0.4,-67.63,2.428571428571428
2024-08-06 20:00:00,-0.22,-0.36,-60.31,-0.08333333333333326
2024-11-06 19:00:00,-0.09,0.05,158.31,-0.5909090909090909
2025-02-26 19:00:00,0.01,-0.2,-1487.93,-1.1111111111111112
2025-05-07 20:00:00,-0.13,-0.18,-38.27,-14.0
