Earnings Date,eps_est,eps_reported,eps_surprise_pct,eps_revision
2022-07-20 20:00:00,0.86,1.12,30.12,
2022-10-23 20:00:00,0.85,1.01,18.29,-0.011627906976744207
2023-01-25 19:00:00,1.1,1.16,5.85,0.2941176470588236
2023-04-19 20:00:00,1.23,1.0,-18.8,0.11818181818181817
2023-07-19 20:00:00,1.1,1.14,3.88,-0.10569105691056901
2023-10-22 20:00:00,1.18,1.35,14.62,0.07272727272727253
2024-01-23 19:00:00,1.38,1.45,5.17,0.1694915254237288
2024-04-22 20:00:00,1.44,1.56,8.59,0.04347826086956519
2024-07-21 20:00:00,0.92,1.04,12.68,-0.36111111111111105
2024-10-20 20:00:00,0.92,0.93,0.65,0.0
2025-01-26 19:00:00,0.96,1.13,18.2,0.04347826086956519
2025-04-20 20:00:00,0.98,1.01,2.64,0.02083333333333326
