report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-05-31,10991305000.0,1228202000.0,1712733000.0,35057319000.0,16483645000.0,69039000.0,,2741466000.0,,3528688000.0,7710000.0,-428134000.0,,645607914.0,636146240.0,16146236000.0,11828281000.0,18573674000.0,60342000.0,8697000.0,6445937000.0,,0.07451034040104601,0.03503411085143162,0.11174305507853707,0.32104358854567316,0.0041883333449610205,1.3650534680398614,1.3650534680398614,0.048855219077077745,0.1034716182584045,1.9023961345058729,,,
2020-08-31,10835271000.0,1287929000.0,1544703000.0,37078593000.0,17499173000.0,61872000.0,,3156134000.0,,3440540000.0,-6214000.0,-477931000.0,,647356774.0,635845477.0,17749756000.0,12662590000.0,19579420000.0,54052000.0,7820000.0,8509639000.0,,0.07359942095549316,0.03473510982469049,0.11886449355996725,0.31753151351729,0.003535709944692815,1.4017476677362215,1.4017476677362215,0.0416602377549763,0.0879619065949663,1.989519615345834,,,
2020-11-30,11762185000.0,1500276000.0,1890669000.0,38268311000.0,18426216000.0,68806000.0,,1602845000.0,,3898296000.0,1831000.0,-464810000.0,,646879735.0,634271482.0,18626094000.0,12819099000.0,19842095000.0,59881000.0,8925000.0,8677151000.0,,0.08142073228708488,0.03920413419865852,0.1275507909457299,0.3314261763439361,0.0037341361894379184,1.4529955654449662,1.4529955654449662,0.04940560350311776,0.1022258313615415,2.319250269913,,,
2021-02-28,12088125000.0,1440859000.0,1653515000.0,39985401000.0,18842427000.0,68363000.0,,2534721000.0,,3595232000.0,-515000.0,-300950000.0,,646321916.0,635993980.0,19560720000.0,14090668000.0,21142974000.0,59323000.0,9040000.0,9170096000.0,,0.07646886465315747,0.03603462673789366,0.11919623597538907,0.2974184995605191,0.0036281419585704115,1.38820388075285,1.38820388075285,0.041352967799422595,0.08743764803056879,2.229320968902438,,,
2021-05-31,13263795000.0,1549426000.0,2118656000.0,42124884000.0,19893964000.0,70786000.0,,2401150000.0,,4404384000.0,-24188000.0,-524429000.0,,645454021.0,635203753.0,21144858000.0,14929559000.0,22230920000.0,61629000.0,9157000.0,10013813000.0,,0.07788422659254837,0.03678172739894073,0.11681619023816336,0.3320606206594719,0.003558164677487101,1.4163082780944836,1.4163082780944836,0.050294642947859514,0.10611983621132245,2.400521105437501,,,
2021-08-31,13419284000.0,1416248000.0,1958689000.0,43175843000.0,20097114000.0,65553000.0,,2436432000.0,,4466216000.0,-3255000.0,-480382000.0,,644980496.0,633511077.0,19666511000.0,15708867000.0,23078729000.0,53473000.0,12080000.0,8172468000.0,,0.07047021776360526,0.03280186098508835,0.10553826865874513,0.3328207376787018,0.003261811621310403,1.2519369474577637,1.2519369474577637,0.045365391012747565,0.09714434107352961,2.1957997315937443,,,
2021-11-30,14965153000.0,1791024000.0,2434294000.0,43674743000.0,20938658000.0,64973000.0,,530871000.0,,4916789000.0,-5133000.0,-586402000.0,,645287973.0,633546144.0,18621652000.0,15232007000.0,22736085000.0,55884000.0,9089000.0,5644085000.0,,0.08553671395750387,0.04100823214918517,0.11967963174182047,0.3285491969243482,0.003103016439735536,1.2225343646441338,1.2225343646441338,0.05573688206934612,0.11589872246374924,2.775542199668426,,,
2022-02-28,15046693000.0,1634942000.0,2061580000.0,44317837000.0,21156979000.0,61244000.0,,2155493000.0,,4523959000.0,-3947000.0,-392921000.0,,645287973.0,633546144.0,19185130000.0,15540122000.0,23160858000.0,52152000.0,9092000.0,5472147000.0,,0.07727672273059401,0.03689128600748272,0.10865789579145398,0.30066134797858907,0.0028947422030338073,1.2345546579364048,1.2345546579364048,0.04651806449849978,0.09716082256275656,2.5336625947001803,,,
2022-05-31,16158803000.0,1786075000.0,2603118000.0,46095198000.0,22011723000.0,60314000.0,,3064655000.0,,5314734000.0,-3323000.0,-675308000.0,,641004741.0,632749442.0,21043454000.0,16562592000.0,24083475000.0,51546000.0,8768000.0,6707890000.0,,0.08114198965705684,0.03874752853865602,0.11053263041823086,0.32890641713993296,0.002740085362695142,1.270541108541465,1.270541108541465,0.056472650361540914,0.11793737025721732,2.786367846848733,,,
2022-08-31,15423656000.0,1665128000.0,2268189000.0,47263390000.0,20655706000.0,55068000.0,,3790110000.0,,4946057000.0,10216000.0,-552576000.0,,642839181.0,632762710.0,21657715000.0,17523496000.0,26607684000.0,45893000.0,9175000.0,7893806000.0,,0.08061346341780813,0.03523082030298715,0.1079593580147275,0.3206799347703294,0.0026659945682805516,1.2359243269721978,1.2359243269721978,0.04799040018077417,0.10951734589928894,2.5902714850232504,,,
