report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,75452000000.0,2535000000.0,3989000000.0,221238000000.0,65272000000.0,23437000000.0,,3064000000.0,,31195000000.0,-200000000.0,-744000000.0,,10120000000.0,9960000000.0,85985000000.0,79711000000.0,155966000000.0,23437000000.0,49292000000.0,,0.03883748008334355,0.011458248582973991,0.03359751895244659,0.4134416582728092,0.35906667483760263,1.0787093374816525,1.0787093374816525,0.018030356448711343,0.044967252477200736,0.25049407114624506,,,
2020-06-30,88912000000.0,5243000000.0,5843000000.0,258314000000.0,73728000000.0,33128000000.0,,20606000000.0,,36252000000.0,-268000000.0,-984000000.0,,10180000000.0,10000000000.0,110908000000.0,93896000000.0,184586000000.0,33128000000.0,71391000000.0,,0.07111273871527778,0.020297002872473036,0.05896841821126507,0.40772899046247973,0.4493272569444444,1.181179176961745,1.181179176961745,0.02261975734958229,0.0546810661076589,0.5150294695481336,,,
2020-09-30,96145000000.0,6331000000.0,6194000000.0,282179000000.0,82775000000.0,32929000000.0,,11964000000.0,,39039000000.0,-310000000.0,-569000000.0,,10240000000.0,10020000000.0,112969000000.0,101912000000.0,199404000000.0,32929000000.0,68402000000.0,,0.07648444578677137,0.022436113247265035,0.06584845805814135,0.40604295595194756,0.3978133494412564,1.1084955648010049,1.1084955648010049,0.021950605821127723,0.05353315356426744,0.61826171875,,,
2020-12-31,125555000000.0,7222000000.0,6873000000.0,321195000000.0,93404000000.0,31816000000.0,,30431000000.0,,46271000000.0,-314000000.0,-565000000.0,,10260000000.0,10020000000.0,132733000000.0,126385000000.0,227791000000.0,31816000000.0,84396000000.0,,0.07732002912080853,0.022484783387039027,0.05752060849826769,0.368531719166899,0.3406278103721468,1.0502274795268425,1.0502274795268425,0.021398216036986877,0.0548873981792046,0.7038986354775828,,,
2021-03-31,108518000000.0,8107000000.0,8865000000.0,323077000000.0,103320000000.0,31868000000.0,,4213000000.0,,46115000000.0,-294000000.0,-2156000000.0,,10260000000.0,10080000000.0,121408000000.0,115404000000.0,219757000000.0,31868000000.0,73270000000.0,,0.07846496322106078,0.025093089263550174,0.07470650030409702,0.42495254243535635,0.30843979868370114,1.0520259263110463,1.0520259263110463,0.027439279181124005,0.06557534692428323,0.7901559454191033,,,
2021-06-30,113080000000.0,7778000000.0,7702000000.0,360319000000.0,114803000000.0,50279000000.0,,12715000000.0,,48904000000.0,-329000000.0,-868000000.0,,10280000000.0,10080000000.0,140848000000.0,117792000000.0,245516000000.0,50279000000.0,89894000000.0,,0.06775084274801181,0.02158642758222575,0.0687831623629289,0.43247258577997877,0.43795893835526944,1.19573485465906,1.19573485465906,0.021375503373399683,0.046655601458669024,0.7566147859922179,,,
2021-09-30,110812000000.0,3156000000.0,4852000000.0,382406000000.0,120564000000.0,50055000000.0,,7313000000.0,,47882000000.0,-374000000.0,-1155000000.0,,10300000000.0,10140000000.0,138531000000.0,123994000000.0,261842000000.0,50055000000.0,78988000000.0,,0.026176968249228626,0.00825300858250132,0.028480669963541854,0.43210121647475,0.4151736836866726,1.117239543848896,1.117239543848896,0.01268808543798999,0.028437630041202915,0.30640776699029126,,,
2021-12-31,137412000000.0,14323000000.0,3460000000.0,420549000000.0,138245000000.0,48744000000.0,,22086000000.0,,54577000000.0,-364000000.0,-612000000.0,,9560000000.0,10100000000.0,161580000000.0,142266000000.0,282304000000.0,48744000000.0,96049000000.0,,0.10360591703135737,0.03405786246073585,0.1042339824760574,0.39717783017494834,0.3525914137943506,1.1357597739445826,1.1357597739445826,0.008227340928167704,0.018503762253394583,1.4982217573221757,,,
2022-03-31,116444000000.0,-3844000000.0,3669000000.0,410767000000.0,134001000000.0,47556000000.0,,-2790000000.0,,49945000000.0,-364000000.0,1422000000.0,,10180000000.0,10180000000.0,133876000000.0,139508000000.0,276766000000.0,47556000000.0,66385000000.0,,-0.028686353086917263,-0.009358103255616932,-0.03301157638006252,0.42891862182680085,0.3548928739337766,0.95962955529432,0.95962955529432,0.008932070979411686,0.020208529552702456,-0.37760314341846757,,,
2022-06-30,121234000000.0,-2028000000.0,3317000000.0,419728000000.0,131402000000.0,58053000000.0,,8965000000.0,,54810000000.0,-425000000.0,637000000.0,,10175000000.0,10175000000.0,133667000000.0,140291000000.0,288326000000.0,58053000000.0,60710000000.0,,-0.01543355504482428,-0.0048317005298669615,-0.01672798059950179,0.4521008957883102,0.4417969285094595,0.9527838564127421,0.9527838564127421,0.00790273701063546,0.017508115383600326,-0.1993120393120393,,,
2022-09-30,127101000000.0,2872000000.0,2525000000.0,428362000000.0,137489000000.0,58919000000.0,,11404000000.0,,56833000000.0,-340000000.0,-69000000.0,,10331000000.0,10191000000.0,131463000000.0,140363000000.0,290873000000.0,58919000000.0,58662000000.0,,0.02088894384278015,0.006704609652583562,0.022596203019645794,0.44714833085498934,0.42853610106990375,0.9365929767816304,0.9365929767816304,0.005894547135366816,0.01285589181703393,0.27799825767108705,,,
2022-12-31,149204000000.0,278000000.0,2737000000.0,462675000000.0,146043000000.0,67150000000.0,,29173000000.0,,63564000000.0,-249000000.0,1227000000.0,,10070000000.0,10210000000.0,146791000000.0,155393000000.0,316632000000.0,67150000000.0,70026000000.0,,0.0019035489547598995,0.0006008537310206949,0.0018632208251789495,0.426020750113938,0.45979608745369516,0.9446435811136924,0.9446435811136924,0.005915599502890798,0.012838132584090473,0.027606752730883814,,,
2023-03-31,127358000000.0,3172000000.0,4774000000.0,464378000000.0,154526000000.0,67084000000.0,,4788000000.0,,59567000000.0,-212000000.0,-948000000.0,,10347000000.0,10250000000.0,136221000000.0,147570000000.0,309852000000.0,67084000000.0,64405000000.0,,0.020527289905905802,0.006830642278488645,0.024906170008951147,0.4677130608206787,0.434127590178999,0.9230941248221183,0.9230941248221183,0.010280418107662292,0.021542349171968775,0.3065622885860636,,,
2023-06-30,134383000000.0,6750000000.0,7681000000.0,477607000000.0,168602000000.0,63092000000.0,,16476000000.0,,65010000000.0,-179000000.0,-804000000.0,,10449000000.0,10384615384.0,140482000000.0,148238000000.0,309005000000.0,63092000000.0,63970000000.0,,0.0400351122762482,0.014132958687791427,0.050229567728060844,0.4837665478520349,0.3742067116641558,0.9476787328485273,0.9476787328485273,0.016082260100877918,0.03315148428530734,0.6459948320413437,,,
2023-09-30,143083000000.0,9879000000.0,11188000000.0,486883000000.0,182973000000.0,61098000000.0,,21217000000.0,,68061000000.0,-30000000.0,-2306000000.0,,10558000000.0,10322000000.0,142995000000.0,145214000000.0,303910000000.0,61098000000.0,64169000000.0,,0.05399157252709416,0.020290295615168326,0.06904384168629397,0.47567495789157344,0.33391811906674757,0.9847191042186015,0.9847191042186015,0.02297882653532779,0.04583912058376456,0.9356885773820799,,,
