report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,304985000.0,46064000,34073000.0,4526085000,3292350000.0,423607000.0,147412000.0,254869000.0,-876000.0,12740000.0,-4162000.0,87369000.0,85798000.0,1290700000.0,537142000.0,1233735000.0,423607000.0,0.0,718030000.0,0.013991222075417255,0.010177449164123078,0.15103693624276604,0.8356771644507107,0.12866402417725942,2.4029027705895274,2.4029027705895274,0.007528139661539719,0.009169374134307797,0.527235060490563,29911000.0,14.162248002407141
2020-06-30,385661000.0,96564000,112807000.0,4671866000,3438048000.0,423683000.0,131592000.0,331801000.0,-2106000.0,-16021000.0,-4163000.0,86934000.0,85651000.0,1294264000.0,543806000.0,1233818000.0,423683000.0,0.0,744979000.0,0.028086867897132325,0.020669257209003856,0.2503857014320867,0.8603436696995548,0.12323359068866985,2.3800105184569498,2.3800105184569498,0.024146026448532556,0.029211511625227133,1.1107736903858099,108644000.0,3.8997367549059314
2020-09-30,366965000.0,75627000,90085000.0,4846295000,3589613000.0,423759000.0,94539000.0,313580000.0,-1099000.0,-14517000.0,-4237000.0,87224000.0,85798000.0,1458721000.0,561847000.0,1256682000.0,423759000.0,,845209000.0,0.021068287862786323,0.015605116898579224,0.20608777403839604,0.8545229109043097,0.11805144454290754,2.5962957887111617,2.5962957887111617,0.018588426829155055,0.022446212312240182,0.8670434742731359,85848000.0,4.936154598825832
2020-12-31,623686000.0,215632000,259391000.0,5940590000,4097872000.0,798118000.0,173767000.0,555783000.0,-1834000.0,-42240000.0,-4037000.0,87625000.0,86113000.0,1719237000.0,728825000.0,1842718000.0,798118000.0,,913151000.0,0.05262048204531523,0.03629807813702006,0.34573807973884296,0.8911263039414065,0.1947640141029295,2.3589160635269097,2.3589160635269097,0.04366418150385736,0.05298029611988587,2.4608502139800286,255354000.0,3.125535531066676
2021-03-31,363226000.0,72398000,50022000.0,5818028000,4111969000.0,798203000.0,171107000.0,301123000.0,-2798000.0,24775000.0,-4407000.0,87986000.0,86808000.0,1660952000.0,624047000.0,1706059000.0,793515000.0,4688000.0,987943000.0,0.01760665024468813,0.012443735231250176,0.1993194319789883,0.8290238033620941,0.19411697899473465,2.661581579592563,2.661581579592563,0.008597758553241752,0.010187423169697517,0.8228354510944923,45615000.0,17.498695604516058
2021-06-30,446654000.0,93716000,116773000.0,5890772000,4250218000.0,753327000.0,118877000.0,382496000.0,-2850000.0,-35144000.0,-4434000.0,88052000.0,87169000.0,1622364000.0,595385000.0,1640554000.0,753327000.0,,958208000.0,0.02204969250989008,0.01590895047372399,0.2098178903580848,0.8563586131547014,0.17724432017369462,2.724899014923117,2.724899014923117,0.01982303847441388,0.023338053320195982,1.0643256257665925,112339000.0,6.705836797550272
2021-09-30,441168000.0,85342000,107628000.0,5974752000,4339244000.0,753451000.0,157845000.0,378422000.0,-2402000.0,-18556000.0,-3403000.0,88169000.0,87239000.0,1756685000.0,600431000.0,1635508000.0,753451000.0,,1081365000.0,0.019667481247885577,0.014283772782535576,0.19344558082181845,0.8577730025749828,0.17363646755056872,2.9257067006866735,2.9257067006866735,0.018013802079149058,0.021133800473030488,0.9679365763476959,104225000.0,7.2290813144639
2021-12-31,655667000.0,203171000,238848000.0,6324314000,4484048000.0,753576000.0,101653000.0,586690000.0,-2277000.0,-31802000.0,-2969000.0,88469000.0,87740000.0,1638574000.0,778492000.0,1840266000.0,753576000.0,,668028000.0,0.04530972906623658,0.032125381503827925,0.30986918664505,0.8947987316732426,0.1680570769982837,2.1048051874649962,2.1048051874649962,0.03776662575577367,0.04560235709932595,2.296521945540246,235879000.0,3.1947566336977857
2022-03-31,425077000.0,70988000,81163000.0,6053183000,4363951000.0,753700000.0,210936000.0,360317000.0,-2440000.0,-7041000.0,-4125000.0,88201000.0,87186000.0,1449878000.0,634620000.0,1689232000.0,744575000.0,9125000.0,657765000.0,0.016266910421313164,0.011727383758264041,0.16700033170460882,0.8476511314420682,0.17271046352261976,2.28463962686332,2.28463962686332,0.013408317574406721,0.015859424568029357,0.8048434825001984,77038000.0,9.783483475687323
2022-06-30,473850000.0,98800000,128010000.0,6118580000,4452755000.0,753402000.0,118944000.0,411363000.0,-4340000.0,-24094000.0,-4029000.0,88201000.0,87186000.0,1327225000.0,624699000.0,1665825000.0,753402000.0,,517635000.0,0.022188510259378746,0.01614753750053117,0.2085048010973937,0.8681291547958214,0.16919906889105735,2.124583199268768,2.124583199268768,0.020921521006508046,0.02458819432452767,1.1201687055702316,123981000.0,6.076753696130859
2022-09-30,472511000.0,95975000,123384000.0,6161640000,4543685000.0,753495000.0,127151000.0,410544000.0,-4747000.0,-22006000.0,-3821000.0,87321000.0,87001000.0,1449876000.0,609690000.0,1617955000.0,753495000.0,,632703000.0,0.021122723076093523,0.01557621022974403,0.20311696447278477,0.8688559631415989,0.1658334589655753,2.378054421099247,2.378054421099247,0.020024538921455975,0.023292393311158014,1.0991055988822849,119563000.0,6.3020750566646875
2022-12-31,694115000.0,257947000,260101000.0,6687945000,4865851000.0,753574000.0,173972000.0,632688000.0,-5482000.0,1536000.0,-3747000.0,87288000.0,85840000.0,1664122000.0,794836000.0,1822094000.0,753574000.0,,614574000.0,0.05301169312418321,0.0385689475616202,0.3716199765168596,0.9115031370882346,0.15486992922717938,2.0936671212677838,2.0936671212677838,0.03889101958822927,0.0462860523985995,2.9551255613600955,256354000.0,2.939583544629692
2023-03-31,509447000.0,100622000,127695000.0,6480934000,4782162000.0,753653000.0,260766000.0,441795000.0,-6680000.0,-20216000.0,-5181000.0,87431000.0,86930000.0,1384076000.0,650915000.0,1698772000.0,753653000.0,,507854000.0,0.021041110694284302,0.015525848589107681,0.19751220440987974,0.8672050281972413,0.15759671044184617,2.126354439519753,2.126354439519753,0.01970317858506197,0.023067064199219084,1.1508732600565017,122514000.0,6.151566351600634
2023-06-30,496599000.0,69526000,95624000.0,6605252000,4914412000.0,753732000.0,62866000.0,428259000.0,-8158000.0,-14457000.0,-5470000.0,86696000.0,86696000.0,1414235000.0,643837000.0,1690840000.0,753732000.0,,478012000.0,0.014147369003656998,0.010525866386324094,0.1400043093119398,0.8623839355294715,0.1533717563769582,2.1965730456621784,2.1965730456621784,0.014476964694155499,0.016870425310295575,0.8019516471348159,90154000.0,8.360494265368148
2023-09-30,458795000.0,55502000,69816000.0,6673520000,5006800000.0,753812000.0,160768000.0,393538000.0,-7367000.0,-7043000.0,-5947000.0,86817000.0,86817000.0,1542499000.0,634431000.0,1666720000.0,753812000.0,,639513000.0,0.011085323959415196,0.008316750380608735,0.12097341950108437,0.8577643609891128,0.15055764160741392,2.431310891176503,2.431310891176503,0.010461645428499502,0.012119545631609975,0.6392987548521603,63869000.0,11.802470682177582
2023-12-31,805108000.0,274762000,333000000.0,7322875000,5390364000.0,753891000.0,232722000.0,735059000.0,-5352000.0,-50010000.0,-5914000.0,88600000.0,86889000.0,2049567000.0,889294000.0,1932511000.0,753891000.0,,860390000.0,0.05097280999947314,0.037521055596333404,0.3412734689010667,0.9129942815125425,0.13985901508692178,2.3047125022770873,2.3047125022770873,0.04547394295273373,0.05419696936406448,3.1011512415349887,327086000.0,2.3048708902245894
