report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,1862000000.0,242100000.0,316900000.0,12077700000.0,4445700000.0,5092400000.0,,384300000.0,,559800000.0,-28800000.0,-46000000.0,,1226000000.0,1189600000.0,5517500000.0,2170200000.0,7632000000.0,4591500000.0,500900000.0,2383600000.0,,0.0544571158647682,0.020045207282843588,0.13002148227712138,0.3006444683136412,1.1454664057403783,2.5423924062298404,2.5423924062298404,0.026238439437972463,0.033224646418049716,0.19747145187601958,,,
2020-06-30,1987500000.0,257700000.0,357400000.0,11203900000.0,4800300000.0,3766100000.0,,368100000.0,,603800000.0,-30200000.0,-68000000.0,,1216000000.0,1186400000.0,4618000000.0,1785200000.0,6403600000.0,3763800000.0,2300000.0,1314000000.0,,0.05368414474095369,0.023000919322735833,0.12966037735849056,0.3037987421383648,0.7845551319709185,2.586825005601613,2.586825005601613,0.03189960638706165,0.04172114307060142,0.21192434210526315,,,
2020-09-30,2323400000.0,346600000.0,475800000.0,11753900000.0,5105200000.0,3815200000.0,,398600000.0,,734900000.0,-28000000.0,-99300000.0,,1232800000.0,1195200000.0,5037000000.0,2215000000.0,6648700000.0,3586000000.0,229200000.0,1456200000.0,,0.06789156154509128,0.029488084805894214,0.14917792889730566,0.31630369286390636,0.7473164616469482,2.274040632054176,2.274040632054176,0.04048018104629102,0.053338415317698756,0.2811486048020766,,,
2020-12-31,2426000000.0,356999999.0,499799999.0,12327299999.0,5451900000.0,3866500000.0,,441000000.0,,765599999.0,-28300000.0,-100000000.0,,1245200000.0,1196800000.0,5490800000.0,2304300000.0,6875400000.0,3636200000.0,230300000.0,1738100000.0,,0.06548175846952439,0.02896011284133266,0.14715581162407254,0.315581203215169,0.7092022964471102,2.382849455366055,2.382849455366055,0.04054415801031403,0.053635817200377744,0.2867009307741728,,,
2021-03-31,2377100000.0,329600000.0,464800000.0,13133500000.0,5521699999.0,4636700000.0,,321000000.0,,727500000.0,-28600000.0,-104100000.0,,1248200000.0,1197000000.0,6186700000.0,2547900000.0,7611800000.0,4110300000.0,526400000.0,2361200000.0,,0.059691761605971304,0.025096128221723076,0.13865634596777587,0.3060451811030247,0.8397232737815751,2.4281565210565565,2.4281565210565565,0.03539041382723569,0.045755237049708145,0.2640602467553277,,,
2021-06-30,2653900000.0,369800000.0,531600000.0,14559100000.0,5778300000.0,5236300000.0,,387700000.0,,843200000.0,-29100000.0,-78100000.0,,1248200000.0,1197000000.0,6491200000.0,2996500000.0,8780800000.0,4710200000.0,526100000.0,1242600000.0,,0.0639980617136528,0.025399921698456635,0.1393421003052112,0.31772108971702023,0.9062007856982157,2.166260637410312,2.166260637410312,0.03651324601108585,0.04826321427922939,0.2962666239384714,,,
2021-09-30,2818500000.0,426500000.0,571200000.0,14926100000.0,6008700000.0,5248700000.0,,360800000.0,,889900000.0,-29000000.0,-120500000.0,,1251600000.0,1195400000.0,6919800000.0,2885000000.0,8917400000.0,4950000000.0,298700000.0,1302500000.0,,0.07098041173631568,0.028574108440918927,0.1513216249778251,0.3157353202057832,0.8735167340689334,2.398544194107452,2.398544194107452,0.0382685363222811,0.0507399577167019,0.34076382230744645,,,
2021-12-31,3026800000.0,465000000.0,607900000.0,14678400000.0,6379100000.0,4799900000.0,,470600000.0,,941200000.0,-28800000.0,-106300000.0,,1251600000.0,1195400000.0,5958200000.0,2447100000.0,8299300000.0,4795900000.0,4000000.0,1241400000.0,,0.0728942954335251,0.03167920209287116,0.15362759349808378,0.31095546451698164,0.752441566992209,2.4348003759552124,2.4348003759552124,0.04141459559625027,0.054378745862778424,0.37152444870565676,,,
2022-03-31,2951900000.0,425700000.0,589800000.0,14873600000.0,6503500000.0,4932500000.0,,350800000.0,,926600000.0,-28100000.0,-134200000.0,,1256400000.0,1196200000.0,6108700000.0,2397200000.0,8370100000.0,4908800000.0,23700000.0,1299600000.0,,0.06545706158222496,0.028621181153184166,0.14421220231037638,0.3138995223415427,0.7584377642807719,2.5482646420824295,2.5482646420824295,0.039654152323580036,0.051573976915005246,0.33882521489971346,,,
2022-06-30,3136800000.0,472500000.0,648800000.0,14986100000.0,6541900000.0,4862300000.0,,542500000.0,,1004200000.0,-30500000.0,-144500000.0,,1239400000.0,1192400000.0,6311000000.0,2580700000.0,8444200000.0,4834200000.0,28100000.0,1334400000.0,,0.07222672312325165,0.031529217074489024,0.15063121652639633,0.32013516959959193,0.7432550176554212,2.4454605339636535,2.4454605339636535,0.04329345193212377,0.05689132074148121,0.38123285460706796,,,
