report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,602267000.0,167971000,207401000.0,19891336000,10915242000.0,7341457000.0,341704000.0,,-55914000.0,-91000.0,-177911000.0,140777873.0,140376996.0,903325000.0,2262989000.0,8976094000.0,6404432000.0,937025000.0,777995000.0,0.015388664768037208,0.008444430278589633,0.27889789744415683,,0.6725876531184558,0.3991733941260872,0.3991733941260872,0.010426700348332561,0.011360268359575846,1.1931633602675613,29490000.0,248.94733808070532
2020-06-30,576405000.0,170828000,186480000.0,19351490000,10873559000.0,7630210000.0,287213000.0,,-53399000.0,1133000.0,-176249000.0,140738160.0,140450744.0,449499000.0,1491113000.0,8477931000.0,6698438000.0,931772000.0,322817000.0,0.01571040355784155,0.008827640662295255,0.29636800513527817,,0.7017214878771523,0.3014520026315913,0.3014520026315913,0.009636467269445403,0.010077946822617598,1.2138001519985766,10231000.0,745.7931775974978
2020-09-30,567404000.0,147703000,165228000.0,19144611000,10672835000.0,7563646000.0,333157000.0,,-53249000.0,27000.0,-175348000.0,140603722.0,140271574.0,214349000.0,1468736000.0,8471776000.0,6700250000.0,863396000.0,87530000.0,0.013839153327115054,0.007715121503382858,0.2603136389591896,,0.7086819949900847,0.1459411357793368,0.1459411357793368,0.008630522709497728,0.009060300613917783,1.0504913945307934,-10120000.0,-747.3958498023716
2020-12-31,555802000.0,341128000,151376000.0,19199144000,10754851000.0,7564337000.0,257541000.0,,-51589000.0,2178000.0,-177823000.0,139621025.0,139279574.0,344343000.0,1455848000.0,8444293000.0,6702005000.0,862332000.0,216976000.0,0.031718524040918836,0.01776787548444868,0.6137581368904754,,0.7033418687065027,0.23652400525329567,0.23652400525329567,0.007884518184769072,0.008263248349217225,2.443242341187511,-26447000.0,-286.0187166786403
2021-03-31,551135000.0,142223000,141026000.0,19120532000,10671761000.0,7537784000.0,330145000.0,,-52613000.0,755000.0,-183297000.0,139552413.0,139291187.0,260646000.0,1626383000.0,8448771000.0,6703759000.0,834025000.0,129298000.0,0.013327041338350812,0.007438234459166722,0.25805474157874203,,0.7063299112489494,0.160261143900299,0.160261143900299,0.00737563159853502,0.007744619648651298,1.0191368027437835,-42271000.0,-178.32045610465804
2021-06-30,561743000.0,447953000,146408000.0,19316625000,10911626000.0,7533633000.0,238484000.0,420121000.0,-56104000.0,-10000.0,-184472000.0,139645069.0,139338800.0,519455000.0,1591936000.0,8404999000.0,6705513000.0,828120000.0,297036000.0,0.04105281834256416,0.023190024137239296,0.7974340579232853,0.7478882691907154,0.6904225822989167,0.3263039468923374,0.3263039468923374,0.007579377867510499,0.007937432594467771,3.20779676080077,-38064000.0,-197.9201607818411
2021-09-30,580774000.0,78914000,148634000.0,19478967000,10791366000.0,7779304000.0,343113000.0,,-55987000.0,-2179000.0,-193791000.0,139737725.0,139386413.0,469290000.0,1614599000.0,8687601000.0,6951637000.0,827667000.0,322294000.0,0.007312697947599961,0.004051241526308864,0.13587729478247992,,0.7208822312207741,0.2906542119746141,0.2906542119746141,0.007630486770679369,0.00800369615097355,0.5647293885742022,-45157000.0,-172.27238301924396
2021-12-31,601197000.0,335209000,176633000.0,19902016000,10936461000.0,8103547000.0,291428000.0,,-55711000.0,-4299000.0,-197036000.0,139746721.0,140665528.0,577545000.0,1339273000.0,8965555000.0,7349394000.0,754153000.0,420251000.0,0.030650591631058714,0.01684296706424113,0.5575693158814831,,0.7409661132609534,0.43123769388317396,0.43123769388317396,0.008875131042000972,0.009276939379437235,2.3986895549413285,-20403000.0,-397.174288094888
2022-03-31,613927000.0,262044000,172670000.0,19869627000,10980628000.0,8005033000.0,343680000.0,,-56526000.0,-2471000.0,-201786000.0,139928816.0,139790984.0,491923000.0,1341335000.0,8888999000.0,7250902000.0,754131000.0,343457000.0,0.023864208859456854,0.01318816905823144,0.4268325061448674,,0.7290141328893028,0.36674134351224713,0.36674134351224713,0.008690148033478434,0.00909475840741073,1.8726950423135147,-29116000.0,-274.93587718093147
2022-06-30,644559000.0,138691000,196712000.0,19768777000,10920941000.0,8001193000.0,296368000.0,,-58797000.0,159000.0,-199302000.0,139928816.0,139790984.0,296443000.0,1313332000.0,8847836000.0,7252785000.0,748408000.0,152522000.0,0.012699546678257853,0.007015659087054297,0.21517192374941627,,0.7326468479227202,0.22571824946015173,0.22571824946015173,0.00995064085148009,0.010395867611972308,0.9911539593102825,-2590000.0,-3089.2637065637064
2022-09-30,665288000.0,494747000,203348000.0,20164770000,11213443000.0,7967974000.0,440392000.0,,-57290000.0,-5651000.0,-206658000.0,139934478.0,139630291.0,524084000.0,1400277000.0,8951327000.0,7254365000.0,713609000.0,200999000.0,0.04412088240873031,0.024535216617893485,0.7436583855412994,,0.7105733716219006,0.37427166196402567,0.37427166196402567,0.010084320326986125,0.010601302291692006,3.53556183630456,-3310000.0,-2407.242900302115
