report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-04-30,894053000.0,91655000,132713000.0,3856762000,2240576000.0,686286000.0,91166000.0,413326000.0,-7860000.0,-25308000.0,-5839000.0,155141000.0,153858000.0,2340211000.0,712986000.0,1616186000.0,679356000.0,6930000.0,988474000.0,0.040906891799251624,0.023764753956816626,0.10251629377676715,0.46230592593503966,0.3062989159930304,3.282267814515292,3.282267814515292,0.034410471789547814,0.04534310124631773,0.5907851567283955,126874000.0,5.409193372952693
2020-07-31,976712000.0,142267000,192222000.0,4055188000,2428867000.0,684786000.0,175429000.0,464681000.0,-7251000.0,-38750000.0,-5840000.0,156318000.0,154184000.0,2567883000.0,720491000.0,1626321000.0,677856000.0,6930000.0,1164153000.0,0.058573400684352,0.03508271379773268,0.14565910933826962,0.4757605107749265,0.2819363925649284,3.5640736664302537,3.5640736664302537,0.04740150148402491,0.061735202991470145,0.9101127189447152,186382000.0,3.6740994302024874
2020-10-31,828480000.0,65041000,104464000.0,4180917000,2509597000.0,683286000.0,187295000.0,404349000.0,-7395000.0,-20798000.0,-5851000.0,156623000.0,154772000.0,2611159000.0,760701000.0,1671320000.0,676356000.0,6930000.0,1239291000.0,0.025916910165257608,0.015556635063551847,0.07850642139822325,0.48806126882966394,0.2722692129453454,3.432569432668026,3.432569432668026,0.024985906201916947,0.032717766357238894,0.4152710649138377,98613000.0,6.928964740957075
2021-01-31,757130000.0,55348000,81969000.0,4186897000,2586513000.0,681786000.0,-7319000.0,357891000.0,-7360000.0,-11966000.0,-5910000.0,156583000.0,155174000.0,2596539000.0,684767000.0,1600384000.0,674856000.0,6930000.0,1180671000.0,0.02139869391725462,0.013219336420265414,0.07310237343653006,0.4726942532986409,0.26359272116552285,3.7918576683747904,3.7918576683747904,0.019577505727989008,0.025080018688620594,0.35347387647445766,76059000.0,8.963909596497455
2021-04-30,833927000.0,103117000,142132000.0,4388013000,2693263000.0,680285000.0,224978000.0,412419000.0,-7785000.0,-21453000.0,-6019000.0,156583000.0,155174000.0,2794453000.0,782676000.0,1694750000.0,673355000.0,6930000.0,1354790000.0,0.03828701467327922,0.023499702484928827,0.12365231009428883,0.49455048223645476,0.25258766039558705,3.570382891515774,3.570382891515774,0.03239097058281277,0.04213131101143366,0.6585453082390809,136113000.0,4.997942885690566
2021-07-31,988141000.0,238232000,158571000.0,4655868000,2924236000.0,678785000.0,69097000.0,474550000.0,-7776000.0,96690000.0,-5967000.0,156583000.0,155174000.0,2984133000.0,827091000.0,1731632000.0,671855000.0,6930000.0,1412451000.0,0.0814681168004224,0.0511681173091677,0.24109109934715794,0.48024522816075843,0.23212387782655025,3.607986303804539,3.607986303804539,0.03405831093149548,0.04401056779852241,1.5214423021656247,152604000.0,4.448015779402899
2021-10-31,1041486000.0,103499000,144821000.0,4865227000,3020018000.0,677285000.0,254890000.0,477119000.0,-7916000.0,-25826000.0,-5836000.0,156689000.0,155232000.0,3188906000.0,909030000.0,1845209000.0,670355000.0,6930000.0,1604029000.0,0.0342709877888145,0.021273210890262673,0.09937627582127845,0.4581136952393023,0.22426521961127385,3.508031638119754,3.508031638119754,0.02976654532255124,0.0391693620998874,0.6605377531288092,138985000.0,4.873079828758499
2022-01-31,844443000.0,45823000,63481000.0,4900362000,2814790000.0,1072193000.0,-54411000.0,384187000.0,-8648000.0,-9219000.0,-8918000.0,156689000.0,155232000.0,3164114000.0,760328000.0,2085572000.0,1065263000.0,6930000.0,1579004000.0,0.016279367199684522,0.009350941828379209,0.05426417176766223,0.4549590676931421,0.3809140291105198,4.161511873822876,4.161511873822876,0.012954349086863378,0.01633168964206944,0.29244554499677705,54563000.0,19.650550739512123
2022-04-30,949227000.0,38922000,68026000.0,4964129000,2782422000.0,1069112000.0,106552000.0,401781000.0,-11985000.0,-8330000.0,-8920000.0,152197000.0,152197000.0,3228533000.0,868758000.0,2181707000.0,1062182000.0,6930000.0,1549415000.0,0.01398853229308854,0.007840650394057043,0.04100389053408721,0.42327177798355925,0.38423790496193605,3.7162627567170605,3.7162627567170605,0.01370351173388121,0.017662053612924097,0.2557343443037642,59106000.0,18.088045206916387
2022-07-31,867981000.0,10512000,34834000.0,4900782000,2667736000.0,1069383000.0,-205390000.0,340779000.0,-12642000.0,-4319000.0,-8919000.0,150463000.0,149862000.0,3188376000.0,915342000.0,2233046000.0,1062453000.0,6930000.0,1181510000.0,0.003940419891623459,0.002144963803735812,0.012110864177902511,0.3926111285846119,0.40085788098972314,3.483261993877698,3.483261993877698,0.007107845237760015,0.00932108396869353,0.06986435203339027,25915000.0,41.265020258537525
