report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,1098000000.0,-60000000,-138000000.0,2239218000,13226000.0,1801621000.0,-168000000.0,138000000.0,-29000000.0,,50399000.0,50399000.0,1393584000.0,1128424000.0,2225992000.0,936121000.0,865500000.0,72435000.0,-4.536518977771057,-0.02679506863556831,-0.0546448087431694,0.12568306010928962,136.21813095418116,1.234982595194714,1.234982595194714,-0.061628657861807115,-0.07603946778984674,-1.1904998115041965
2020-06-30,1118000000.0,-41000000,-89000000.0,2476806000,973081000.0,1049138000.0,-7000000.0,150000000.0,-20000000.0,,66327000.0,66327000.0,1571486000.0,373263000.0,1503725000.0,965668000.0,83470000.0,246299000.0,-0.042134210821093004,-0.016553577470338816,-0.03667262969588551,0.13416815742397137,1.0781610164004847,4.210130658543708,4.210130658543708,-0.035933375484394015,-0.04401105913850083,-0.6181494715575859
2020-09-30,1544000000.0,-7000000,-7000000.0,2732798000,961576000.0,1262223000.0,-272000000.0,262000000.0,-20000000.0,,70005000.0,70005000.0,1747104000.0,548786000.0,1771222000.0,1080929000.0,181294000.0,173704000.0,-0.007279715799895172,-0.0025614772844535162,-0.0045336787564766836,0.16968911917098445,1.3126606737272977,3.1835797560433394,3.1835797560433394,-0.0025614772844535162,-0.0031477665022783085,-0.09999285765302478
2020-12-31,1827000000.0,-63000000,-98000000.0,3035000000,802000000.0,1722000000.0,-161000000.0,244000000.0,-62000000.0,,73193000.0,73193000.0,1923000000.0,467000000.0,2233000000.0,1617000000.0,105000000.0,301000000.0,-0.07855361596009976,-0.020757825370675453,-0.034482758620689655,0.13355227148330598,2.14713216957606,4.117773019271948,4.117773019271948,-0.03228995057660626,-0.03882725832012678,-0.8607380487205061
2021-03-31,2245000000.0,-36000000,-59000000.0,3819000000,721000000.0,2445000000.0,-532000000.0,338000000.0,-30000000.0,,78103000.0,78103000.0,2628000000.0,696000000.0,3098000000.0,2254000000.0,191000000.0,370000000.0,-0.049930651872399444,-0.009426551453260016,-0.016035634743875277,0.15055679287305124,3.391123439667129,3.7758620689655173,3.7758620689655173,-0.015449070437287249,-0.018635502210991788,-0.46092979783106924
2021-06-30,3336000000.0,22000000,82000000.0,4581000000,770000000.0,3078000000.0,-607000000.0,552000000.0,-43000000.0,,78103000.0,78103000.0,3245000000.0,1333000000.0,3811000000.0,2327000000.0,751000000.0,201000000.0,0.02857142857142857,0.004802444881030343,0.006594724220623501,0.16546762589928057,3.9974025974025973,2.434358589647412,2.434358589647412,0.017900021829294913,0.02130977130977131,0.2816793208967645
2021-09-30,3480000000.0,-32000000,-23000000.0,5360000000,708000000.0,3663000000.0,-283000000.0,523000000.0,-48000000.0,,84779000.0,84779000.0,3690000000.0,1261000000.0,4652000000.0,3134000000.0,529000000.0,297000000.0,-0.04519774011299435,-0.005970149253731343,-0.009195402298850575,0.1502873563218391,5.173728813559322,2.9262490087232353,2.9262490087232353,-0.004291044776119403,-0.00526195378631892,-0.37745196333997805
2021-12-31,3753000000.0,-89000000,-104000000.0,7015000000,525000000.0,5413000000.0,-8769000000.0,516000000.0,-55000000.0,-1000000.0,84779000.0,84779000.0,4892000000.0,2890000000.0,6490000000.0,3208000000.0,2205000000.0,403000000.0,-0.16952380952380952,-0.012687099073414112,-0.023714361843858247,0.1374900079936051,10.31047619047619,1.6927335640138408,1.6927335640138408,-0.014825374198146828,-0.017514314584035028,-1.049788273039314
2022-03-31,3497000000.0,-260000000,-429000000.0,7585000000,52000000.0,6250000000.0,-593000000.0,298000000.0,-64000000.0,,86939000.0,86939000.0,5070000000.0,3741000000.0,7533000000.0,3286000000.0,2964000000.0,247000000.0,-5.0,-0.034278180619644036,-0.07434944237918216,0.0852158993422934,120.1923076923077,1.355252606255012,1.355252606255012,-0.056558998022412654,-0.06807362741986671,-2.9906026064251945
2022-06-30,3884000000.0,-238000000,-325000000.0,10502000000,864000000.0,7935000000.0,106000000.0,396000000.0,-116000000.0,-1000000.0,101450000.0,101450000.0,5491000000.0,2368000000.0,9638000000.0,6605000000.0,1330000000.0,1047000000.0,-0.27546296296296297,-0.022662350028565988,-0.061277033985581875,0.101956745623069,9.184027777777779,2.3188344594594597,2.3188344594594597,-0.030946486383545992,-0.03693601545630185,-2.345983242976836
2022-09-30,3386000000.0,-283000000,-297000000.0,9621000000,374000000.0,7404000000.0,-98000000.0,359000000.0,-153000000.0,,101450000.0,101450000.0,4469000000.0,1878000000.0,9247000000.0,6616000000.0,788000000.0,316000000.0,-0.7566844919786097,-0.029414821744101444,-0.08357944477259303,0.10602480803307737,19.796791443850267,2.3796592119275823,2.3796592119275823,-0.03086997193638915,-0.038184623296477246,-2.7895515032035485
2022-12-31,2837000000.0,-806000000,-453000000.0,8698000000,-1053000000.0,8309000000.0,-7226000000.0,193000000.0,-153000000.0,0.0,100828000.0,100828000.0,4594000000.0,2592000000.0,9751000000.0,6574000000.0,1735000000.0,434000000.0,0.7654320987654321,-0.09266498045527707,-0.2841029256256609,0.06802960874162849,-7.8907882241215574,1.7723765432098766,1.7723765432098766,-0.05208093814670039,-0.06243109151047409,-7.993811242908716
2023-03-31,2606000000.0,-160000000,-132000000.0,8646000000,-1322000000.0,8457000000.0,-1182000000.0,341000000.0,-159000000.0,2000000.0,279192000.0,106011000.0,4616000000.0,2850000000.0,9968000000.0,6553000000.0,1904000000.0,488000000.0,0.12102874432677761,-0.018505667360629193,-0.06139677666922486,0.1308518802762855,-6.397125567322239,1.6196491228070176,1.6196491228070176,-0.015267175572519083,-0.018500350385423966,-0.5730823232757386
