report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-05-31,1270100000.0,-480000000,-202100000.0,9946100000,2331200000.0,1198800000.0,-205000000.0,10500000.0,-19900000.0,130600000.0,-94400000.0,119700000.0,124400000.0,1101400000.0,1792800000.0,7614900000.0,928800000.0,270000000.0,763300000.0,-0.2059025394646534,-0.04826012205789204,-0.37792299818911895,0.008267065585386977,0.5142415923129718,0.6143462739848282,0.6143462739848282,-0.020319522224791626,-0.05725212464589235,-4.010025062656641,-296500000.0,-4.043170320404721
2020-08-31,1527400000.0,36100000,56600000.0,9789500000,2375000000.0,929100000.0,206700000.0,301300000.0,-16600000.0,4800000.0,-87600000.0,130900000.0,130000000.0,971000000.0,1543900000.0,7414500000.0,929100000.0,,654600000.0,0.0152,0.0036876244956330763,0.023634935183972763,0.19726332329448737,0.3912,0.6289267439601011,0.6289267439601011,0.0057817048878900865,0.01713023213583124,0.2757830404889228,-31000000.0,-29.970967741935485
2020-11-30,1656500000.0,96000000,120700000.0,9927600000,2455100000.0,929400000.0,221900000.0,315400000.0,-14600000.0,-8800000.0,-86000000.0,131500000.0,130300000.0,1109700000.0,1546100000.0,7472500000.0,929400000.0,,777300000.0,0.03910227689299825,0.009670010878762238,0.05795351645034712,0.19040144883791127,0.3785589181703393,0.7177414138800854,0.7177414138800854,0.012158024094443772,0.03566257940611612,0.7300380228136882,34700000.0,26.78386167146974
2021-02-28,1733000000.0,128700000,151100000.0,10096100000,2575500000.0,929700000.0,317399999.0,337400000.0,-15200000.0,-3100000.0,-88200000.0,132000000.0,130500000.0,1300400000.0,1646500000.0,7520600000.0,929700000.0,,993900000.0,0.04997087944088526,0.01274749655807688,0.07426428159261396,0.19469128678592038,0.3609784507862551,0.7897965381111448,0.7897965381111448,0.014966175057695546,0.04310738331621591,0.975,62900000.0,14.78060413354531
2021-05-31,2279200000.0,368500000,328600000.0,10656100000,2813099999.0,929800000.0,447500001.0,539400000.0,-17100000.0,63000000.0,-89100000.0,131500000.0,130300000.0,1871100000.0,1848300000.0,7843000000.0,929800000.0,,1214700000.0,0.1309942768230757,0.034581131933821944,0.1616795366795367,0.23666198666198665,0.3305250436637606,1.0123356597954878,1.0123356597954878,0.03083679770272426,0.08779288789115201,2.802281368821293,239500000.0,3.8822546972860126
2021-08-31,2306000000.0,230900000,280600000.0,10541700000,2752400000.0,936700000.0,180300000.0,506500000.0,-15600000.0,-33300000.0,-89000000.0,128200000.0,127000000.0,1658000000.0,1715000000.0,7789300000.0,936700000.0,,947800000.0,0.08389042290364773,0.021903488052211692,0.10013009540329575,0.2196444058976583,0.34032117424792907,0.9667638483965014,0.9667638483965014,0.026618097650284108,0.07606191211948714,1.8010920436817472,191600000.0,4.888830897703549
2021-11-30,2272200000.0,193200000,242600000.0,10403300000,2543000000.0,929000000.0,301200000.0,448300000.0,-16700000.0,-32500000.0,-92100000.0,128200000.0,127000000.0,1514200000.0,1780700000.0,7860300000.0,929000000.0,,746300000.0,0.07597325992921745,0.018571030346140167,0.08502772643253234,0.19729777308335533,0.3653165552497051,0.8503397540293143,0.8503397540293143,0.023319523612699816,0.06987327188940093,1.5070202808112325,150500000.0,6.172757475083056
2022-02-28,2448900000.0,247000000,297000000.0,10205400000,2285800000.0,916400000.0,435000000.0,501800000.0,-17500000.0,-35400000.0,-94300000.0,128200000.0,127000000.0,1280100000.0,1815900000.0,7919600000.0,916400000.0,,555300000.0,0.1080584478082072,0.024202872988809847,0.10086161133570175,0.20490832618726776,0.40090996587627964,0.7049396993226499,0.7049396993226499,0.029102239990593217,0.09274873524451939,1.9266770670826834,202700000.0,4.52096694622595
2022-05-31,2602900000.0,281700000,341700000.0,10135800000,2198200000.0,901000000.0,348100000.0,538400000.0,-18900000.0,-37600000.0,-93000000.0,131800000.0,130400000.0,1179400000.0,1847500000.0,7937600000.0,901000000.0,,420600000.0,0.12815030479483214,0.027792576806961462,0.1082254408544316,0.20684620999654232,0.40988081157310524,0.6383761840324763,0.6383761840324763,0.03371218848043568,0.11025425916365514,2.1373292867981792,248700000.0,3.6228387615601125
2022-08-31,2446100000.0,193000000,239300000.0,10014500000,2064100000.0,895100000.0,428300000.0,453500000.0,-19800000.0,-30800000.0,-95600000.0,128200000.0,127000000.0,941000000.0,1825300000.0,7950400000.0,895100000.0,,377500000.0,0.0935032217431326,0.01927205551949673,0.07890110788602264,0.18539716283062835,0.43365147037449736,0.5155316934202597,0.5155316934202597,0.023895351739977033,0.08086645039199784,1.5054602184087365,143700000.0,6.228949199721642
