report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,2241000000.0,258000000,386000000.0,16465000000,6192000000.0,6294000000.0,171000000.0,577000000.0,-52000000.0,-56000000.0,136500000.0,136000000.0,3851000000.0,2315000000.0,10273000000.0,5399000000.0,895000000.0,680000000.0,0.041666666666666664,0.01566960218645612,0.11512717536813923,0.2574743418116912,1.0164728682170543,1.663498920086393,1.663498920086393,0.02344366838748861,0.030914624379304822,1.89010989010989
2020-06-30,1924000000.0,27000000,194000000.0,15973000000,6098000000.0,6133000000.0,436000000.0,371000000.0,-55000000.0,31000000.0,136100000.0,135300000.0,3526000000.0,1878000000.0,9875000000.0,5431000000.0,702000000.0,704000000.0,0.0044276812069531,0.0016903524697927752,0.014033264033264034,0.19282744282744282,1.005739586749754,1.8775292864749733,1.8775292864749733,0.012145495523696237,0.01586133594963617,0.19838354151359294
2020-09-30,2122000000.0,161000000,310000000.0,16009000000,6156000000.0,5865000000.0,442000000.0,501000000.0,-52000000.0,-25000000.0,136300000.0,135300000.0,3534000000.0,1789000000.0,9853000000.0,5495000000.0,370000000.0,650000000.0,0.026153346328784924,0.010056843025797988,0.07587181903864279,0.2360980207351555,0.952729044834308,1.975405254332029,1.975405254332029,0.0193641076894247,0.025788203976374678,1.1812179016874542
2020-12-31,2186000000.0,32000000,86000000.0,16083000000,6108000000.0,5618000000.0,406000000.0,526000000.0,-51000000.0,9000000.0,137100000.0,135400000.0,3541000000.0,2038000000.0,9975000000.0,5269000000.0,349000000.0,564000000.0,0.005239030779305829,0.0019896785425604674,0.01463860933211345,0.24062214089661482,0.9197773411918795,1.737487733071639,1.737487733071639,0.005347261083131257,0.0073341292853487975,0.23340627279358134
2021-03-31,2409000000.0,274000000,392000000.0,16195000000,6319000000.0,5524000000.0,216000000.0,598000000.0,-50000000.0,-62000000.0,137600000.0,136100000.0,3797000000.0,2016000000.0,9876000000.0,5200000000.0,324000000.0,540000000.0,0.04336129134356702,0.016918802099413398,0.11374014113740141,0.24823578248235784,0.8741889539484096,1.8834325396825398,1.8834325396825398,0.024205001543686322,0.03309972135438656,1.9912790697674418
2021-06-30,2653000000.0,-146000000,453000000.0,16098000000,6028000000.0,5548000000.0,426000000.0,681000000.0,-51000000.0,-37000000.0,135900000.0,135900000.0,4738000000.0,2295000000.0,10070000000.0,5223000000.0,325000000.0,609000000.0,-0.024220305242203054,-0.00906944962107094,-0.05503203920090464,0.25669053901243877,0.920371599203716,2.064488017429194,2.064488017429194,0.02814014163250093,0.03913268832066344,-1.0743193524650478
2021-09-30,2720000000.0,351000000,431000000.0,16259000000,6207000000.0,5488000000.0,547000000.0,662000000.0,-49000000.0,33000000.0,137000000.0,135300000.0,4875000000.0,3113000000.0,10052000000.0,4442000000.0,1046000000.0,717000000.0,0.05654905751570807,0.021588043545113476,0.12904411764705884,0.24338235294117647,0.8841630417270824,1.5660134918085449,1.5660134918085449,0.026508395350267545,0.03685335613510047,2.562043795620438
2021-12-31,2694000000.0,378000000,587000000.0,15519000000,5788000000.0,5159000000.0,341000000.0,559000000.0,-48000000.0,-149000000.0,127900000.0,122700000.0,4646000000.0,2971000000.0,9731000000.0,4412000000.0,747000000.0,459000000.0,0.06530753282653766,0.02435723951285521,0.1403118040089087,0.2074981440237565,0.8913268832066344,1.5637832379670145,1.5637832379670145,0.03782460210065081,0.05362199689412624,2.9554339327599686
2022-03-31,2714000000.0,235000000,320000000.0,15806000000,5977000000.0,5363000000.0,17000000.0,550000000.0,-46000000.0,-51000000.0,134600000.0,132500000.0,4929000000.0,3136000000.0,9829000000.0,4379000000.0,984000000.0,487000000.0,0.0393173833026602,0.014867771732253574,0.08658806190125276,0.20265291083271925,0.8972728793709218,1.5717474489795917,1.5717474489795917,0.02024547640136657,0.02821869488536155,1.7459138187221397
2022-06-30,2784000000.0,256000000,438000000.0,14875000000,5407000000.0,4991000000.0,245000000.0,670000000.0,-45000000.0,-124000000.0,130700000.0,129000000.0,4003000000.0,3148000000.0,9468000000.0,4012000000.0,979000000.0,456000000.0,0.047346032920288515,0.017210084033613446,0.09195402298850575,0.2406609195402299,0.9230626965045312,1.2716010165184244,1.2716010165184244,0.029445378151260505,0.042123485285631854,1.9586840091813313
