report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,205545000.0,68936000,44712000.0,1030787000,316207000.0,395783000.0,39222000.0,80675000.0,-2064000.0,11868000.0,138104000.0,123531000.0,751697000.0,233622000.0,714580000.0,295216000.0,100567000.0,549144000.0,0.21800908898284985,0.06687705607463036,0.33538154661996156,0.3924931280254932,1.251657932936336,3.2175779678283725,3.2175779678283725,0.043376565672636536,0.06279863481228669,0.49916005329317037
2020-06-30,125538000.0,-47294000,10854000.0,997927000,370176000.0,355445000.0,25431000.0,48387000.0,-5670000.0,6561000.0,125603000.0,125603000.0,757201000.0,223523000.0,627751000.0,253174000.0,102271000.0,607254000.0,-0.1277608488934993,-0.04739224412206504,-0.3767305517054597,0.38543707881278977,0.960205415802213,3.3875753278186136,3.3875753278186136,0.010876547082101196,0.014958221991921402,-0.37653559230273165
2020-09-30,178503000.0,39362000,51759000.0,1092340000,416206000.0,360122000.0,67501000.0,94981000.0,-5883000.0,-5483000.0,141820000.0,126109000.0,850234000.0,256519000.0,676134000.0,256452000.0,103670000.0,661792000.0,0.09457336030715559,0.03603456799165095,0.22051170008347198,0.5320974997619088,0.865249419758485,3.314506917616239,3.314506917616239,0.04738359851328341,0.0666715615049309,0.27754900578197716
2020-12-31,264839000.0,72991000,79114000.0,1200102000,483993000.0,330865000.0,84180000.0,121938000.0,-5228000.0,1639000.0,162145000.0,127001000.0,933064000.0,534043000.0,716109000.0,4898000.0,325967000.0,679379000.0,0.1508100323765013,0.06082066357692929,0.2756051789955407,0.4604231249929202,0.6836152588983725,1.7471701716902945,1.7471701716902945,0.06592272990129172,0.09708930881208751,0.45015880847389683
2021-03-31,301754000.0,31698000,61386000.0,2194199000,732841000.0,1002229000.0,75841000.0,122949000.0,-7256000.0,33364000.0,146442000.0,131303000.0,1791362000.0,344473000.0,1461358000.0,917873000.0,84356000.0,1489010000.0,0.04325358433821252,0.014446274016167176,0.10504583203536656,0.40744778859600866,1.3675940620134517,5.200297265678297,5.200297265678297,0.02797649620658837,0.035379552409989225,0.2164542958987176
2021-06-30,316057000.0,39351000,59400000.0,2100656000,584399000.0,1014140000.0,65660000.0,127801000.0,-12408000.0,-6995000.0,141611000.0,135133000.0,1665919000.0,356593000.0,1516257000.0,929015000.0,85125000.0,1312261000.0,0.0673358441749558,0.018732719683755932,0.12450602264781353,0.4043606058400858,1.7353554677540517,4.671765850703744,4.671765850703744,0.028276881126657577,0.03715893074863985,0.277880955575485
2021-09-30,351519000.0,21809000,37351000.0,2230164000,647815000.0,1026283000.0,113354000.0,140358000.0,-12518000.0,-3898000.0,141220000.0,134721000.0,1768081000.0,393455000.0,1582349000.0,940244000.0,86039000.0,1394123000.0,0.03366547548296968,0.009779101447247826,0.062042165572842436,0.39928993880842856,1.584222347429436,4.49373117637341,4.49373117637341,0.016748095655745497,0.022311119181792224,0.1544327998867016
2021-12-31,412719000.0,52591000,57695000.0,2079256000,430168000.0,1037646000.0,97173000.0,163314000.0,-12275000.0,2050000.0,135607000.0,137727000.0,1462461000.0,439796000.0,1649088000.0,951594000.0,86052000.0,1016651000.0,0.12225688568187312,0.025293181791948657,0.12742568188040773,0.3957026451411251,2.412187796395827,3.325316737760234,3.325316737760234,0.027747905981755014,0.03930675140038179,0.3878192128724918
2022-03-31,441292000.0,51821000,61824000.0,2263277000,330982000.0,1284169000.0,102443000.0,176973000.0,-2276000.0,-5586000.0,141480000.0,134920000.0,1558783000.0,453756000.0,1932295000.0,1196950000.0,87219000.0,1063471000.0,0.1565674266274299,0.022896446170751525,0.11743018228293284,0.40103378262012457,3.8798756427842,3.4352890099524855,3.4352890099524855,0.027316143803873764,0.03827753566075246,0.36627791914051455
2022-06-30,530196000.0,76976000,94036000.0,2437108000,450999000.0,1286215000.0,200650000.0,219005000.0,-1372000.0,-15232000.0,143725000.0,135196000.0,1735992000.0,480010000.0,1986109000.0,1197786000.0,88429000.0,1247801000.0,0.1706788706848574,0.03158497694808765,0.14518404514556882,0.41306422530535875,2.851924283645862,3.616574654694694,3.616574654694694,0.03858507706675289,0.054130348938012246,0.5355783614541659
2022-09-30,634713000.0,114812000,136035000.0,2697835000,610053000.0,1288281000.0,188010000.0,267916000.0,1425000.0,-19443000.0,145962000.0,135633000.0,1982664000.0,550236000.0,2087782000.0,1198627000.0,89654000.0,1417296000.0,0.18820004163572673,0.04255708744233802,0.18088805491615895,0.4221057391293388,2.111752585431102,3.6032974941661395,3.6032974941661395,0.05042376572325587,0.07166020310440628,0.7865882901029035
