report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,651359000.0,85565000,87509000.0,2311881000,1647482000.0,25046000.0,63255000.0,227557000.0,2386000.0,-10854000.0,-14940000.0,58142570.0,55286747.0,1507737000.0,389321000.0,664399000.0,25046000.0,,916253000.0,0.05193683451473218,0.03701098802230738,0.13136381012621304,0.34935726688354657,0.01520259401923663,3.8727348383467626,3.8727348383467626,0.037851861752399886,0.052321396114145775,1.4716411744441293,72569000.0,0.3451335969904505
2020-06-30,632383000.0,66624000,83426000.0,2389130000,1753094000.0,25044000.0,146156000.0,212843000.0,1817000.0,-9452000.0,-15226000.0,58246231.0,55700706.0,1598336000.0,365580000.0,636036000.0,25044000.0,,1053749000.0,0.038003666660201905,0.027886301708153177,0.10535387573669754,0.33657293127740623,0.014285600201700535,4.372055364078998,4.372055364078998,0.0349189872464035,0.0469176183175884,1.143833667108864,68200000.0,0.3672140762463343
2020-09-30,652243000.0,89432000,96396000.0,2555425000,1860234000.0,25039000.0,175564000.0,228855000.0,1672000.0,-14532000.0,-15929000.0,58616106.0,55883879.0,1752222000.0,414831000.0,695191000.0,25039000.0,,1221154000.0,0.048075672200379095,0.03499691832082726,0.1371145416662195,0.3508738307655276,0.01346013458521885,4.223941797985203,4.223941797985203,0.037722101020378214,0.051131056350990016,1.525724004934753,80467000.0,0.31117103905949023
2020-12-31,723493000.0,85539000,111993000.0,2721332000,1983018000.0,25038000.0,159432000.0,257701000.0,-5875000.0,-16481000.0,-16779000.0,58779093.0,56036668.0,1912782000.0,465950000.0,738314000.0,25038000.0,,1382150000.0,0.04313576578729996,0.03143276895285103,0.11823058412451813,0.35619003915725517,0.012626209141823221,4.105122867260436,4.105122867260436,0.04115374382838992,0.055771850984235496,1.4552623328161938,95214000.0,0.26296553027916064
2021-03-31,780775000.0,109046000,107251000.0,2780541000,2063939000.0,25032000.0,12827000.0,261447000.0,5374000.0,-5878000.0,-17807000.0,58778000.0,56170000.0,2004718000.0,463761000.0,716602000.0,25032000.0,,1372829000.0,0.05283392580885385,0.03921754795199927,0.13966379558771733,0.33485575229739684,0.012128265418696967,4.322739514534426,4.322739514534426,0.03857199012710116,0.051341545670093074,1.8552179386845418,89444000.0,0.27986226018514376
2021-06-30,881366000.0,114671000,125274000.0,2961615000,2212668000.0,25029000.0,68836000.0,297638000.0,2580000.0,-8490000.0,-20454000.0,58778000.0,56170000.0,2038018000.0,522948000.0,748947000.0,29000.0,25000000.0,1283233000.0,0.05182476539634505,0.038719077260211066,0.13010599455844676,0.33770079626398114,0.01131168345183281,3.8971714204854018,3.8971714204854018,0.04229921850071667,0.05598345084254035,1.9509170097655586,104820000.0,0.2387807670291929
2021-09-30,988539000.0,115656000,144124000.0,3242233000,2339119000.0,25024000.0,206050000.0,335165000.0,,-19702000.0,-21543000.0,59203000.0,56649000.0,2092194000.0,632547000.0,903114000.0,25024000.0,,1266614000.0,0.049444256576942,0.03567171144084956,0.11699690148795343,0.33905086192856326,0.010698044862189568,3.3075708208243815,3.3075708208243815,0.0444520797857526,0.060962471390267,1.953549651200108,122581000.0,0.20414256695572724
2021-12-31,1107464000.0,142279000,165667000.0,3523227000,2495837000.0,46252000.0,284614000.0,380197000.0,,-17670000.0,-23591000.0,59203000.0,56649000.0,2269480000.0,763420000.0,1027390000.0,30234000.0,16018000.0,1446625000.0,0.057006527269208684,0.040383148744034945,0.12847279911581777,0.34330416157997007,0.01853165891843097,2.972780383013282,2.972780383013282,0.047021381250768116,0.06516963017423859,2.4032397006908433,142076000.0,0.3255440750021115
2022-03-31,1171614000.0,89719000,129242000.0,3507570000,2552103000.0,40450000.0,-51848000.0,390778000.0,,-16573000.0,-24259000.0,59254000.0,56754000.0,2266753000.0,683252000.0,955467000.0,30550000.0,9900000.0,1276461000.0,0.03515492909181173,0.02557867697579806,0.07657726862260096,0.3335381789565505,0.01584967377884043,3.3175943868440925,3.3175943868440925,0.036846591800021096,0.049851247014043684,1.5141425051473318,104983000.0,0.38530047722012134
2022-06-30,1194861000.0,18604000,93020000.0,3563964000,2622353000.0,36922000.0,77515000.0,348538000.0,,9946000.0,-22991000.0,59020000.0,57240000.0,2359678000.0,684703000.0,941611000.0,30221000.0,6701000.0,1353616000.0,0.0070943919449441015,0.0052200302808894814,0.01557001190933506,0.2916975279969804,0.014079721532532043,3.44627962780943,3.44627962780943,0.026100151404447408,0.03497945868704816,0.31521518129447645,70029000.0,0.5272387153893388
2022-09-30,1226920000.0,156054000,180227000.0,3735603000,2758644000.0,35988000.0,252368000.0,400124000.0,,-35092000.0,-21876000.0,59020000.0,57240000.0,2527986000.0,727957000.0,976959000.0,28198000.0,7790000.0,1547815000.0,0.05656909699113043,0.04177478174206413,0.12719166693834968,0.3261206924656864,0.013045539765188983,3.4727133608166416,3.4727133608166416,0.048245758449171394,0.06449042306822508,2.644086750254151,158351000.0,0.22726727333581725
2022-12-31,1231303000.0,155039000,170477000.0,4009151000,3003010000.0,27693000.0,186069000.0,398575000.0,,-46123000.0,-23146000.0,59518000.0,55362000.0,2759625000.0,747483000.0,1006141000.0,27693000.0,,1741680000.0,0.05162786670707057,0.03867127977968403,0.1259145799206207,0.3237018020747127,0.009221747513328294,3.691889982782217,3.691889982782217,0.04252197036230364,0.05624998556440535,2.604909439161262,147331000.0,0.18796451527512878
2023-03-31,1210941000.0,102292000,120371000.0,4071345000,3130442000.0,28253000.0,87334000.0,355040000.0,,-24992000.0,-22782000.0,59298000.0,57702000.0,2830789000.0,682858000.0,940903000.0,28253000.0,,1809795000.0,0.03267653577354252,0.025124866598138944,0.08447314939373594,0.2931934751569234,0.009025243080689563,4.14550170020707,4.14550170020707,0.029565413886565743,0.03810782617505014,1.72504974872677,97589000.0,0.28951008822715674
2023-06-30,1170206000.0,120033000,144346000.0,4093697000,3263340000.0,25854000.0,89052000.0,361491000.0,,-30013000.0,-22768000.0,59181000.0,57993000.0,2871974000.0,584065000.0,830357000.0,25854000.0,,1848295000.0,0.03678225376454798,0.02932141777957675,0.10257424761110437,0.30891227698371054,0.00792255787015757,4.917216405708269,4.917216405708269,0.03526054810602739,0.043884915271036,2.028235413392812,121578000.0,0.2126536050930267
