report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2020-03-31,532000000.0,46000000,308000000.0,75849000000,8146000000.0,4219000000.0,5203000000.0,-18000000.0,310273856.0,307004672.0,67702000000.0,4219000000.0,3101000000.0,0.0056469432850478765,0.0006064681142796873,0.08646616541353383,0.5179229069481954,0.004060699547785732,0.024909017387788113,0.1482561263556798
2020-06-30,539000000.0,32000000,222000000.0,83965000000,8253000000.0,6229000000.0,-1557000000.0,-15000000.0,312125848.0,309430436.0,75711000000.0,6229000000.0,3115000000.0,0.00387737792317945,0.00038111117727624604,0.059369202226345084,0.7547558463588998,0.002643958792353957,0.015329374395801685,0.10252274909317988
2020-09-30,548000000.0,46000000,334000000.0,84698000000,8546000000.0,6553000000.0,-174000000.0,-32000000.0,316482192.0,314038500.0,76152000000.0,6553000000.0,3292000000.0,0.005382635150947812,0.0005431060945949137,0.08394160583941605,0.7667914813948046,0.003943422512928286,0.022120670243062454,0.14534783050289288
2020-12-31,599000000.0,71000000,392000000.0,95679000000,9003000000.0,10109000000.0,4596000000.0,-12000000.0,351340632.0,348555016.0,86676000000.0,10109000000.0,4292000000.0,0.007886260135510385,0.0007420646118793048,0.11853088480801335,1.122847939575697,0.004097032786713908,0.020510673922143157,0.20208308841432265
2021-03-31,893000000.0,107000000,639000000.0,103764000000,9437000000.0,12270000000.0,3734000000.0,-53000000.0,367064568.0,363157284.0,94327000000.0,12270000000.0,2627000000.0,0.011338349051605382,0.001031186153193786,0.11982082866741321,1.3002013351700752,0.006158205157858217,0.02943750863776662,0.2915018482524851
2021-06-30,754000000.0,92000000,541000000.0,104331000000,9928000000.0,12196000000.0,1324000000.0,-35000000.0,367064568.0,363157284.0,94403000000.0,12196000000.0,3218000000.0,0.009266720386784852,0.0008818088583450748,0.1220159151193634,1.2284448025785657,0.005185419482224842,0.0244530826252034,0.25063710317036103
2021-09-30,464000000.0,42000000,234000000.0,106282000000,10011000000.0,10796000000.0,1213000000.0,-28000000.0,395921356.0,392727500.0,96271000000.0,10796000000.0,2838000000.0,0.004195385076415942,0.0003951751002051147,0.09051724137931035,1.0784137448806312,0.002201689843999925,0.011246215216033065,0.10608167345234087
2021-12-31,603000000.0,67000000,373000000.0,109113000000,10222000000.0,11978000000.0,-375000000.0,-35000000.0,395921356.0,392727500.0,98891000000.0,11978000000.0,2395000000.0,0.006554490315006848,0.0006140423230962397,0.1111111111111111,1.1717863431813735,0.0034184744255954837,0.0168018018018018,0.16922552669778188
2022-03-31,645000000.0,73000000,394000000.0,114423000000,10482000000.0,11880000000.0,2125000000.0,-28000000.0,396899104.0,392904588.0,103941000000.0,11880000000.0,2667000000.0,0.006964319786300324,0.0006379836221738636,0.11317829457364341,1.1333714939896966,0.0034433636594041407,0.017619175386816923,0.1839258372324267
2022-06-30,656000000.0,72000000,392000000.0,113386000000,10602000000.0,10931000000.0,-541000000.0,-32000000.0,398781956.0,395415924.0,102784000000.0,10931000000.0,2881000000.0,0.006791171477079796,0.0006349990298625932,0.10975609756097561,1.0310318807772119,0.003457216940363008,0.018204616170528955,0.18054979398315604
2022-09-30,790000000.0,99000000,523000000.0,114683000000,10900000000.0,9936000000.0,2414000000.0,-40000000.0,410221928.0,407274668.0,103783000000.0,9936000000.0,3184000000.0,0.00908256880733945,0.0008632491302111037,0.12531645569620253,0.911559633027523,0.004560396920206133,0.025100787099251298,0.24133278414117346
2022-12-31,976000000.0,136000000,689000000.0,115143000000,11615000000.0,8958000000.0,-30000000.0,-56000000.0,377782436.0,375314820.0,103528000000.0,8958000000.0,3436000000.0,0.011708996986655187,0.0011811399737717448,0.13934426229508196,0.7712440809298321,0.005983863543593619,0.03349049725368201,0.35999556104297026
2023-03-31,1056000000.0,148000000,761000000.0,119469000000,12233000000.0,10919000000.0,-923000000.0,-61000000.0,416170284.0,411834640.0,107236000000.0,10919000000.0,3214000000.0,0.012098422300335159,0.0012388150901070571,0.14015151515151514,0.8925856290362135,0.0063698532673748,0.03286973047684865,0.3556236610108376
2023-06-30,1000000000.0,125000000,652000000.0,120593000000,12657000000.0,10435000000.0,2119000000.0,-51000000.0,417854916.0,414350228.0,107936000000.0,10435000000.0,3681000000.0,0.009875957967922889,0.0010365444097086896,0.125,0.8244449711622027,0.0054066156410405245,0.02823488654079335,0.2991468933681278
2023-09-30,1145000000.0,167000000,840000000.0,120636000000,13264000000.0,10691000000.0,979000000.0,-68000000.0,428045708.0,428205400.0,107372000000.0,10691000000.0,3824000000.0,0.012590470446320869,0.0013843297191551444,0.14585152838427948,0.8060162846803377,0.006963095593355217,0.03506574827802129,0.39014525056282073
2023-12-31,1139000000.0,160000000,816000000.0,128251000000,14067000000.0,11557000000.0,2369000000.0,-77000000.0,431479124.0,425050532.0,114184000000.0,11557000000.0,3753000000.0,0.011374138053600626,0.001247553625312863,0.14047410008779632,0.8215682092841402,0.006362523489095602,0.031845145176397124,0.370817476675882
2024-03-31,1203000000.0,175000000,866000000.0,132238000000,14659000000.0,14466000000.0,1683000000.0,-71000000.0,432597760.0,428283320.0,117579000000.0,14466000000.0,4063000000.0,0.01193805853059554,0.0013233714968465947,0.14546965918536992,0.9868340268776861,0.006548798378680863,0.02973390557939914,0.4045328390049916
2024-06-30,1230000000.0,179000000,880000000.0,136648000000,15184000000.0,16166000000.0,1621000000.0,-71000000.0,434507344.0,430876080.0,121464000000.0,16166000000.0,3918000000.0,0.01178872497365648,0.0013099350155143141,0.14552845528455285,1.0646733403582718,0.006439903986886013,0.028070175438596492,0.4119608160178761
2024-09-30,1365000000.0,184000000,909000000.0,148526000000,16004000000.0,17232000000.0,3582000000.0,-75000000.0,438145440.0,435031964.0,132521000000.0,17232000000.0,3595000000.0,0.011497125718570358,0.0012388403377186486,0.1347985347985348,1.076730817295676,0.0061201405814470195,0.02734986159585991,0.4199518771666322
2024-12-31,1387000000.0,217000000,1040000000.0,150142000000,16597000000.0,16555000000.0,1838000000.0,-71000000.0,438796464.0,435603820.0,133545000000.0,16555000000.0,3633000000.0,0.013074652045550401,0.0014452984507999094,0.15645277577505406,0.9974694221847322,0.006926775985400487,0.03137065637065637,0.49453452295823425
