report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,449789000.0,49956000,119246000.0,17593345000,7958127000.0,8638805000.0,177721000.0,282873000.0,-84757000.0,-135027000.0,543904420.0,542549512.0,515795000.0,8879499000.0,9635218000.0,605559000.0,8033246000.0,297060000.0,0.006277356468425296,0.0028394827703316227,0.11106541067033654,0.6289015516164246,1.0855324374692688,0.058088299801599165,0.058088299801599165,0.006777903803966784,0.007184821869487686,0.09184701973924021,-15781000.0,-547.418097712439
2020-06-30,449755000.0,42903000,116532000.0,17746316000,8343873000.0,8351572000.0,218214000.0,268224000.0,-86071000.0,-137266000.0,549920213.0,548811968.0,795613000.0,8911423000.0,9402443000.0,336820000.0,8014752000.0,571719000.0,0.005141856785212335,0.002417572187940303,0.09539193560938733,0.5963780280374871,1.0009227129895193,0.0892801295595552,0.0892801295595552,0.006566545980585491,0.006979867862162404,0.07801677222582833,-20734000.0,-402.79598726729046
2020-09-30,459184000.0,32654000,110244000.0,17750787000,8331377000.0,8330045000.0,229737000.0,266363000.0,-87713000.0,-138147000.0,561871373.0,560598995.0,808908000.0,8925427000.0,9419410000.0,338112000.0,7991933000.0,559567000.0,0.003919400118371789,0.0018395804084630164,0.07111310498623645,0.5800790097215931,0.9998401224671504,0.09062961357479031,0.09062961357479031,0.006210654209303509,0.006616722150126202,0.05811650418431266,-27903000.0,-298.5358205210909
2020-12-31,464100000.0,70699000,121815000.0,17506222000,8556073000.0,8031504000.0,71040000.0,280584000.0,-95382000.0,-142090000.0,566138422.0,564012809.0,411768000.0,5580807000.0,8950149000.0,3211406000.0,4820098000.0,213422000.0,0.008263019728793805,0.0040385069948273246,0.1523357035121741,0.6045765998707175,0.9386904482932766,0.07378287763758898,0.07378287763758898,0.006958383139434653,0.0073437488790556935,0.12487935326883715,-20275000.0,-396.1284340320592
2021-03-31,475225000.0,57367000,129559000.0,17490419000,8632360000.0,8022682000.0,240588000.0,291010000.0,-83406000.0,-144501000.0,568826104.0,567375502.0,410821000.0,8357124000.0,8858059000.0,340730000.0,7681952000.0,187310000.0,0.0066455754857304376,0.0032799099895777224,0.12071545057604292,0.6123625651007417,0.9293729640561793,0.04915817929708833,0.04915817929708833,0.007407426888972757,0.007778965672977588,0.10085156007537938,-14942000.0,-536.9215633783965
2021-06-30,491633000.0,60338000,133407000.0,17484611000,8619676000.0,8014437000.0,218328000.0,298515000.0,-80764000.0,-145280000.0,569389098.0,568037404.0,368144000.0,8062261000.0,8864935000.0,640449000.0,7373988000.0,126168000.0,0.007000031091655881,0.0034509203550482192,0.12272975980050159,0.6071907296703029,0.9297840197241752,0.04566262491378039,0.04566262491378039,0.007629966717589542,0.008020084990404958,0.10596971422870481,-11873000.0,-675.0136444032679
2021-09-30,509532000.0,69177000,53435000.0,18250566000,9523245000.0,7813137000.0,289740000.0,,,-150694000.0,578571392.0,577011178.0,821150000.0,4608384000.0,8727321000.0,3955274000.0,3857863000.0,569663000.0,0.007264015574523179,0.0037904029935290776,0.13576576152233816,,0.8204280158706407,0.17818610601894286,0.17818610601894286,0.0029278544018853992,0.003082246341826109,0.11956519274288625,-97259000.0,-80.33330591513382
2021-12-31,520225000.0,74543000,400011000.0,18537846000,9838804000.0,7998659000.0,159004000.0,,-322661000.0,-151660000.0,597498974.0,595620628.0,818858000.0,3249486000.0,8699042000.0,4942806000.0,3055853000.0,610166000.0,0.0075764290049888175,0.004021125215950117,0.14328992262963142,,0.8129706618812612,0.251996161854521,0.251996161854521,0.021578073310135386,0.02242533032864595,0.12475837322525679,248351000.0,32.20707385917512
2022-03-31,532310000.0,92615000,155639000.0,18544222000,10225132000.0,7855608000.0,235034000.0,329074000.0,-74389000.0,-155796000.0,578571392.0,577011178.0,683149000.0,3347064000.0,8319090000.0,4804018000.0,3051590000.0,467457000.0,0.009057584782279584,0.0049942780020644706,0.17398696248426668,0.618199921098608,0.7682647030864737,0.20410395498861092,0.20410395498861092,0.00839285681545443,0.00860799945134989,0.16007531876031644,-157000.0,-50035.71974522293
2022-06-30,557300000.0,110963000,166892000.0,18506984000,10281989000.0,7753931000.0,317023000.0,344806000.0,-74840000.0,-158572000.0,611620475.0,610331643.0,479596000.0,2511390000.0,8224995000.0,5542192000.0,2211739000.0,272708000.0,0.010791978089064284,0.005995736528437048,0.1991082002512112,0.6187080567019558,0.7541275331066781,0.1909683482055754,0.1909683482055754,0.009017784853545019,0.009253312279052026,0.1814245999531,8320000.0,931.962860576923
2022-09-30,568675000.0,79179000,161952000.0,18678414000,10346349000.0,7753031000.0,351889000.0,342503000.0,-76454000.0,-160428000.0,612647588.0,610845820.0,515896000.0,2613546000.0,8332065000.0,5545239000.0,2207792000.0,300312000.0,0.00765284449615995,0.004239064408787598,0.1392341847276564,0.6022824987910493,0.7493494565087646,0.1973931203047507,0.1973931203047507,0.008670543441215085,0.008947930813099676,0.12924069489685153,1524000.0,5087.2906824146985
2022-12-31,579836000.0,100572000,167212000.0,18536708000,10323631000.0,7769077000.0,119641000.0,347451000.0,-78409000.0,-163318000.0,641610129.0,640893799.0,453927000.0,198423000.0,8213077000.0,7769077000.0,,262870000.0,0.009741921229071438,0.005425558842487026,0.17344904421250146,0.5992228837119461,0.752552759779965,2.2876733040020563,2.2876733040020563,0.009020587690111966,0.009241955377824039,0.15674939570662544,3894000.0,1995.1404725218285
2023-03-31,589890000.0,120242000,175684000.0,18503206000,10252503000.0,7768053000.0,317791000.0,357809000.0,-78047000.0,-164673000.0,612564298.0,611588465.0,528296000.0,226412000.0,8250703000.0,7768053000.0,,325277000.0,0.011728062893519757,0.006498441405235395,0.20383800369560426,0.6065690213429622,0.7576738090200997,2.3333392223027047,2.3333392223027047,0.009494787011504925,0.009749088762855043,0.19629286328404336,11011000.0,705.4811552084279
2023-06-30,600372000.0,137864000,177434000.0,18542255000,10282708000.0,7765563000.0,280950000.0,362984000.0,-78625000.0,-165759000.0,613316499.0,611954347.0,619533000.0,241129000.0,8259547000.0,7765563000.0,,414292000.0,0.01340736311874265,0.007435125878702455,0.2296309621368085,0.6045984822743232,0.7552060216044256,2.569301079505161,2.569301079505161,0.009569170524297071,0.009831080218154969,0.2247844305913577,11675000.0,665.1445824411135
2023-09-30,617695000.0,131818000,171398000.0,19466198000,10269546000.0,8547240000.0,426015000.0,364808000.0,-86736000.0,-170696000.0,613580042.0,612000811.0,979891000.0,368065000.0,9196652000.0,8547240000.0,,762638000.0,0.012835815721551859,0.006771635632186624,0.21340305490573827,0.590595682335133,0.8322899571217657,2.662277043456998,2.662277043456998,0.008804903761895364,0.009108781914190872,0.214834236736794,702000.0,12175.555555555555
2023-12-31,624321000.0,129546000,174987000.0,19220967000,10190435000.0,8546052000.0,82332000.0,370533000.0,-90049000.0,-173159000.0,613693993.0,612031513.0,897484000.0,200590000.0,9030532000.0,8546052000.0,,700618000.0,0.012712509328600791,0.006739827397861929,0.20749902694287073,0.5934975757663126,0.8386346608363627,4.474221047908669,4.474221047908669,0.009103964436336633,0.009339370822289151,0.21109217537998617,1828000.0,4675.083150984683
