report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,3412000000.0,347000000,459000000.0,18240000000,3212000000.0,8446000000.0,391000000.0,1144000000.0,-64000000.0,-94000000.0,344000000.0,342000000.0,4290000000.0,5595000000.0,15028000000.0,7163000000.0,1283000000.0,1016000000.0,0.10803237858032379,0.019024122807017544,0.10169988276670575,0.33528722157092616,2.6295143212951433,0.7667560321715817,0.7667560321715817,0.025164473684210525,0.03937210499227998,1.0087209302325582
2020-06-30,3465000000.0,351000000,506000000.0,18551000000,3406000000.0,8446000000.0,580000000.0,1197000000.0,-69000000.0,-109000000.0,345000000.0,343000000.0,4492000000.0,5856000000.0,15145000000.0,6929000000.0,1517000000.0,1247000000.0,0.10305343511450382,0.0189208128941836,0.1012987012987013,0.34545454545454546,2.479741632413388,0.7670765027322405,0.7670765027322405,0.027276157619535335,0.042693216334795815,1.017391304347826
2020-09-30,3429000000.0,348000000,411000000.0,18922000000,3586000000.0,8533000000.0,622000000.0,1201000000.0,-63000000.0,-65000000.0,346000000.0,343000000.0,4753000000.0,6034000000.0,15336000000.0,7000000000.0,1533000000.0,1579000000.0,0.09704406023424428,0.018391290561251453,0.10148731408573929,0.35024788568095655,2.3795315114333517,0.7877030162412993,0.7877030162412993,0.021720748335271114,0.03391368924828781,1.0057803468208093
2020-12-31,3464000000.0,205000000,385000000.0,17996000000,3636000000.0,7475000000.0,393000000.0,1185000000.0,-85000000.0,-55000000.0,344000000.0,342000000.0,3482000000.0,5238000000.0,14360000000.0,6746000000.0,729000000.0,435000000.0,0.05638063806380638,0.011391420315625695,0.05918013856812933,0.34209006928406466,2.055830583058306,0.6647575410462009,0.6647575410462009,0.021393643031784843,0.03465034650346503,0.5959302325581395
2021-03-31,3584000000.0,368000000,472000000.0,18064000000,3655000000.0,7688000000.0,235000000.0,1166000000.0,-59000000.0,-109000000.0,344000000.0,342000000.0,3639000000.0,5385000000.0,14409000000.0,6655000000.0,1033000000.0,391000000.0,0.10068399452804377,0.02037201062887511,0.10267857142857142,0.32533482142857145,2.1034199726402187,0.6757660167130919,0.6757660167130919,0.02612931798051373,0.041611566604954596,1.069767441860465
2021-06-30,3555000000.0,380000000,504000000.0,18213000000,3880000000.0,7597000000.0,452000000.0,1224000000.0,-58000000.0,-144000000.0,344000000.0,342000000.0,3747000000.0,4946000000.0,14333000000.0,7029000000.0,568000000.0,395000000.0,0.0979381443298969,0.020864217866359194,0.10689170182841069,0.34430379746835443,1.9579896907216494,0.7575818843509907,0.7575818843509907,0.02767254159117114,0.043913914786093924,1.1046511627906976
2021-09-30,3622000000.0,307000000,447000000.0,18407000000,4009000000.0,7533000000.0,458000000.0,1165000000.0,-55000000.0,-92000000.0,343000000.0,341000000.0,3799000000.0,5029000000.0,14398000000.0,7020000000.0,513000000.0,440000000.0,0.07657770017460713,0.01667843755093171,0.08475980121479845,0.32164549972390943,1.8790222000498877,0.7554185722807715,0.7554185722807715,0.024284239691421742,0.03872812337549818,0.8950437317784257
2021-12-31,986000000.0,432000000,-40000000.0,18178000000,4215000000.0,7111000000.0,556000000.0,263000000.0,-33000000.0,-8000000.0,343000000.0,341000000.0,3394000000.0,5315000000.0,13963000000.0,6262000000.0,849000000.0,286000000.0,0.10249110320284698,0.023764990648036086,0.4381338742393509,0.2667342799188641,1.687069988137604,0.6385700846660395,0.6385700846660395,-0.0022004620970403786,-0.0035316969803990818,1.2594752186588922
2022-03-31,3672000000.0,422000000,517000000.0,18612000000,4295000000.0,7294000000.0,327000000.0,1159000000.0,-56000000.0,-112000000.0,344000000.0,341000000.0,3816000000.0,5848000000.0,14317000000.0,5953000000.0,1341000000.0,313000000.0,0.09825378346915017,0.022673543950139693,0.11492374727668846,0.3156318082788671,1.6982537834691502,0.652530779753762,0.652530779753762,0.027777777777777776,0.04461126930710156,1.2267441860465116
2022-06-30,3864000000.0,326000000,415000000.0,18937000000,4558000000.0,7012000000.0,478000000.0,1143000000.0,-54000000.0,-97000000.0,344000000.0,341000000.0,4261000000.0,6051000000.0,14379000000.0,5838000000.0,1174000000.0,323000000.0,0.07152259763053971,0.01721497597296298,0.08436853002070394,0.29580745341614906,1.5383940324703818,0.704181127086432,0.704181127086432,0.021914770026931405,0.035868625756266204,0.9476744186046512
2022-09-30,3946000000.0,310000000,368000000.0,19016000000,4738000000.0,6687000000.0,375000000.0,1153000000.0,-39000000.0,-74000000.0,342000000.0,339000000.0,4444000000.0,6033000000.0,14278000000.0,5697000000.0,990000000.0,373000000.0,0.06542845082313212,0.016302061421960456,0.07856056766345666,0.29219462747085656,1.4113550021105952,0.736615282612299,0.736615282612299,0.019352124526714348,0.03221006564551422,0.9064327485380117
2022-12-31,1171000000.0,-98000000,-89000000.0,18496000000,4375000000.0,6564000000.0,471000000.0,356000000.0,-52000000.0,103000000.0,345000000.0,342000000.0,4186000000.0,6349000000.0,14121000000.0,5317000000.0,1247000000.0,299000000.0,-0.0224,-0.005298442906574394,-0.08368915456874466,0.3040136635354398,1.5003428571428572,0.659316427783903,0.659316427783903,-0.004811851211072664,-0.008136027059146175,-0.28405797101449276
2023-03-31,3342000000.0,298000000,346000000.0,18630000000,4479000000.0,6797000000.0,276000000.0,984000000.0,-70000000.0,-61000000.0,345000000.0,342000000.0,4324000000.0,6001000000.0,14151000000.0,5759000000.0,1038000000.0,347000000.0,0.06653270819379326,0.015995705850778315,0.08916816277678037,0.29443447037701975,1.517526233534271,0.7205465755707382,0.7205465755707382,0.018572195383789587,0.030684639943242286,0.863768115942029
2023-06-30,3351000000.0,357000000,417000000.0,18101000000,4221000000.0,6738000000.0,368000000.0,1094000000.0,-73000000.0,-77000000.0,345000000.0,343000000.0,4288000000.0,6476000000.0,13880000000.0,5078000000.0,1660000000.0,308000000.0,0.0845771144278607,0.01972266725595271,0.10653536257833482,0.3264697105341689,1.5963041933191187,0.6621371216800495,0.6621371216800495,0.023037401248549805,0.038050917054475775,1.0347826086956522
2023-09-30,3255000000.0,269000000,414000000.0,18695000000,4277000000.0,7076000000.0,756000000.0,1110000000.0,-75000000.0,-78000000.0,345000000.0,342000000.0,4986000000.0,6524000000.0,14418000000.0,5530000000.0,1546000000.0,1099000000.0,0.06289455225625439,0.014388874030489435,0.08264208909370199,0.34101382488479265,1.6544306757072715,0.7642550582464746,0.7642550582464746,0.022144958545065527,0.03646613229983264,0.7797101449275362
2023-12-31,3174000000.0,27000000,328000000.0,15621000000,3369000000.0,5873000000.0,245000000.0,1095000000.0,-85000000.0,-42000000.0,344000000.0,342000000.0,3330000000.0,5060000000.0,12252000000.0,5089000000.0,784000000.0,274000000.0,0.008014247551202136,0.0017284424812752065,0.008506616257088847,0.3449905482041588,1.7432472543781539,0.658102766798419,0.658102766798419,0.02099737532808399,0.035490153646396884,0.07848837209302326
2024-03-31,3200000000.0,267000000,393000000.0,15315000000,3278000000.0,5934000000.0,364000000.0,1031000000.0,-83000000.0,-82000000.0,344000000.0,341000000.0,3450000000.0,5525000000.0,12037000000.0,4395000000.0,1539000000.0,242000000.0,0.08145210494203783,0.017433888344760038,0.0834375,0.3221875,1.8102501525320318,0.6244343891402715,0.6244343891402715,0.02566111655239961,0.04266174554928354,0.7761627906976745
2024-06-30,3192000000.0,344000000,493000000.0,15299000000,3427000000.0,5863000000.0,376000000.0,1161000000.0,-83000000.0,-97000000.0,345000000.0,342000000.0,3470000000.0,4774000000.0,11872000000.0,5007000000.0,856000000.0,272000000.0,0.10037934053107675,0.02248512974704229,0.10776942355889724,0.36372180451127817,1.7108257951561132,0.7268537913699205,0.7268537913699205,0.032224328387476305,0.053067814854682455,0.9971014492753624
2024-09-30,3233000000.0,367000000,456000000.0,15763000000,3758000000.0,5853000000.0,553000000.0,1176000000.0,-75000000.0,-34000000.0,347000000.0,343000000.0,3855000000.0,4975000000.0,12005000000.0,5051000000.0,802000000.0,569000000.0,0.09765832889835019,0.023282370107213093,0.1135168574079802,0.36374884008660685,1.55747738158595,0.7748743718592965,0.7748743718592965,0.02892850345746368,0.047445635209655605,1.057636887608069
2024-12-31,3124000000.0,365000000,531000000.0,15628000000,3882000000.0,5743000000.0,467000000.0,1177000000.0,-70000000.0,-91000000.0,349000000.0,346000000.0,3754000000.0,4660000000.0,11746000000.0,4998000000.0,745000000.0,694000000.0,0.09402369912416281,0.02335551574097773,0.11683738796414853,0.3767605633802817,1.479392065945389,0.8055793991416309,0.8055793991416309,0.03397747632454569,0.055168831168831166,1.0458452722063036
