report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,6739000000.0,573000000.0,849000000.0,84369000000.0,47243000000.0,16875000000.0,,1347000000.0,,2896000000.0,-24000000.0,-165000000.0,-1142000000.0,534956000.0,531215000.0,11513000000.0,15490000000.0,37126000000.0,10021000000.0,6854000000.0,4014000000.0,,0.012128780983426115,0.006791594068911567,0.08502745214423504,0.42973734975515654,0.35719577503545497,0.7432537120723047,0.7432537120723047,0.010062937808910856,0.013241211516266883,1.071116129176979,-293000000.0,,-57.593856655290104
2020-06-30,6377000000.0,458000000.0,840000000.0,85856000000.0,47937000000.0,17480000000.0,,1764000000.0,,2758000000.0,-18000000.0,-164000000.0,-1124000000.0,529054000.0,525510000.0,12073000000.0,15095000000.0,37919000000.0,11078000000.0,6402000000.0,4941000000.0,,0.009554206562780316,0.005334513604174432,0.07182060530029795,0.43249176728869376,0.364645263575109,0.7998012586949321,0.7998012586949321,0.009783824077525158,0.01284069890089732,0.8656961293176122,-284000000.0,,-61.54929577464789
2020-09-30,6855000000.0,700000000.0,1046000000.0,87209000000.0,48592000000.0,17803000000.0,,1884000000.0,,3020000000.0,-38000000.0,-265000000.0,-1168000000.0,530415000.0,525694000.0,12265000000.0,14792000000.0,38617000000.0,11959000000.0,5844000000.0,5199000000.0,,0.014405663483701021,0.008026694492540908,0.10211524434719182,0.44055433989788473,0.3663771814290418,0.8291644131963224,0.8291644131963224,0.011994174913139699,0.015754198358310115,1.319721350263473,-122000000.0,,-145.9262295081967
2020-12-31,7272000000.0,770000000.0,648000000.0,88229000000.0,49582000000.0,16154000000.0,,2434000000.0,,3186000000.0,-35000000.0,-253000000.0,-1192000000.0,530203000.0,524525000.0,10924000000.0,13740000000.0,38647000000.0,12152000000.0,4002000000.0,3754000000.0,,0.015529829373562986,0.008727289213297216,0.10588558855885588,0.4381188118811881,0.3258037190916058,0.7950509461426492,0.7950509461426492,0.007344523909372202,0.009857612267250822,1.4522739403586928,-544000000.0,,-29.69485294117647
2021-03-31,7243000000.0,980000000.0,1201000000.0,84993000000.0,47633000000.0,15750000000.0,,2109000000.0,,3189000000.0,-20000000.0,-268000000.0,-1166000000.0,526927000.0,522459000.0,11132000000.0,15027000000.0,37360000000.0,9950000000.0,5800000000.0,4096000000.0,,0.020573971826254908,0.011530361323873731,0.1353030512218694,0.44028717382300153,0.3306531186362396,0.7407998935249883,0.7407998935249883,0.01413057545915546,0.018948298439644698,1.8598401676133507,35000000.0,,450.0
2021-06-30,7584000000.0,841000000.0,1159000000.0,84345000000.0,47228000000.0,15492000000.0,,1827000000.0,,3390000000.0,-18000000.0,-334000000.0,-1171000000.0,523980000.0,518778000.0,10446000000.0,14676000000.0,37117000000.0,9984000000.0,5508000000.0,3137000000.0,,0.01780723299737444,0.009970952635010967,0.11089135021097046,0.44699367088607594,0.32802574743796054,0.7117743254292723,0.7117743254292723,0.013741182049914043,0.018478954081632654,1.605023092484446,-12000000.0,,-1291.0
2021-09-30,7668000000.0,979000000.0,1282000000.0,84191000000.0,45737000000.0,16727000000.0,,2556000000.0,,3300000000.0,-8000000.0,-321000000.0,-1163000000.0,520079000.0,515169000.0,12007000000.0,14758000000.0,38454000000.0,11539000000.0,5188000000.0,4700000000.0,,0.021404989395893914,0.01162832131700538,0.1276734480959833,0.4303599374021909,0.36572140717580953,0.8135926277273343,0.8135926277273343,0.01522728082574147,0.020523821721311477,1.8824063267311313,119000000.0,,140.56302521008402
2021-12-31,8298000000.0,1026000000.0,1368000000.0,81605000000.0,45441000000.0,14207000000.0,,3233000000.0,,3371000000.0,-31000000.0,-339000000.0,-1135000000.0,509330000.0,504270000.0,10159000000.0,13643000000.0,36164000000.0,11335000000.0,2872000000.0,2823000000.0,,0.0225787284610814,0.012572759022118742,0.12364425162689804,0.40624246806459385,0.31264716885631916,0.7446309462728139,0.7446309462728139,0.016763678696158323,0.022934549356223174,2.014411089077808,233000000.0,,60.97424892703863
2022-03-31,8211000000.0,1174000000.0,1468000000.0,82767000000.0,44390000000.0,16456000000.0,,2000000000.0,,3413000000.0,-9000000.0,-369000000.0,-1112000000.0,516276000.0,511234000.0,12257000000.0,14506000000.0,38377000000.0,12833000000.0,3623000000.0,4464000000.0,,0.026447398062626717,0.014184397163120567,0.14297893070271586,0.4156619169406893,0.3707141248028835,0.8449607059147939,0.8449607059147939,0.017736537508910556,0.024126483252802155,2.2739774849111716,356000000.0,,46.2247191011236
2022-06-30,8457000000.0,372000000.0,625000000.0,77885000000.0,41040000000.0,16043000000.0,,2133000000.0,,3517000000.0,-5000000.0,-286000000.0,-1091000000.0,505269000.0,501034000.0,11272000000.0,15295000000.0,36845000000.0,11177000000.0,4866000000.0,3655000000.0,,0.009064327485380117,0.004776272709764396,0.04398722951401206,0.4158685112924205,0.390911306042885,0.7369728669499837,0.7369728669499837,0.008024651730114914,0.010948969045074716,0.7362414872078041,-466000000.0,,-34.427038626609445
