report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,1655000000.0,197000000,259000000.0,10716000000,-930000000.0,5925000000.0,308000000.0,787000000.0,-52000000.0,-26000000.0,175900000.0,170600000.0,4481000000.0,3879000000.0,11646000000.0,5111000000.0,814000000.0,1672000000.0,-0.2118279569892473,0.018383725270623368,0.1190332326283988,0.4755287009063444,-6.370967741935484,1.1551946377932456,1.1551946377932456,0.024169466218738334,0.05185185185185185,1.1199545196134166
2020-06-30,1618000000.0,135000000,218000000.0,10374000000,-815000000.0,5628000000.0,209000000.0,766000000.0,-58000000.0,-40000000.0,173600000.0,170000000.0,4086000000.0,3480000000.0,11189000000.0,5111000000.0,517000000.0,1341000000.0,-0.1656441717791411,0.013013302486986697,0.0834363411619283,0.47342398022249693,-6.905521472392638,1.1741379310344828,1.1741379310344828,0.02101407364565259,0.04529399542904633,0.7776497695852534
2020-09-30,1868000000.0,205000000,352000000.0,10361000000,-740000000.0,5374000000.0,392000000.0,909000000.0,-58000000.0,-45000000.0,173500000.0,169700000.0,3971000000.0,3312000000.0,11101000000.0,5162000000.0,212000000.0,1007000000.0,-0.27702702702702703,0.019785734967667213,0.10974304068522484,0.4866167023554604,-7.262162162162162,1.1989734299516908,1.1989734299516908,0.03397355467618956,0.0759602934829521,1.181556195965418
2020-12-31,2273000000.0,412000000,555000000.0,10876000000,-541000000.0,5175000000.0,704000000.0,1146000000.0,-53000000.0,-109000000.0,173400000.0,169700000.0,4327000000.0,3489000000.0,11417000000.0,5163000000.0,12000000.0,1254000000.0,-0.7615526802218114,0.03788157410812799,0.18125824901011878,0.5041794984601847,-9.565619223659889,1.24018343364861,1.24018343364861,0.05102979036410445,0.11976694000863185,2.3760092272202997
2021-03-31,1773000000.0,244000000,298000000.0,10423000000,-478000000.0,5175000000.0,370000000.0,860000000.0,-54000000.0,-44000000.0,173200000.0,169300000.0,3942000000.0,3095000000.0,10901000000.0,5164000000.0,11000000.0,1320000000.0,-0.5104602510460251,0.023409766861748057,0.13761985335589397,0.485053581500282,-10.826359832635983,1.2736672051696285,1.2736672051696285,0.028590616904921807,0.06344475196934213,1.4087759815242493
2021-06-30,1971000000.0,293000000,370000000.0,11131000000,-344000000.0,5695000000.0,388000000.0,952000000.0,-44000000.0,-46000000.0,173100000.0,169600000.0,4660000000.0,3184000000.0,11475000000.0,5686000000.0,9000000.0,1921000000.0,-0.8517441860465116,0.02632288204114635,0.14865550481988837,0.48300355149670215,-16.555232558139537,1.4635678391959799,1.4635678391959799,0.033240499505884466,0.06914595402728461,1.6926632004621607
2021-09-30,2107000000.0,307000000,451000000.0,11422000000,-248000000.0,5693000000.0,376000000.0,1045000000.0,-56000000.0,-97000000.0,174100000.0,169200000.0,4735000000.0,3429000000.0,11670000000.0,5687000000.0,6000000.0,1653000000.0,-1.2379032258064515,0.026877954824023814,0.14570479354532512,0.4959658281917418,-22.955645161290324,1.3808690580344123,1.3808690580344123,0.03948520399229557,0.08282828282828283,1.7633543940264216
2021-12-31,2320000000.0,401000000,549000000.0,12189000000,-23000000.0,5693000000.0,703000000.0,1183000000.0,-54000000.0,-116000000.0,174000000.0,168700000.0,5412000000.0,4063000000.0,12212000000.0,5688000000.0,5000000.0,1874000000.0,-17.434782608695652,0.03289851505455739,0.1728448275862069,0.5099137931034483,-247.52173913043478,1.332020674378538,1.332020674378538,0.04504061038641398,0.09682539682539683,2.3045977011494254
2022-03-31,1892000000.0,267000000,239000000.0,11649000000,-298000000.0,5693000000.0,152000000.0,857000000.0,-56000000.0,49000000.0,174200000.0,168800000.0,4280000000.0,3886000000.0,11947000000.0,5689000000.0,4000000.0,878000000.0,-0.8959731543624161,0.022920422353850115,0.14112050739957716,0.45295983086680763,-19.104026845637584,1.10138960370561,1.10138960370561,0.02051678255644261,0.04430027803521779,1.5327210103329507
2022-06-30,2140000000.0,228000000,358000000.0,11672000000,-430000000.0,6013000000.0,10000000.0,990000000.0,-56000000.0,-71000000.0,170900000.0,167200000.0,4411000000.0,3801000000.0,12102000000.0,6011000000.0,2000000.0,717000000.0,-0.5302325581395348,0.019533927347498287,0.10654205607476636,0.46261682242990654,-13.983720930232558,1.1604840831360168,1.1604840831360168,0.030671692940370116,0.06412323123768583,1.3341135166764189
