report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,17214000000.0,2917000000.0,3453000000.0,118560000000.0,45941000000.0,36011000000.0,,4064000000.0,,8498000000.0,-61000000.0,-541000000.0,,2613300000.0,2476200000.0,27140000000.0,32896000000.0,72619000000.0,23310000000.0,12701000000.0,0.0,,0.06349448205306807,0.02460357624831309,0.16945509469036832,0.49366794469617753,0.7838532030212664,0.8250243190661478,0.8250243190661478,0.029124493927125506,0.04213442014837954,1.116213217005319,,,
2020-06-30,17698000000.0,2800000000.0,3481000000.0,120700000000.0,46878000000.0,34720000000.0,,4806000000.0,,8756000000.0,-135000000.0,-675000000.0,,2612300000.0,2481200000.0,27987000000.0,32976000000.0,73822000000.0,23537000000.0,11183000000.0,16181000000.0,,0.059729510644652074,0.0231980115990058,0.15820996722793537,0.4947451689456436,0.7406459319936858,0.8487081513828238,0.8487081513828238,0.02884009942004971,0.04266035932253241,1.0718523906136355,,,
2020-09-30,19318000000.0,4277000000.0,5281000000.0,119899000000.0,48576000000.0,31655000000.0,,4739000000.0,,10176000000.0,-126000000.0,-989000000.0,,2625300000.0,2486100000.0,26026000000.0,30008000000.0,71323000000.0,23948000000.0,7707000000.0,13392000000.0,,0.0880475955204216,0.03567169033936897,0.22139973082099595,0.526762604824516,0.651659255599473,0.8673020527859238,0.8673020527859238,0.04404540488244272,0.06582243771110917,1.6291471450881805,,,
2020-12-31,19745000000.0,3854000000.0,5380000000.0,120112000000.0,48540000000.0,31100000000.0,,5424000000.0,,10492000000.0,-134000000.0,-990000000.0,,2615400000.0,2475800000.0,24655000000.0,31744000000.0,71572000000.0,22514000000.0,8586000000.0,11941000000.0,,0.07939843428100536,0.032086719062208606,0.19518865535578628,0.5313750316535832,0.6407086938607334,0.7766822076612904,0.7766822076612904,0.044791527907286535,0.06755399296835761,1.4735795671790166,,,
2021-03-31,18109000000.0,3269000000.0,3785000000.0,116778000000.0,46919000000.0,29826000000.0,,4087000000.0,,9187000000.0,-95000000.0,-628000000.0,,2590300000.0,2459100000.0,22608000000.0,32016000000.0,69859000000.0,21053000000.0,8773000000.0,10007000000.0,,0.06967326669366355,0.02799328640668619,0.18051797448782372,0.5073168037992158,0.6356912977684946,0.7061469265367316,0.7061469265367316,0.03241192690404014,0.04931917388754968,1.262015982704706,,,
2021-06-30,18946000000.0,2906000000.0,3540000000.0,119307000000.0,46654000000.0,31988000000.0,,4121000000.0,,9155000000.0,-102000000.0,-656000000.0,,2610400000.0,2473700000.0,23091000000.0,33132000000.0,72653000000.0,23099000000.0,8889000000.0,10288000000.0,,0.0622883354053243,0.0243573302488538,0.15338329990499314,0.483215454449488,0.6856432460239208,0.6969395146685984,0.6969395146685984,0.029671352058135734,0.045014114595254444,1.113239350291143,,,
2021-09-30,20338000000.0,4112000000.0,5023000000.0,119669000000.0,46408000000.0,32547000000.0,,4643000000.0,,9973000000.0,-98000000.0,-909000000.0,,2544200000.0,2413400000.0,24336000000.0,36589000000.0,73261000000.0,20558000000.0,11989000000.0,10370000000.0,,0.08860541285985175,0.034361446991284295,0.20218310551676663,0.4903628675385977,0.7013230477503879,0.6651179316187925,0.6651179316187925,0.041974111925394214,0.06361851687670192,1.6162251395330556,,,
2021-12-31,20953000000.0,4223000000.0,5168000000.0,121416000000.0,44893000000.0,35653000000.0,,5121000000.0,,10289000000.0,-96000000.0,-997000000.0,,2544200000.0,2413400000.0,25545000000.0,38027000000.0,76523000000.0,22322000000.0,13331000000.0,11544000000.0,,0.09406811752389013,0.0347812479409633,0.20154631794969693,0.4910514007540686,0.7941772659434656,0.6717595392747259,0.6717595392747259,0.04256440666798445,0.06416209371042635,1.6598537850797894,,,
2022-03-31,19381000000.0,3355000000.0,4024000000.0,120217000000.0,45746000000.0,33669000000.0,,3246000000.0,,9055000000.0,-100000000.0,-704000000.0,,2544200000.0,2413400000.0,23416000000.0,34401000000.0,74471000000.0,23767000000.0,9902000000.0,8526000000.0,,0.07333974555152363,0.027907866607884076,0.1731076827821062,0.4672101542748052,0.7359987758492545,0.6806778872707189,0.6806778872707189,0.03347280334728033,0.05067052823773846,1.318685637921547,,,
2022-06-30,19515000000.0,3052000000.0,3598000000.0,117208000000.0,46854000000.0,31493000000.0,,3713000000.0,,8713000000.0,-94000000.0,-592000000.0,,2601000000.0,2514235501.0,21653000000.0,33081000000.0,70354000000.0,22848000000.0,8645000000.0,7214000000.0,,0.06513851538822726,0.026039178213091256,0.15639251857545478,0.44647706892134253,0.6721517906688863,0.6545449049303226,0.6545449049303226,0.03069756330625896,0.04592390263826311,1.1733948481353325,,,
2022-09-30,20612000000.0,3939000000.0,4939000000.0,116282000000.0,44334000000.0,33003000000.0,,4070000000.0,,9766000000.0,-81000000.0,-1034000000.0,,2503600000.0,2503600000.0,22521000000.0,36618000000.0,71948000000.0,21286000000.0,11717000000.0,6710000000.0,,0.08884828799566924,0.03387454636143169,0.191102270522026,0.47380166893071995,0.7444173771822981,0.6150253973455677,0.6150253973455677,0.0424743296468929,0.06386335130661908,1.5733343984662087,,,
2022-12-31,20773000000.0,3933000000.0,4785000000.0,117715000000.0,44725000000.0,34882000000.0,,3574000000.0,,9876000000.0,-105000000.0,-876000000.0,,2481200000.0,2481200000.0,21866000000.0,38746000000.0,72990000000.0,20582000000.0,14300000000.0,6854000000.0,,0.08793739519284516,0.0334112050290957,0.1893323063592163,0.47542483030857363,0.7799217439910564,0.5643421256387756,0.5643421256387756,0.040649025187953956,0.06010777946662982,1.5851201031758826,,,
2023-03-31,20068000000.0,3397000000.0,4248000000.0,119851000000.0,45421000000.0,36591000000.0,,3863000000.0,,9664000000.0,-139000000.0,-864000000.0,,2473200000.0,2359100000.0,22305000000.0,38030000000.0,74430000000.0,22874000000.0,13717000000.0,7596000000.0,,0.07478919442548601,0.028343526545460615,0.16927446681283637,0.48156268686466014,0.8055965302393167,0.586510649487247,0.586510649487247,0.035444009645309596,0.05179729795639663,1.373524179201035,,,
2023-06-30,20553000000.0,3384000000.0,4162000000.0,120829000000.0,47065000000.0,34607000000.0,,5341000000.0,,9940000000.0,-124000000.0,-841000000.0,,2477600000.0,2312113180.0,22648000000.0,35756000000.0,73764000000.0,24378000000.0,10229000000.0,8246000000.0,,0.07190056305109954,0.028006521613188888,0.16464749671580792,0.4836276942538802,0.7353022415807925,0.6334041839131894,0.6334041839131894,0.03444537321338421,0.050959937310216474,1.365837907652567,,,
2023-09-30,21871000000.0,4520000000.0,5766000000.0,122531000000.0,48013000000.0,35880000000.0,,4904000000.0,,11370000000.0,-97000000.0,-1246000000.0,,2475200000.0,2360000000.0,24940000000.0,37158000000.0,74518000000.0,24069000000.0,11811000000.0,9733000000.0,,0.09414117009976465,0.03688862410328815,0.20666636184902382,0.5198664898724338,0.7472976068981317,0.6711879003175628,0.6711879003175628,0.047057479331760944,0.06873040658934595,1.826115061409179,,,
2023-12-31,21441000000.0,3468000000.0,5775000000.0,120710000000.0,48828000000.0,33712000000.0,,5100000000.0,,11297000000.0,-115000000.0,-1003000000.0,,2468000000.0,2358000000.0,23112000000.0,35950000000.0,71879000000.0,23096000000.0,10616000000.0,7890000000.0,,0.07102482182354387,0.028730014083340236,0.16174618721141737,0.5268877384450352,0.6904235274842304,0.6428929068150209,0.6428929068150209,0.047841935216634913,0.06996607705354979,1.4051863857374391,,,
2024-03-31,20195000000.0,3752000000.0,4460000000.0,119598000000.0,50333000000.0,31982000000.0,,4596000000.0,,10340000000.0,-129000000.0,-812000000.0,,2472000000.0,2360500000.0,22458000000.0,32341000000.0,69264000000.0,24253000000.0,7729000000.0,6828000000.0,,0.07454354002344386,0.03137176206959982,0.18578856152512999,0.5120079227531568,0.6354081815111359,0.6944126650381868,0.6944126650381868,0.037291593504908106,0.05418210532709713,1.5177993527508091,,,
