report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,792300000.0,61900001,101200001.0,6705700000,3102300000.0,1975400000.0,155700000.0,441000000.0,-20500000.0,-17500000.0,-16900000.0,251700000.0,249900000.0,1192600000.0,1226900000.0,3603400000.0,1694700000.0,280700000.0,216800000.0,0.019952938465009833,0.009230952920649597,0.07812697336867348,0.5566073457023855,0.6367533765270929,0.9720433613171408,0.9720433613171408,0.015091638605962092,0.01993028359296532,0.24592769566944775,84300001.0,23.432977183475952
2020-06-30,733600000.0,63000000,102700000.0,6645000000,3213100000.0,1832700000.0,147500000.0,405700000.0,-19600000.0,-27700000.0,-16600000.0,251200000.0,250000000.0,1120000000.0,1170500000.0,3431900000.0,1564500000.0,268200000.0,196400000.0,0.019607232890355108,0.009480812641083521,0.08587786259541985,0.5530261723009815,0.570383741557997,0.9568560444254592,0.9568560444254592,0.01545522949586155,0.02035356137777954,0.25079617834394907,86100000.0,21.285714285714285
2020-09-30,792100000.0,84700000,114100000.0,6624299999,3351300000.0,1670200000.0,180500000.0,439700000.0,-19600000.0,-11600000.0,-16700000.0,252800000.0,250700000.0,1100600000.0,1191500000.0,3273000000.0,1390600000.0,279600000.0,184000000.0,0.025273774356219976,0.012786256663011376,0.1069309430627446,0.5551066784496907,0.4983737654044699,0.9237096097356273,0.9237096097356273,0.017224461455131027,0.02272229413521856,0.3350474683544304,97400000.0,17.147843942505133
2020-12-31,829700000.0,180300000,127600000.0,6876900000,3598600000.0,1547200000.0,188300000.0,468500000.0,-17900000.0,52400000.0,-15300000.0,253500000.0,251400000.0,1281400000.0,1311300000.0,3278300000.0,1291400000.0,255800000.0,237700000.0,0.05010281776246318,0.026218208785935525,0.21730746052790165,0.5646619259973484,0.42994497860278996,0.9771982002592847,0.9771982002592847,0.01855487210807195,0.02479692176143651,0.7112426035502959,112300000.0,13.777382012466607
2021-03-31,886500000.0,114500000,142400000.0,6780500000,3673600000.0,1389400000.0,228200000.0,493300000.0,-16900000.0,-22800000.0,-13700000.0,254300000.0,251100000.0,1260000000.0,1151600000.0,3106900000.0,1291900000.0,97500000.0,264600000.0,0.031168336236933797,0.01688666027579087,0.12915961646926113,0.5564579808234631,0.3782121080139373,1.0941299062174366,1.0941299062174366,0.021001401076616768,0.028125617222990323,0.4502556036177743,128700000.0,10.795648795648797
2021-06-30,945200000.0,138900000,149300000.0,6962200000,3838599999.0,1381400000.0,200600000.0,525400000.0,-16600000.0,-23500000.0,-13000000.0,254100000.0,251600000.0,1494500000.0,1168500000.0,3123600000.0,1292300000.0,89100000.0,484400000.0,0.036185067481942654,0.019950590330642615,0.1469530258146424,0.5558611933982226,0.35987078631789476,1.278990158322636,1.278990158322636,0.021444371032145013,0.02860153257252903,0.5466351829988194,136300000.0,10.134996331621423
2021-09-30,901400000.0,124000000,149000000.0,7003400000,3881799999.0,1321900000.0,166400000.0,504500000.0,-15900000.0,-32700000.0,-12300000.0,254500000.0,251800000.0,1560500000.0,1141200000.0,3121600000.0,1292800000.0,29100000.0,513200000.0,0.03194394353958059,0.01770568580974955,0.13756378966052807,0.5596849345462613,0.3405378948788031,1.3674202593760953,1.3674202593760953,0.02127538052945712,0.02863347234249351,0.48722986247544203,136700000.0,9.670080468178494
2021-12-31,926000000.0,115300000,130600000.0,7099600000,3944700000.0,1293200000.0,155300000.0,511500000.0,-16000000.0,-2800000.0,-11900000.0,253500000.0,250300000.0,1450600000.0,1188600000.0,3154900000.0,1293200000.0,,325700000.0,0.029229092199660304,0.016240351569102484,0.12451403887688985,0.5523758099352052,0.3278322812888179,1.2204273935722698,1.2204273935722698,0.018395402557890586,0.02493365661811031,0.45483234714003945,118700000.0,10.89469250210615
2022-03-31,993700000.0,110300000,163800000.0,7177400000,3987900000.0,1293700000.0,153000000.0,549600000.0,-16000000.0,-28200000.0,-12100000.0,254100000.0,251200000.0,1565500000.0,1246999999.0,3189499999.0,1293700000.0,,357200000.0,0.027658667469094008,0.015367681890378132,0.11099929556204086,0.5530844319211029,0.32440632914566564,1.2554129921855757,1.2554129921855757,0.02282163457519436,0.031013329294153288,0.4340810704447068,151700000.0,8.528015820698748
2022-06-30,941200000.0,168000000,140300000.0,6919499999,3894499999.0,1294100000.0,48800000.0,537500000.0,-15300000.0,-53600000.0,-11300000.0,248900000.0,247500000.0,1475000000.0,1449500000.0,3025000000.0,994100000.0,300000000.0,350100000.0,0.043137758388275195,0.024279210929153725,0.1784955376115597,0.5710794730131746,0.33228912577539843,1.0175922731976543,1.0175922731976543,0.020276031508096832,0.027040049344146794,0.6749698674166332,129000000.0,10.031782945736435
