report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,long_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2020-03-31,7908000000.0,600000000,804000000.0,109436000000,25204000000.0,6559000000.0,628000000.0,-120000000.0,255900000.0,254400000.0,84232000000.0,6559000000.0,544000000.0,0.02380574511982225,0.005482656529843927,0.07587253414264036,0.2602364704015236,0.007346759749990862,0.02531247048452602,2.3446658851113718
2020-06-30,7401000000.0,-40000000,0.0,113337000000,26943000000.0,7049000000.0,1664000000.0,45000000.0,251600000.0,251600000.0,86394000000.0,7049000000.0,623000000.0,-0.0014846156701183982,-0.0003529297581548832,-0.005404675043912985,0.26162639646661473,0.0,0.0,-0.1589825119236884
2020-09-30,8275000000.0,827000000,1073000000.0,116384000000,27849000000.0,7050000000.0,2326000000.0,-159000000.0,254300000.0,253300000.0,88535000000.0,7050000000.0,583000000.0,0.02969585981543323,0.007105787737145999,0.09993957703927492,0.2531509210384574,0.009219480340940335,0.030745866643743375,3.252064490758946
2020-12-31,8397000000.0,1310000000,1699000000.0,116764000000,29201000000.0,6550000000.0,1901000000.0,-306000000.0,256600000.0,254700000.0,87563000000.0,6550000000.0,721000000.0,0.04486147734666621,0.01121921140077421,0.15600809813028463,0.22430738673333106,0.01455071768695831,0.04752314620570054,5.105222135619641
2021-03-31,8313000000.0,733000000,973000000.0,117032000000,28269000000.0,6550000000.0,1190000000.0,-158000000.0,254100000.0,252100000.0,88763000000.0,6550000000.0,663000000.0,0.025929463369769003,0.00626324424089138,0.08817514735955732,0.2317025717216739,0.008313965411169594,0.02794451305321807,2.8846910665092484
2021-06-30,8687000000.0,934000000,1214000000.0,119759000000,29156000000.0,7290000000.0,1849000000.0,-197000000.0,253000000.0,250500000.0,90603000000.0,7290000000.0,689000000.0,0.0320345726437097,0.007798996317604522,0.10751697939449753,0.2500342982576485,0.010137025192261125,0.03330955386050596,3.691699604743083
2021-09-30,8805000000.0,662000000,873000000.0,120706000000,28474000000.0,7290000000.0,2543000000.0,-124000000.0,250100000.0,247700000.0,92232000000.0,7290000000.0,818000000.0,0.02324928004495329,0.005484400112670456,0.07518455423055083,0.2560230385614947,0.007232449091180223,0.024410021250419415,2.646941223510596
2021-12-31,9011000000.0,1333000000,1738000000.0,120466000000,28887000000.0,7290000000.0,1692000000.0,-317000000.0,228400000.0,224900000.0,91579000000.0,7290000000.0,761000000.0,0.046145324886627204,0.011065362840967576,0.14793030740206414,0.25236265448125456,0.014427307290023741,0.04804157337534898,5.836252189141856
2022-03-31,8809000000.0,1018000000,1269000000.0,118592000000,25531000000.0,7291000000.0,1266000000.0,-164000000.0,246400000.0,243800000.0,93061000000.0,7291000000.0,752000000.0,0.03987309545258705,0.00858405288720993,0.11556362810761721,0.28557439974932436,0.010700553157042634,0.03866309182865151,4.1314935064935066
2022-06-30,9136000000.0,551000000,745000000.0,116587000000,22874000000.0,7291000000.0,1375000000.0,-106000000.0,241100000.0,238400000.0,93713000000.0,7291000000.0,710000000.0,0.024088484742502404,0.00472608438333605,0.060310858143607704,0.31874617469616157,0.006390077795980684,0.024697497099287254,2.285358772293654
2022-09-30,9303000000.0,454000000,616000000.0,114317000000,19906000000.0,7291000000.0,2484000000.0,-74000000.0,237900000.0,235400000.0,94411000000.0,7291000000.0,773000000.0,0.022807193810911282,0.003971412825738954,0.04880146189401268,0.36627147593690346,0.005388524891311004,0.022649556936426812,1.9083648591845312
2022-12-31,9636000000.0,819000000,1075000000.0,115717000000,21560000000.0,7292000000.0,1340000000.0,-168000000.0,233400000.0,230400000.0,94157000000.0,7292000000.0,799000000.0,0.037987012987012986,0.007077611759724154,0.08499377334993774,0.3382189239332096,0.009289905545425478,0.03725911548592818,3.5089974293059125
2023-03-31,9704000000.0,975000000,1016000000.0,118352000000,23052000000.0,7292000000.0,1012000000.0,47000000.0,234400000.0,231700000.0,95300000000.0,7292000000.0,767000000.0,0.04229567933368038,0.008238137082601054,0.10047403132728772,0.31632830123199723,0.008584561308638636,0.03348273134721856,4.159556313993174
2023-06-30,10098000000.0,-14000000,44000000.0,120573000000,21855000000.0,8031000000.0,1549000000.0,34000000.0,229700000.0,229700000.0,98718000000.0,8031000000.0,605000000.0,-0.0006405856783344773,-0.00011611223076476491,-0.0013864131511190335,0.3674673987645848,0.0003649241538321183,0.0014722612594525865,-0.06094906399651719
2023-09-30,10635000000.0,404000000,570000000.0,121384000000,19978000000.0,8031000000.0,3046000000.0,-68000000.0,231100000.0,228800000.0,101406000000.0,8031000000.0,593000000.0,0.020222244468915806,0.0033282804982534765,0.037987776210625296,0.4019921914105516,0.0046958412970407966,0.020350601592345318,1.7481609692773692
2023-12-31,10927000000.0,1626000000,2117000000.0,125978000000,24921000000.0,8031000000.0,2104000000.0,-393000000.0,233600000.0,228600000.0,101057000000.0,8031000000.0,,0.06524617792223426,0.012907015510644717,0.1488057106250572,0.3222583363428434,0.016804521424375683,0.06424496236950716,6.960616438356165
2024-03-31,11228000000.0,1123000000,1468000000.0,127410000000,25022000000.0,8032000000.0,1458000000.0,-247000000.0,232000000.0,229000000.0,102388000000.0,8032000000.0,667000000.0,0.04488050515546319,0.008814064830076133,0.10001781261132882,0.32099752218048117,0.01152185856683149,0.04441217401827313,4.8405172413793105
2024-06-30,11283000000.0,534000000,754000000.0,129315000000,24862000000.0,8032000000.0,1677000000.0,-122000000.0,231500000.0,228600000.0,104453000000.0,8032000000.0,729000000.0,0.021478561660365218,0.0041294513397517685,0.04732783834086679,0.32306330946826484,0.005830723427289951,0.0229221134553414,2.306695464362851
2024-09-30,11904000000.0,1260000000,1658000000.0,134588000000,27696000000.0,8033000000.0,3875000000.0,-300000000.0,230600000.0,227400000.0,106892000000.0,8033000000.0,772000000.0,0.04549393414211438,0.009361904478853983,0.10584677419354839,0.2900418833044483,0.012319077480904687,0.04640488118895015,5.464006938421509
2024-12-31,12008000000.0,2082000000,2692000000.0,133189000000,27864000000.0,8033000000.0,2064000000.0,-512000000.0,230300000.0,227000000.0,105325000000.0,8033000000.0,,0.07472006890611542,0.01563192155508338,0.1733844103930713,0.28829313809933965,0.02021187935940656,0.0749923391926902,9.040382110290924
