report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,2641300000.0,-29200000,154400000.0,17635600000,5789800000.0,5574500000.0,-327600000.0,742500000.0,-63100000.0,-51000000.0,242300000.0,239500000.0,6559800000.0,4240800000.0,11845800000.0,4624800000.0,949700000.0,2647700000.0,-0.005043352101972434,-0.001655741795005557,-0.011055162230719721,0.2811115738462121,0.9628139141248402,1.5468307866440294,1.5468307866440294,0.008755018258522535,0.013586406553857254,-0.12051176227816757
2020-06-30,3138800000.0,238800000,423500000.0,17223600000,5959500000.0,5268100000.0,205200000.0,978300000.0,-61300000.0,-83500000.0,242300000.0,240000000.0,6344700000.0,3829200000.0,11264100000.0,4618200000.0,649900000.0,2366800000.0,0.04007047571104958,0.013864697275830836,0.07608003058493693,0.311679622785778,0.8839835556674218,1.6569257286117205,1.6569257286117205,0.024588355512204185,0.03771954825608322,0.9855550969872059
2020-09-30,3495500000.0,400600000,566900000.0,17939400000,6380999999.0,5269300000.0,930500000.0,1134700000.0,-62400000.0,-89900000.0,243700000.0,240400000.0,6973500000.0,4170100000.0,11558400000.0,4494200000.0,775100000.0,3190100000.0,0.06278012851634229,0.022330735699075777,0.11460449148905735,0.32461736518380774,0.8257796584901708,1.6722620560658017,1.6722620560658017,0.03160083391863719,0.04865969117092776,1.6438243742306113
2020-12-31,3179100000.0,244700000,388000000.0,18156700000,6427099999.0,5272100000.0,626900000.0,947900000.0,-61900000.0,-72400000.0,244100000.0,240500000.0,6905600000.0,4338900000.0,11729599999.0,4496500000.0,775600000.0,3289900000.0,0.038073158973420854,0.013477118639400331,0.07697146991286842,0.2981661476518512,0.8202922003423461,1.591555463366291,1.591555463366291,0.021369521994635588,0.03316466083434463,1.0024580090126998
2021-03-31,3017600000.0,235200000,353200000.0,17824800000,6312799999.0,4971700000.0,260100000.0,953200000.0,-60700000.0,-48400000.0,243100000.0,239400000.0,6622100000.0,4174600000.0,11512000000.0,4496300000.0,475400000.0,2838000000.0,0.03725763528660145,0.013195098963242224,0.07794273594909862,0.3158801696712619,0.7875586112006651,1.586283715805107,1.586283715805107,0.019815089089358646,0.03129957020969468,0.9675030851501439
2021-06-30,3829700000.0,464700000,651000000.0,18369400000,6472700000.0,4965200000.0,490500000.0,1270700000.0,-59300000.0,-122800000.0,243100000.0,239400000.0,7125100000.0,4512900000.0,11896700000.0,4489800000.0,475400000.0,2912400000.0,0.07179384182798523,0.025297505634370204,0.12134109721388098,0.33180144658850563,0.7670987377755805,1.5788295774335792,1.5788295774335792,0.03543937199908544,0.05691604228048855,1.911559029206088
2021-09-30,3719800000.0,405700000,583400000.0,18202200000,6487700000.0,4841100000.0,410600000.0,1204200000.0,-57700000.0,-96800000.0,241700000.0,238200000.0,6991400000.0,4313500000.0,11714500000.0,4490700000.0,350400000.0,2738800000.0,0.06253371765032292,0.022288514575161244,0.10906500349481155,0.3237270821011882,0.7461966490435747,1.6208183609597775,1.6208183609597775,0.032051070749689596,0.0514970694160017,1.6785270997103847
2021-12-31,3569300000.0,317800000,435700000.0,18059800000,6273100000.0,4842100000.0,427100000.0,1041500000.0,-56000000.0,-65500000.0,241700000.0,238200000.0,6470900000.0,4752400000.0,11786700000.0,4491700000.0,350400000.0,2159200000.0,0.05066075783902696,0.017597094098495,0.08903706609139046,0.29179390916986525,0.7718831199885224,1.361606767107146,1.361606767107146,0.024125405596961205,0.03919857492442781,1.3148531237070749
2022-03-31,3355500000.0,260200000,388200000.0,17636900000,6016500000.0,4843000000.0,-188200000.0,989000000.0,-56000000.0,-61100000.0,240700000.0,235194833.0,6030500000.0,4594400000.0,11620400000.0,4492600000.0,350400000.0,1348400000.0,0.04324773539433225,0.014753159568858473,0.07754433020414245,0.29473997913872746,0.8049530457907421,1.3125761796970226,1.3125761796970226,0.022010670809496,0.03574750218702519,1.0810137100124637
2022-06-30,4190400000.0,509300000,710600000.0,17680800000,5739300000.0,4836500000.0,421700000.0,1323400000.0,-55900000.0,-136600000.0,240700000.0,235194833.0,6125200000.0,5630300000.0,11941500000.0,3786700000.0,1049800000.0,1090200000.0,0.0887390448312512,0.028805257680647935,0.12153970981290568,0.3158171057655594,0.842698586935689,1.0878994014528534,1.0878994014528534,0.04019048911813945,0.06719113447682445,2.115911923556294
2022-09-30,4371900000.0,547900000,739500000.0,17739800000,5868400000.0,4837400000.0,510200000.0,1432800000.0,-55800000.0,-104700000.0,234000000.0,231900000.0,6299100000.0,5545500000.0,11871400000.0,3787500000.0,1049900000.0,1080200000.0,0.09336446050030672,0.030885353837134578,0.12532308607241702,0.3277293625197283,0.8243132710789994,1.1358939680822289,1.1358939680822289,0.041685926560615115,0.06907470716807712,2.3414529914529916
2022-12-31,4073800000.0,439100000,580600000.0,18081600000,6105200000.0,4836300000.0,760300000.0,1219500000.0,-55900000.0,-73500000.0,234900000.0,230307296.0,6379200000.0,5686800000.0,11976400000.0,3788300000.0,1048000000.0,1220500000.0,0.07192229574788704,0.0242843553667817,0.10778634199027935,0.2993519564043399,0.7921607809735963,1.1217556446507702,1.1217556446507702,0.03210999026634811,0.05306402230041585,1.8693060876968923
2023-03-31,3665800000.0,307100000,456800000.0,17897400000,6054300000.0,4830100000.0,8500000.0,1143500000.0,-57600000.0,-73200000.0,231500000.0,229300000.0,6074800000.0,4831400000.0,11843100000.0,4481800000.0,348300000.0,692900000.0,0.05072427861189568,0.017158916937655748,0.08377434666375688,0.31193736701402147,0.7977966073699685,1.257358115660057,1.257358115660057,0.02552326036184027,0.04196832163463305,1.3265658747300215
2023-06-30,4704700000.0,586200000,885400000.0,18906500000,6277200000.0,5026800000.0,524000000.0,1584400000.0,-61600000.0,-169600000.0,230300000.0,228500000.0,6675000000.0,5593200000.0,12629300000.0,4476600000.0,550200000.0,663600000.0,0.0933855859300325,0.031005209848464815,0.12459880544986927,0.33676961336535804,0.8008029057541579,1.1934134305942932,1.1934134305942932,0.04683045513447756,0.07832625619249824,2.5453755970473297
2023-09-30,4882900000.0,626300000,864200000.0,18903200000,6700400000.0,4824600000.0,922300000.0,1658100000.0,-57900000.0,-157500000.0,230600000.0,228600000.0,6726900000.0,5214200000.0,12202800000.0,4476300000.0,348300000.0,960000000.0,0.09347203152050623,0.03313195649413856,0.12826394151016815,0.33957279485551617,0.7200465643842159,1.290111618273177,1.290111618273177,0.045717127258876805,0.07498481561822126,2.7159583694709455
2023-12-31,4424100000.0,504300000,687600000.0,19391900000,7017000000.0,4779800000.0,934800000.0,1471300000.0,-57400000.0,-98200000.0,230400000.0,228000000.0,6869900000.0,6053500000.0,12374900000.0,3977900000.0,801900000.0,1095300000.0,0.0718683197947841,0.026005703412249444,0.11398928595646572,0.3325648154426889,0.6811742910075531,1.1348641281903031,1.1348641281903031,0.03545810364121102,0.05828699308286993,2.1888020833333335
2024-03-31,4215500000.0,436300000,633800000.0,19341200000,6910800000.0,4880800000.0,247200000.0,1459900000.0,-58100000.0,-105500000.0,229500000.0,227400000.0,6887200000.0,6101900000.0,12430400000.0,3978700000.0,902100000.0,849900000.0,0.06313306708340569,0.02255806258143238,0.10349899181591744,0.3463171628513818,0.7062568732997627,1.1286976187744802,1.1286976187744802,0.03276942485471429,0.05375012720919977,1.9010893246187364
2024-06-30,5307400000.0,755300000,1034200000.0,20199200000,6967600000.0,5268200000.0,695900000.0,1935500000.0,-57500000.0,-205800000.0,228700000.0,226600000.0,7714000000.0,6592400000.0,13231600000.0,4316200000.0,952000000.0,1325800000.0,0.10840174522073598,0.037392570002772386,0.14231073595357424,0.364679504088631,0.7560996612893967,1.1701353073235847,1.1701353073235847,0.05120004752663472,0.0845224668595433,3.3025797988631393
2024-09-30,5441200000.0,772000000,1024600000.0,20903700000,7614300000.0,5269300000.0,1302600000.0,1974400000.0,-63000000.0,-181100000.0,228000000.0,225800000.0,8099700000.0,6628900000.0,13289400000.0,4317100000.0,952200000.0,1927600000.0,0.10138817750810974,0.03693126097293781,0.14188046754392414,0.36286113357347644,0.6920268442273091,1.2218769328244505,1.2218769328244505,0.04901524610475658,0.07952746126858952,3.3859649122807016
2024-12-31,4874000000.0,604300000,807600000.0,20146700000,7486900000.0,4770300000.0,899900000.0,1710800000.0,-59900000.0,-135300000.0,227400000.0,225000000.0,7337800000.0,6068900000.0,12659800000.0,4318100000.0,452200000.0,1590100000.0,0.08071431433570636,0.02999498677202718,0.12398440705785803,0.35100533442757487,0.6371528937210328,1.2090823707755936,1.2090823707755936,0.04008596941434577,0.06588780471885912,2.6574318381706243
