report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,160660000.0,24057000,10766000.0,1767204000,674034000.0,143000000.0,52776000.0,120452000.0,817000.0,13708000.0,483130000.0,455010000.0,1441811000.0,734374000.0,1093170000.0,143000000.0,445836000.0,0.03569107789814757,0.013613029395587607,0.14973857836424748,0.7497323540395867,0.21215546990211176,1.9633197798397002,1.9633197798397002,0.006092109343346892,0.01317693021343053,0.049794051290542915
2020-06-30,139355000.0,25111000,-15772000.0,1848971000,758351000.0,142000000.0,96351000.0,97222000.0,158000.0,41077000.0,486540000.0,461360000.0,1491819000.0,730700000.0,1090620000.0,142000000.0,555318000.0,0.033112635178169474,0.013581067523503614,0.18019446736751463,0.697657062896918,0.1872483849826795,2.041629943889421,2.041629943889421,-0.008530150013169487,-0.017517612575539986,0.05161137830394212
2020-09-30,216113000.0,41247000,42782000.0,2138428000,832627000.0,72000000.0,88385000.0,171287000.0,-235000.0,-1312000.0,492200000.0,465820000.0,1755987000.0,1012153000.0,1305801000.0,72000000.0,557280000.0,0.04953838873829458,0.019288467977411444,0.19085848606978756,0.7925807332275245,0.08647329476464251,1.7349027271568627,1.7349027271568627,0.020006284990656688,0.0472924199697776,0.08380130028443722
2020-12-31,319905000.0,151902000,106432000.0,2753645000,1013145000.0,0.0,167557000.0,268260000.0,-84000.0,44941000.0,497650000.0,469290000.0,2310317000.0,1474683000.0,1740500000.0,,624038000.0,0.14993115496794635,0.05516397356957778,0.4748347165564777,0.8385614479298542,0.0,1.5666533078634526,1.5666533078634526,0.038651314893532025,0.10505110324780757,0.3052386215211494
2021-03-31,219811000.0,22642000,7784000.0,2602699000,1084313000.0,0.0,75070000.0,169311000.0,-45000.0,14550000.0,497920000.0,472820000.0,2170149000.0,1263476000.0,1518386000.0,,680083000.0,0.020881424459542587,0.008699430860041825,0.10300667391531816,0.7702571754825737,0.0,1.7176020755439756,1.7176020755439756,0.002990741534076741,0.00717873898034977,0.045473168380462725
2021-06-30,279967000.0,47697000,61948000.0,2792948000,1202346000.0,0.0,10371000.0,229158000.0,-194000.0,-13853000.0,496994000.0,475567000.0,2347266000.0,1328573000.0,1590602000.0,,705057000.0,0.03966994525702252,0.017077654148949427,0.17036650748123885,0.8185178967521172,0.0,1.7667572651258154,1.7667572651258154,0.022180148001323334,0.0515226066373573,0.09597097751683119
2021-09-30,301091000.0,59384000,80446000.0,2988755000,1302814000.0,0.0,129678000.0,247691000.0,-317000.0,-19592000.0,498912000.0,478101000.0,2515917000.0,1427897000.0,1685941000.0,,798601000.0,0.045581333943295055,0.01986914283706761,0.19722940904909148,0.8226449810854526,0.0,1.761973727796893,1.761973727796893,0.026916224314137493,0.06174787805473383,0.1190270027580014
2021-12-31,395598000.0,8039000,-25361000.0,3577340000,1527306000.0,0.0,163394000.0,328753000.0,-474000.0,34621000.0,501822000.0,485916000.0,3091649000.0,1757156000.0,2050034000.0,,958779000.0,0.005263516282919075,0.002247200433841905,0.020321134080556524,0.8310279627298419,0.0,1.7594618804477236,1.7594618804477236,-0.007089345714972577,-0.01660505491368462,0.0160196244883644
2022-03-31,315323000.0,-14598000,-17053000.0,3432721000,1649103000.0,0.0,146192000.0,251433000.0,-1076000.0,2736000.0,500314000.0,480873000.0,2955339000.0,1545802000.0,1783618000.0,,1104570000.0,-0.008852085042595884,-0.004252603109894454,-0.04629538600102118,0.797382366652607,0.0,1.9118483479772959,1.9118483479772959,-0.004967779204893144,-0.010340773135456062,-0.029177676419208737
2022-06-30,376962000.0,-19073000,1743000.0,3672746000,1779831000.0,0.0,91766000.0,,656000.0,-21155000.0,486310000.0,486310000.0,3196177000.0,1665074000.0,1892915000.0,,1213142000.0,-0.010716185974960544,-0.005193117084601004,-0.05059661186008139,,0.0,1.9195405129141407,1.9195405129141407,0.00047457678804905103,0.0009793064622427635,-0.03921983919721988
2022-09-30,394773000.0,15869000,28804000.0,3923954000,1914288000.0,0.0,137296000.0,,1741000.0,-14633000.0,500300000.0,487963000.0,3415363000.0,1734215000.0,2009666000.0,,1321401000.0,0.00828976622117466,0.004044135073958563,0.04019778454960192,,0.0,1.9693999878907749,1.9693999878907749,0.007340554960634095,0.015046847705256472,0.031718968618828704
2022-12-31,490737000.0,71187000,100160000.0,4380679000,2115339000.0,0.0,173480000.0,,11434000.0,-40933000.0,512776000.0,492602000.0,3845617000.0,1976893000.0,2265340000.0,,1446586000.0,0.033652762039559615,0.016250220570829317,0.14506140763789974,,0.0,1.945283330964296,1.945283330964296,0.022864035461169375,0.047349384661276514,0.13882670015757367
2023-03-31,382803000.0,9326000,-23308000.0,3999638000,1940807000.0,0.0,187573000.0,297936000.0,14423000.0,18934000.0,499795000.0,489712000.0,3475865000.0,1777300000.0,2058831000.0,,1330432000.0,0.0048052176233906825,0.0023317110198472963,0.024362400503653316,0.7783011104928644,0.0,1.9556996567827605,1.9556996567827605,-0.005827527391228906,-0.01200943731138645,0.018659650456687243
2023-06-30,464254000.0,32939000,41673000.0,4346968000,2071410000.0,0.0,128089000.0,377600000.0,17507000.0,-26988000.0,499349000.0,488431000.0,3831763000.0,1996191000.0,2275558000.0,,1430944000.0,0.015901728774120043,0.007577465488588828,0.07095038491860059,0.8133478656080507,0.0,1.9195372587092117,1.9195372587092117,0.00958668202756496,0.02011818036989297,0.06596388497824167
2023-09-30,493266000.0,39352000,37677000.0,4520432000,2155526000.0,0.0,191540000.0,399884000.0,17626000.0,-17648000.0,501880000.0,489447000.0,4013806000.0,2089265000.0,2364906000.0,,1521881000.0,0.018256332793016646,0.008705362673302021,0.07977845624875828,0.8106863234035997,0.0,1.9211569618980837,1.9211569618980837,0.008334822866487096,0.01747926028264099,0.07840918147764406
2023-12-31,605797000.0,97323000,144438000.0,4888687000,2164219000.0,0.0,91120000.0,505102000.0,18952000.0,-63353000.0,499704000.0,489454000.0,4313954000.0,2455314000.0,2724468000.0,,1380288000.0,0.044969108948770896,0.019907799374351436,0.16065282594664548,0.8337809530255185,0.0,1.7569866827623677,1.7569866827623677,0.02954535645256078,0.06673908694083178,0.19476129868882378
2024-03-31,491253000.0,31660000,28657000.0,4663797000,2166555000.0,0.0,185472000.0,387623000.0,16661000.0,-14373000.0,498192000.0,488551000.0,4096419000.0,2226142000.0,2497242000.0,,1419560000.0,0.014613060826981083,0.006788460132377117,0.0644474435779527,0.7890496343024878,0.0,1.8401427222522193,1.8401427222522193,0.006144564182360424,0.01322698939099169,0.06354979606256222
2024-06-30,584550000.0,85029000,94720000.0,5159922000,2405406000.0,0.0,81259000.0,474091000.0,17817000.0,-27463000.0,500040000.0,489353000.0,4522840000.0,2456807000.0,2754516000.0,,1506531000.0,0.03534912609347445,0.016478737469287328,0.14546061072619965,0.8110358395346848,0.0,1.8409423288031985,1.8409423288031985,0.01835686663480572,0.03937796779421021,0.17004439644828415
2024-09-30,628016000.0,94158000,108481000.0,5505325000,2625750000.0,0.0,273324000.0,505360000.0,19408000.0,-33020000.0,502563000.0,491614000.0,4838373000.0,2552232000.0,2879575000.0,,1731765000.0,0.03585946872322194,0.017103077474990125,0.14992930116430156,0.8046928740669027,0.0,1.8957418447852703,1.8957418447852703,0.01970474041042082,0.041314291154908124,0.1873556151169107
2024-12-31,741012000.0,182229000,195309000.0,6111951000,2949145000.0,0.0,199401000.0,605745000.0,24956000.0,-39370000.0,506901000.0,493998000.0,5336458000.0,2808973000.0,3162806000.0,,1921489000.0,0.061790451130751455,0.029815193217354,0.2459190944276206,0.8174563974672475,0.0,1.8997897096198504,1.8997897096198504,0.031955262730345844,0.06622563488739956,0.3594962329922411
