report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,897300000.0,-208300000,-11500000.0,4629900000,331900000.0,2441100000.0,-194700000.0,287000000.0,-68900000.0,-13800000.0,-32400000.0,240656864.0,240656864.0,2065700000.0,1378200000.0,4298000000.0,2418900000.0,22200000.0,293200000.0,-0.6275986742994878,-0.04499017257392168,-0.23214086704558118,0.3198484341914633,7.354926182585116,1.4988390654476853,1.4988390654476853,-0.0024838549428713363,-0.004147133068878471,-0.8655477202594978,-43900000.0,-55.605922551252846
2020-06-30,1005700000.0,-56000000,88100000.0,4729900000,350900000.0,2451200000.0,73000000.0,346400000.0,-30100000.0,-14300000.0,-32200000.0,331136080.0,328411705.0,2203200000.0,1440500000.0,4379000000.0,2409000000.0,42200000.0,369700000.0,-0.15958962667426618,-0.011839573775344088,-0.055682609127970566,0.3444367107487322,6.985465944713594,1.5294689343977785,1.5294689343977785,0.018626186600139538,0.03144070518539667,-0.1691147639363249,55900000.0,43.849731663685155
2020-09-30,1162000000.0,-103500000,127900000.0,4771700000,371700000.0,2275900000.0,136100000.0,413000000.0,-26400000.0,-24500000.0,-32500000.0,328411705.0,328411705.0,2251100000.0,1601600000.0,4400000000.0,2234800000.0,41100000.0,324300000.0,-0.2784503631961259,-0.02169038288241088,-0.08907056798623064,0.35542168674698793,6.122948614474038,1.405531968031968,1.405531968031968,0.026803864450824652,0.048307901495694215,-0.3151532007667023,95400000.0,23.856394129979037
2020-12-31,1305600000.0,40500000,130600000.0,5073800000,512100000.0,2152500000.0,194500000.0,427300000.0,-25000000.0,-20100000.0,-31600000.0,328100939.0,330825314.0,2518800000.0,1741600000.0,4561700000.0,2130500000.0,22000000.0,534600000.0,0.07908611599297012,0.007982182979226616,0.031020220588235295,0.32728247549019607,4.203280609256005,1.4462563160312356,1.4462563160312356,0.02574007647128385,0.04901298506342416,0.12343762295663531,99000000.0,21.742424242424242
2021-03-31,1098400000.0,31700000,74900000.0,5161400000,728700000.0,2148900000.0,60700000.0,358000000.0,-24100000.0,-10000000.0,-31800000.0,353448585.0,349603701.0,2666200000.0,1645400000.0,4432700000.0,2126900000.0,22000000.0,677200000.0,0.04350212707561411,0.006141744487929632,0.028860160233066277,0.32592862345229423,2.9489501852614244,1.6203962562294882,1.6203962562294882,0.01451156662920913,0.026028634973589104,0.08968772643410074,43100000.0,49.8584686774942
2021-06-30,1260300000.0,9700000,107400000.0,5332000000,743700000.0,2144600000.0,59300000.0,409300000.0,-20000000.0,-1300000.0,-31900000.0,356652811.0,352199184.0,2849400000.0,1710800000.0,4588300000.0,2122800000.0,21800000.0,708800000.0,0.013042893639908565,0.0018192048012003002,0.007696580179322384,0.32476394509243833,2.883689659809063,1.665536591068506,1.665536591068506,0.020142535633908477,0.03718450299484126,0.027197318234511266,75500000.0,28.405298013245034
2021-09-30,1228900000.0,56200000,91600000.0,5261700000,785700000.0,2140200000.0,54400000.0,381700000.0,-22400000.0,-35700000.0,-31600000.0,363198701.0,352482900.0,2861500000.0,1646800000.0,4476000000.0,2118400000.0,21800000.0,743600000.0,0.07152857324678631,0.010680958625539274,0.0457319554072748,0.3106029782732525,2.7239404352806416,1.7376123390818556,1.7376123390818556,0.017408822243761522,0.03130660651423493,0.15473623624000793,60000000.0,35.67
2021-12-31,1410500000.0,22000000,-700000.0,6939600000,1417700000.0,2972300000.0,36500000.0,373700000.0,-24100000.0,400000.0,-49000000.0,367261195.0,367892743.0,2698600000.0,1854800000.0,5521900000.0,2950500000.0,21800000.0,439100000.0,0.015518092685335402,0.003170211539570004,0.015597305919886565,0.2649415101028004,2.096564858573746,1.4549277550140176,1.4549277550140176,-0.00010087036716813649,-0.00015945330296127563,0.059902871034332936,-49700000.0,-59.80482897384306
2022-03-31,1156400000.0,8500000,-45700000.0,6911000000,1454100000.0,2968100000.0,-132200000.0,303600000.0,-29300000.0,-11900000.0,-57700000.0,379692729.0,375972294.0,2724000000.0,1903800000.0,5456900000.0,2946300000.0,21800000.0,288500000.0,0.005845540196685235,0.0012299233106641586,0.0073503977862331375,0.262538913870633,2.0411938656213464,1.4308225653955247,1.4308225653955247,-0.006612646505570829,-0.010334222785039121,0.022386522971842317,-103400000.0,-28.70502901353965
2022-06-30,1399400000.0,20300000,29900000.0,6827100000,1351700000.0,3139300000.0,-205700000.0,371500000.0,-33400000.0,-11400000.0,-55800000.0,377257854.0,376594660.0,2813600000.0,1820400000.0,5475400000.0,3117500000.0,21800000.0,194400000.0,0.015018125323666495,0.002973444068491746,0.01450621695012148,0.26547091610690293,2.3224827994377453,1.5455943748626675,1.5455943748626675,0.0043796048102415375,0.006657759964373191,0.05380935024880887,-25900000.0,-121.2084942084942
