report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,4447300000.0,148100001,286100000.0,30960300000,11499600000.0,10856600000.0,167600000.0,804800000.0,-97300000.0,-57800000.0,260200000.0,259000000.0,5492200000.0,3139800000.0,19460700000.0,10424600000.0,432000000.0,640200000.0,0.012878708911614318,0.004783545411381673,0.03330110426550941,0.1809637308029591,0.9440850116525792,1.7492196955220078,1.7492196955220078,0.009240866529071102,0.012797344808151654,0.5691775595695618
2020-06-30,4236300000.0,178500000,280300000.0,30277600000,11731500000.0,10053400000.0,740200000.0,770000000.0,-92400000.0,-19200000.0,260400000.0,259400000.0,5005900000.0,2786900000.0,18546100000.0,9840300000.0,213100000.0,291500000.0,0.015215445595192431,0.005895447459508019,0.04213582607464061,0.18176238698864575,0.8569577632868772,1.7962251964548424,1.7962251964548424,0.00925766903585489,0.012866710427865172,0.6854838709677419
2020-09-30,4471500000.0,-1156000000,324400000.0,28779699999,10648799999.0,9430600000.0,731700000.0,813400000.0,-110300000.0,-40000000.0,256300000.0,260200000.0,4944699999.0,2928900000.0,18130900000.0,9207700000.0,222900000.0,251100000.0,-0.10855683270495801,-0.040167201188343424,-0.25852622162585265,0.18190763725819076,0.8856021336569005,1.6882447331762778,1.6882447331762778,0.011271833966694296,0.016155861231717875,-4.510339445961764
2020-12-31,4401500000.0,152000000,243200000.0,28836400000,10981800000.0,8939800000.0,719400000.0,752900000.0,-93800000.0,-50300000.0,264800000.0,262700000.0,4863800000.0,3049100000.0,17854600000.0,8771100000.0,168700000.0,253800000.0,0.01384108251834854,0.0052711156732463136,0.03453368169942065,0.17105532204930138,0.8140559835363966,1.5951592273129775,1.5951592273129775,0.008433785077194103,0.012207854790779857,0.5740181268882175
2021-03-31,4437800000.0,112500000,202600000.0,28971899999,11072200000.0,8942600000.0,132199999.0,749600000.0,-83500000.0,-30500000.0,267000000.0,264900000.0,5384599999.0,3552700000.0,17899700000.0,8393100000.0,549500000.0,334000000.0,0.010160582359422698,0.00388307290871096,0.02535039884627518,0.16891252422371444,0.8076624338433193,1.5156359948771356,1.5156359948771356,0.006992982856043027,0.010122509343086117,0.42134831460674155
2021-06-30,4816300000.0,250100000,390200000.0,29414100000,11473200000.0,8672600000.0,750800001.0,929900000.0,-102500000.0,-77400000.0,265900000.0,263800000.0,5723700000.0,3844000000.0,17940900000.0,8106900000.0,565700000.0,549800000.0,0.02179862636404839,0.008502724883644239,0.051927828416003984,0.19307352116770135,0.7559007077362898,1.4889958376690946,1.4889958376690946,0.013265746699712044,0.019368801437520476,0.9405791650996616
2021-09-30,5090500000.0,323700000,472900000.0,29254300000,11691700000.0,8194100000.0,677500000.0,992900000.0,-92500000.0,-85200000.0,268900000.0,267006103.0,5659600000.0,3644100000.0,17562600000.0,8025300000.0,168800000.0,290900000.0,0.027686307380449377,0.011065040011212028,0.06358903840487182,0.1950496022001768,0.70084760984288,1.553085809939354,1.553085809939354,0.01616514495304964,0.02378078830119985,1.2037932316846411
2021-12-31,4952200000.0,182300000,255700000.0,29082500000,11719800000.0,8233200000.0,252800000.0,796600000.0,-86700000.0,-58600000.0,268900000.0,267006103.0,5567900000.0,3555499999.0,17362699999.0,7996400000.0,236800000.0,291300000.0,0.015554872950050341,0.006268374451990028,0.03681192197407213,0.16085780057348248,0.7025034556903701,1.5659963441333136,1.5659963441333136,0.00879222900369638,0.012815115521475467,0.6779471922647824
2022-03-31,5382100000.0,39900000,422500000.0,29205600000,11601300000.0,8374000000.0,389900000.0,1003700000.0,-72500000.0,-1800000.0,266900000.0,263200000.0,5985900000.0,3911800000.0,17604300000.0,7954400000.0,419600000.0,360200000.0,0.003439269737012231,0.0013661763497411455,0.007413463146355511,0.186488545363334,0.7218156585899856,1.530216268725395,1.530216268725395,0.014466403703399348,0.021151121635219497,0.1494941925814912
2022-06-30,5519700000.0,377900000,567600000.0,28885700000,11481400000.0,8022900000.0,837400000.0,1159400000.0,-78500000.0,-132700000.0,257400000.0,255600000.0,6004700000.0,4111400000.0,17404300000.0,7635100000.0,387800000.0,305400000.0,0.03291410455170972,0.013082597963698301,0.06846386578980741,0.2100476475170752,0.6987736687163586,1.4605000729678455,1.4605000729678455,0.019649861350079796,0.02910127510343873,1.468142968142968
2022-09-30,5402500000.0,344500000,490200000.0,28405500000,11425200000.0,7787200000.0,540300000.0,1059300000.0,-81100000.0,-76500000.0,276800000.0,274193897.0,5985400000.0,3902800000.0,16980300000.0,7575000000.0,212200000.0,260200000.0,0.030152645030283934,0.0121279329707275,0.06376677464136973,0.19607589079130033,0.6815810664145923,1.5336168904376346,1.5336168904376346,0.017257221312773935,0.025514771709937333,1.2445809248554913
2022-12-31,4923100000.0,45300000,200300000.0,30341700000,11559200000.0,9462800000.0,265900000.0,766000000.0,-97300000.0,-8300000.0,256700000.0,254700000.0,7580100000.0,5012000000.0,18782500000.0,8965800000.0,497000000.0,415200000.0,0.0039189563291577275,0.0014929947893493113,0.009201519367877962,0.15559302065771566,0.8186379680254688,1.512390263367917,1.512390263367917,0.006601475856659317,0.009528113405004281,0.17647058823529413
2023-03-31,5277600000.0,-2006100000,334900000.0,28210400000,9669000000.0,9505600000.0,284100000.0,920000000.0,-108400000.0,116800000.0,255600000.0,254651783.0,7598300000.0,4967500000.0,18541400000.0,9004000000.0,501600000.0,363400000.0,-0.20747750542972385,-0.07111207214360661,-0.3801159618008186,0.1743216613612248,0.9831006308822009,1.5296024157020633,1.5296024157020633,0.011871508379888268,0.01746581414996923,-7.848591549295775
2023-06-30,5121100000.0,202000000,395200000.0,28148900000,10033500000.0,9027000000.0,693600000.0,1021500000.0,-108100000.0,-67300000.0,257000000.0,256130237.0,7448000000.0,5003700000.0,18115400000.0,8607600000.0,419400000.0,314800000.0,0.02013255593760901,0.007176124111421761,0.03944465056335553,0.1994688641112261,0.8996860517267155,1.4884985111017848,1.4884985111017848,0.014039624994227128,0.020733978646940005,0.7859922178988327
2023-09-30,4988200000.0,109800000,298700000.0,27443700000,10097700000.0,8583900000.0,584300000.0,877500000.0,-104100000.0,19200000.0,256311668.0,260129648.0,6993100000.0,4919400000.0,17346000000.0,8050900000.0,533000000.0,393400000.0,0.010873763332243977,0.004000918243531302,0.022011948197746684,0.1759151597770739,0.8500846727472593,1.421535146562589,1.421535146562589,0.010884100904761385,0.01598899451867078,0.42838471169404585
2023-12-31,4620000000.0,-22400000,149700000.0,26746200000,10164600000.0,8698200000.0,275000000.0,758800000.0,-101400000.0,-5700000.0,257000000.0,257000000.0,6146100000.0,3968800000.0,16581600000.0,8235900000.0,462300000.0,488100000.0,-0.002203726659189737,-0.0008375021498381078,-0.0048484848484848485,0.16424242424242425,0.8557346083466147,1.5486041120741787,1.5486041120741787,0.00559705677815914,0.007936255486990267,-0.08715953307392996
2024-03-31,4726700000.0,15500000,201600000.0,26884000000,10083800000.0,9035700000.0,37100000.0,780100000.0,-100800000.0,10000000.0,259300000.0,258000000.0,6343300000.0,4737400000.0,16800200000.0,7718200000.0,1317500000.0,494700000.0,0.0015371189432555187,0.000576551108466002,0.0032792434468022088,0.16504114921615504,0.8960610087467026,1.3389834086207624,1.3389834086207624,0.007498884094628775,0.010544208792070922,0.05977632086386425
