report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,1728000000.0,150000000,240000000.0,17228000000,8082000000.0,7426000000.0,86000000.0,346000000.0,-84000000.0,3000000.0,747155000.0,746534000.0,2493000000.0,1816000000.0,9146000000.0,6299000000.0,1127000000.0,1458000000.0,0.01855976243504083,0.008706756442999768,0.08680555555555555,0.20023148148148148,0.9188319722840881,1.372797356828194,1.372797356828194,0.013930810308799628,0.015475883415011608,0.200761555500532
2020-06-30,1631000000.0,72000000,243000000.0,16254000000,8202000000.0,6299000000.0,391000000.0,348000000.0,-101000000.0,-60000000.0,746984000.0,746896000.0,1651000000.0,724000000.0,8052000000.0,6299000000.0,,643000000.0,0.008778346744696415,0.004429678848283499,0.04414469650521153,0.21336603310852237,0.7679834186783712,2.2803867403314917,2.2803867403314917,0.014950166112956811,0.016757465002413627,0.09638760669572574
2020-09-30,2110000000.0,283000000,510000000.0,16356000000,8527000000.0,5974000000.0,608000000.0,720000000.0,-109000000.0,-109000000.0,748450000.0,746996000.0,2046000000.0,832000000.0,7829000000.0,5974000000.0,,787000000.0,0.033188694734373164,0.01730251895328931,0.13412322274881516,0.3412322274881517,0.7005981001524569,2.4591346153846154,2.4591346153846154,0.031181217901687455,0.035169988276670575,0.3781147705257532
2020-12-31,2063000000.0,292000000,527000000.0,16311000000,8619000000.0,5475000000.0,444000000.0,671000000.0,-52000000.0,-19000000.0,749007000.0,747298000.0,1609000000.0,950000000.0,7692000000.0,5325000000.0,150000000.0,495000000.0,0.033878640213481845,0.01790202930537674,0.14154144449830344,0.32525448376151234,0.6352245040027845,1.6936842105263157,1.6936842105263157,0.03230948439703268,0.03739179792819639,0.38984949406347336
2021-03-31,2506000000.0,681000000,956000000.0,16874000000,9328000000.0,5475000000.0,698000000.0,1076000000.0,-78000000.0,-189000000.0,750024000.0,748718000.0,2258000000.0,935000000.0,7546000000.0,5325000000.0,150000000.0,1016000000.0,0.07300600343053174,0.04035794713760815,0.27174780526735837,0.42936951316839583,0.586942538593482,2.4149732620320856,2.4149732620320856,0.05665520919758208,0.06458150374924002,0.9079709449297623
2021-06-30,3144000000.0,1028000000,1429000000.0,17830000000,10400000000.0,5250000000.0,1308000000.0,1561000000.0,-76000000.0,-324000000.0,750024000.0,748718000.0,3355000000.0,1178000000.0,7430000000.0,5100000000.0,150000000.0,1777000000.0,0.09884615384615385,0.05765563656758273,0.32697201017811706,0.49650127226463103,0.5048076923076923,2.8480475382003396,2.8480475382003396,0.08014582164890634,0.09130990415335463,1.370622806736851
2021-09-30,2345000000.0,482000000,649000000.0,18092000000,10369000000.0,5250000000.0,659000000.0,756000000.0,-78000000.0,-84000000.0,750942000.0,749020000.0,3540000000.0,1524000000.0,7723000000.0,5100000000.0,150000000.0,2326000000.0,0.04648471405149966,0.026641609551182843,0.20554371002132196,0.32238805970149254,0.5063169061626001,2.322834645669291,2.322834645669291,0.0358722087110325,0.04155195595108522,0.6418604898913631
2021-12-31,2206000000.0,416000000,540000000.0,17652000000,10767000000.0,5099000000.0,557000000.0,705000000.0,-76000000.0,-112000000.0,750942000.0,749020000.0,3135000000.0,954000000.0,6885000000.0,5099000000.0,,1879000000.0,0.038636574719048945,0.023566734647631996,0.1885766092475068,0.31958295557570265,0.4735766694529581,3.2861635220125787,3.2861635220125787,0.030591434398368457,0.03403504348922223,0.5539708792423383
2022-03-31,3112000000.0,771000000,1344000000.0,17116000000,9755000000.0,5053000000.0,957000000.0,1465000000.0,-73000000.0,-209000000.0,750942000.0,749020000.0,2775000000.0,984000000.0,7361000000.0,5053000000.0,,1205000000.0,0.07903639159405433,0.04504557139518579,0.24775064267352184,0.47075835475578404,0.5179907739620707,2.8201219512195124,2.8201219512195124,0.07852301939705539,0.09076175040518639,1.026710451672699
2022-06-30,2973000000.0,788000000,1047000000.0,17580000000,2333000000.0,5053000000.0,1146000000.0,1184000000.0,-64000000.0,-184000000.0,745582000.0,744542000.0,3012000000.0,941000000.0,15247000000.0,5053000000.0,,1723000000.0,0.3377625375053579,0.04482366325369738,0.26505213588967375,0.398250924991591,2.165880840120017,3.2008501594048884,3.2008501594048884,0.05955631399317406,0.14175467099918765,1.056892467897562
2022-09-30,2276000000.0,310000000,457000000.0,17590000000,10838000000.0,5053000000.0,562000000.0,582000000.0,-58000000.0,-77000000.0,745582000.0,744542000.0,3048000000.0,1054000000.0,6752000000.0,4935000000.0,118000000.0,1920000000.0,0.028603063295811037,0.01762364980102331,0.13620386643233742,0.2557117750439367,0.4662299317217199,2.891840607210626,2.891840607210626,0.025980670835702102,0.028758416713863193,0.4157825698581779
2022-12-31,1823000000.0,11000000,232000000.0,17340000000,10749000000.0,5053000000.0,212000000.0,389000000.0,-50000000.0,45000000.0,742953000.0,741904000.0,2746000000.0,1740000000.0,6591000000.0,4071000000.0,982000000.0,1581000000.0,0.001023351009396223,0.0006343713956170704,0.006034009873834339,0.2133845309928689,0.47009024095264673,1.57816091954023,1.57816091954023,0.013379469434832756,0.014681685862549044,0.014805781792387944
2023-03-31,1881000000.0,151000000,236000000.0,16580000000,10076000000.0,5053000000.0,129000000.0,369000000.0,-54000000.0,-22000000.0,733546000.0,733163000.0,2053000000.0,1650000000.0,6504000000.0,4072000000.0,981000000.0,797000000.0,0.014986105597459309,0.00910735826296743,0.08027644869750133,0.19617224880382775,0.5014886859865025,1.2442424242424241,1.2442424242424241,0.014234016887816647,0.015599180382047722,0.20584939458466137
2023-06-30,1997000000.0,230000000,319000000.0,17470000000,10141000000.0,5797000000.0,504000000.0,469000000.0,-52000000.0,-25000000.0,732362000.0,732021000.0,2967000000.0,1707000000.0,7329000000.0,4817000000.0,980000000.0,1760000000.0,0.0226802090523617,0.01316542644533486,0.11517275913870806,0.23485227841762643,0.5716398777240903,1.7381370826010545,1.7381370826010545,0.018259874069834002,0.020015058351110553,0.3140523402361127
2023-09-30,2022000000.0,239000000,353000000.0,17550000000,10228000000.0,5679000000.0,532000000.0,502000000.0,-48000000.0,-54000000.0,731742000.0,731046000.0,3016000000.0,1686000000.0,7322000000.0,4818000000.0,861000000.0,1841000000.0,0.023367227219397733,0.013618233618233617,0.11819980217606331,0.24826904055390703,0.555240516229957,1.7888493475682088,1.7888493475682088,0.020113960113960112,0.022191488024140317,0.3266178516471653
2023-12-31,1774000000.0,219000000,194000000.0,16983000000,10236000000.0,5069000000.0,315000000.0,342000000.0,-50000000.0,3000000.0,731238000.0,730386000.0,2313000000.0,788000000.0,6747000000.0,5069000000.0,,1164000000.0,0.021395076201641265,0.012895248189365837,0.12344983089064261,0.1927846674182638,0.49521297381789764,2.935279187817259,2.935279187817259,0.011423187893776129,0.012675596210388761,0.2994920942292386
2024-03-31,1796000000.0,114000000,196000000.0,16756000000,10054000000.0,5071000000.0,135000000.0,355000000.0,-51000000.0,-20000000.0,730558000.0,730043000.0,2111000000.0,944000000.0,6702000000.0,4861000000.0,210000000.0,871000000.0,0.01133877063855182,0.00680353306278348,0.06347438752783964,0.19766146993318487,0.5043763676148797,2.2362288135593222,2.2362288135593222,0.01169730245882072,0.012958677685950413,0.15604510524831705
2024-06-30,1939000000.0,173000000,270000000.0,16800000000,10045000000.0,5072000000.0,443000000.0,404000000.0,-54000000.0,-33000000.0,729341000.0,729026000.0,2183000000.0,995000000.0,6755000000.0,4862000000.0,210000000.0,997000000.0,0.0172224987555998,0.010297619047619047,0.0892212480660134,0.20835482207323364,0.504927824788452,2.193969849246231,2.193969849246231,0.01607142857142857,0.017860686644175432,0.2372004316225195
