date,transactionType,shares,value
2024-02-29,Sale at price 180.94 per share.,100000,18094000.0
2024-04-01,,113309,
2024-04-01,,113309,
2024-04-01,,196410,
2024-04-01,,113309,
2024-04-01,,113309,
2024-04-02,Sale at price 168.90 per share.,54732,9244235.0
2024-04-02,Sale at price 168.91 per share.,54732,9244782.0
2024-04-02,Sale at price 168.62 - 170.03 per share.,196410,33258614.0
2024-04-11,Sale at price 173.19 - 175.02 per share.,53194,9261933.0
2024-04-11,Sale at price 172.22 per share.,59162,10188880.0
2024-04-15,,8119,
2024-05-10,Stock Gift at price 0.00 per share.,1850,0.0
2024-05-15,Sale at price 190.40 per share.,4999,951785.0
2024-05-30,Sale at price 191.58 per share.,75000,14368500.0
2024-08-05,Sale at price 206.42 - 207.05 per share.,100000,20643512.0
2024-08-07,Stock Gift at price 0.00 per share.,4500,0.0
2024-08-09,Sale at price 216.50 per share.,5178,1121037.0
2024-08-15,Sale at price 225.00 per share.,8706,1958850.0
2024-10-01,,127282,
2024-10-01,,127282,
2024-10-01,,127282,
2024-10-01,,127282,
2024-10-01,,477301,
2024-10-02,Sale at price 223.75 - 226.57 per share.,223986,50276355.0
2024-10-02,Sale at price 223.79 - 227.24 per share.,61019,13802297.0
2024-10-02,Sale at price 226.80 - 227.22 per share.,59730,13550148.0
2024-10-02,Sale at price 226.72 - 227.13 per share.,61019,13843382.0
2024-10-04,Sale at price 226.52 per share.,59305,13433769.0
2024-10-15,,8115,
2024-11-05,Stock Gift at price 0.00 per share.,8000,0.0
2024-11-18,Sale at price 228.87 per share.,4130,945233.0
2024-11-19,Sale at price 224.68 - 229.28 per share.,200000,45464500.0
2024-12-16,Sale at price 248.61 - 251.10 per share.,100000,24997395.0
2025-01-31,,1516,
2025-01-31,,1516,
2025-01-31,,1516,
2025-01-31,,1516,
2025-01-31,,1516,
2025-01-31,,1516,
2025-01-31,,1516,
2025-02-03,Sale at price 226.35 per share.,1516,343147.0
2025-04-01,,218568,
2025-04-01,,74535,
2025-04-01,,74535,
2025-04-01,,74535,
2025-04-02,Sale at price 223.48 - 225.03 per share.,35493,7950691.0
2025-04-02,Sale at price 221.77 - 224.76 per share.,108136,24184658.0
2025-04-02,Sale at price 221.68 - 224.62 per share.,38822,8683252.0
2025-04-15,,7373,
2025-04-15,,16458,
2025-04-23,Sale at price 206.00 per share.,4570,941420.0
2025-05-12,Sale at price 208.19 per share.,4486,933955.0
2025-08-08,Sale at price 223.20 per share.,34821,7772047.0
2025-08-25,Stock Gift at price 0.00 per share.,435,0.0
2025-08-28,Sale at price 232.07 per share.,90000,20886300.0
2025-10-01,,92403,
2025-10-01,,92403,
2025-10-01,,277206,
2025-10-01,,92403,
2025-10-02,Sale at price 254.83 - 257.57 per share.,129963,33375723.0
2025-10-02,Sale at price 254.83 - 257.54 per share.,47125,12101154.0
2025-10-02,Sale at price 257.36 - 258.08 per share.,43013,11071078.0
2025-10-15,,16457,
2025-10-15,,7371,
2025-10-16,Sale at price 245.89 - 248.73 per share.,4199,1038787.0
2025-11-07,Sale at price 271.23 per share.,3752,1017655.0
2025-11-12,Stock Gift at price 0.00 per share.,3750,0.0
2026-01-30,,1255,
2026-01-30,,1255,
2026-01-30,,1255,
2026-01-30,,1113,
2026-01-30,,1255,
2026-01-30,,1255,
2026-01-30,,1255,
