date,transactionType,shares,value
2024-03-11,,235,
2024-03-12,Sale at price 180.59 per share.,1400,252832.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1280,232870.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,10760,1957567.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1350,245606.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,538,97878.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1280,232870.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1280,232870.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1030,187388.0
2024-03-19,Stock Award(Grant) at price 181.93 per share.,1280,232870.0
2024-03-21,Conversion of Exercise of derivative security at price 73.45 per share.,6891,506144.0
2024-03-21,Conversion of Exercise of derivative security at price 63.37 per share.,27400,1736338.0
2024-03-21,Sale at price 185.38 per share.,6891,1277456.0
2024-03-21,Sale at price 185.05 per share.,27400,5070375.0
2024-03-22,,1149,
2024-03-26,Sale at price 181.86 - 182.39 per share.,1365,248728.0
2024-03-26,Sale at price 182.00 per share.,780,141960.0
2024-05-15,Sale at price 170.20 per share.,1470,250196.0
2024-06-12,Sale at price 173.93 per share.,1440,250464.0
2024-09-25,Sale at price 171.31 - 172.13 per share.,1460,250526.0
2024-11-08,Conversion of Exercise of derivative security at price 73.45 per share.,6243,458548.0
2024-11-08,Sale at price 190.99 per share.,6243,1192329.0
2024-11-13,Conversion of Exercise of derivative security at price 73.45 per share.,19450,1428602.0
2024-11-13,Sale at price 196.23 per share.,19450,3816625.0
2024-11-22,Conversion of Exercise of derivative security at price 73.45 per share.,16210,1190624.0
2024-11-22,Sale at price 197.01 per share.,16210,3193529.0
2024-11-26,Sale at price 195.94 - 197.48 per share.,121364,23890586.0
2024-11-26,Sale at price 195.54 - 196.01 per share.,6747,1321727.0
2024-11-26,Conversion of Exercise of derivative security at price 73.61 - 83.81 per share.,6747,534846.0
2024-11-26,Conversion of Exercise of derivative security at price 73.45 - 85.45 per share.,121364,9822826.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,3499,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,3499,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,1772,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,3290,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,3499,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,621,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,531,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,3686,0.0
2025-02-20,Stock Award(Grant) at price 0.00 per share.,32824,0.0
2025-03-03,Sale at price 189.42 per share.,1320,250028.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1740,306379.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,12230,2153458.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1800,316944.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1740,306379.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,603,106176.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1740,306379.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1710,301097.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,3650,642692.0
2025-03-18,Stock Award(Grant) at price 176.08 per share.,1030,181362.0
2025-03-19,,230,
2025-03-21,,747,
2025-03-27,Sale at price 176.64 per share.,710,125414.0
2025-09-11,Sale at price 188.03 per share.,7867,1479232.0
2025-10-31,Sale at price 200.05 per share.,26290,5259207.0
2025-10-31,Conversion of Exercise of derivative security at price 63.37 - 85.45 per share.,26290,1930516.0
2025-11-12,Sale at price 200.00 per share.,2700,540000.0
2025-11-25,Conversion of Exercise of derivative security at price 63.37 per share.,88000,5576560.0
2025-11-25,Sale at price 194.89 - 196.86 per share.,88000,17282191.0
2025-12-12,Stock Gift at price 0.00 per share.,31904,0.0
2025-12-12,Sale at price 201.76 per share.,28390,5727966.0
2025-12-15,Conversion of Exercise of derivative security at price 63.37 per share.,14310,906825.0
2025-12-15,Sale at price 202.11 per share.,14310,2892238.0
2025-12-22,Conversion of Exercise of derivative security at price 85.45 per share.,6388,545855.0
2025-12-22,Sale at price 205.05 per share.,6388,1309890.0
2025-12-26,Stock Gift at price 0.00 per share.,19,0.0
2025-12-30,Stock Gift at price 0.00 per share.,1250,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,2755,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,279,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,1399,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,2652,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,2755,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,373,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,2887,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,2755,0.0
2026-02-17,Stock Award(Grant) at price 0.00 per share.,32519,0.0
