date,transactionType,shares,value
2024-03-01,Sale at price 122.90 per share.,3200,393280
2024-03-13,Sale at price 126.67 per share.,3000,380010
2024-03-28,Stock Award(Grant) at price 0.00 per share.,329,0
2024-03-28,Stock Award(Grant) at price 0.00 per share.,213,0
2024-04-15,Stock Award(Grant) at price 0.00 per share.,140,0
2024-04-15,Stock Award(Grant) at price 0.00 per share.,158,0
2024-04-15,Stock Award(Grant) at price 0.00 per share.,59,0
2024-04-15,Stock Award(Grant) at price 0.00 per share.,27,0
2024-04-15,Stock Award(Grant) at price 0.00 per share.,29,0
2024-06-28,Stock Award(Grant) at price 0.00 per share.,235,0
2024-06-28,Stock Award(Grant) at price 0.00 per share.,364,0
2024-07-15,Stock Award(Grant) at price 0.00 per share.,58,0
2024-07-15,Stock Award(Grant) at price 0.00 per share.,27,0
2024-07-15,Stock Award(Grant) at price 0.00 per share.,138,0
2024-07-15,Stock Award(Grant) at price 0.00 per share.,29,0
2024-07-15,Stock Award(Grant) at price 0.00 per share.,157,0
2024-09-13,Sale at price 123.29 per share.,6941,855756
2024-09-16,Sale at price 124.87 per share.,340,42456
2024-09-30,Stock Award(Grant) at price 0.00 per share.,231,0
2024-09-30,Stock Award(Grant) at price 0.00 per share.,358,0
2024-10-15,Stock Award(Grant) at price 0.00 per share.,30,0
2024-10-15,Stock Award(Grant) at price 0.00 per share.,149,0
2024-10-15,Stock Award(Grant) at price 0.00 per share.,170,0
2024-10-15,Stock Award(Grant) at price 0.00 per share.,61,0
2024-10-15,Stock Award(Grant) at price 0.00 per share.,28,0
2024-12-09,Sale at price 106.13 per share.,5000,530650
2024-12-11,Sale at price 103.31 per share.,10000,1033100
2024-12-11,Sale at price 103.25 - 105.32 per share.,19999,2085597
2024-12-16,Sale at price 102.34 per share.,4360,446202
2024-12-16,Sale at price 102.26 per share.,10000,1022600
2024-12-31,Stock Award(Grant) at price 0.00 per share.,282,0
2024-12-31,Stock Award(Grant) at price 0.00 per share.,436,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,15610,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,4980,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,56877,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,41885,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,18476,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,18732,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,59875,0
2025-01-02,Stock Award(Grant) at price 0.00 per share.,790,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,46207,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,70593,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2068,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2032,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2070,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2223,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2253,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2108,0
2025-01-15,Stock Award(Grant) at price 0.00 per share.,2032,0
2025-03-14,Stock Award(Grant) at price 0.00 per share.,1000,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,460,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,11891,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,12161,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,8108,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,298,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,8108,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,14864,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,10810,0
2025-03-31,Stock Award(Grant) at price 0.00 per share.,10810,0
2025-04-15,Stock Award(Grant) at price 0.00 per share.,82,0
2025-04-15,Stock Award(Grant) at price 0.00 per share.,280,0
2025-04-15,Stock Award(Grant) at price 0.00 per share.,320,0
2025-04-15,Stock Award(Grant) at price 0.00 per share.,114,0
2025-04-15,Stock Award(Grant) at price 0.00 per share.,80,0
2025-06-30,Stock Award(Grant) at price 0.00 per share.,379,0
2025-06-30,Stock Award(Grant) at price 0.00 per share.,585,0
2025-07-15,Stock Award(Grant) at price 0.00 per share.,86,0
2025-07-15,Stock Award(Grant) at price 0.00 per share.,343,0
2025-07-15,Stock Award(Grant) at price 0.00 per share.,118,0
2025-07-15,Stock Award(Grant) at price 0.00 per share.,82,0
2025-07-15,Stock Award(Grant) at price 0.00 per share.,298,0
2025-09-30,Stock Award(Grant) at price 0.00 per share.,330,0
2025-09-30,Stock Award(Grant) at price 0.00 per share.,510,0
2025-10-15,Stock Award(Grant) at price 0.00 per share.,85,0
2025-10-15,Stock Award(Grant) at price 0.00 per share.,88,0
2025-10-15,Stock Award(Grant) at price 0.00 per share.,313,0
2025-10-15,Stock Award(Grant) at price 0.00 per share.,363,0
2025-10-15,Stock Award(Grant) at price 0.00 per share.,122,0
2025-12-10,Purchase at price 45.60 per share.,3100,141360
2025-12-16,Sale at price 46.15 per share.,3486,160879
2025-12-31,Stock Award(Grant) at price 0.00 per share.,562,0
2025-12-31,Stock Award(Grant) at price 0.00 per share.,869,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,58233,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,1590,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,101779,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,1590,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,3070,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,1590,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,10210,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,32035,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,90413,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,3070,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,3070,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,31270,0
2026-01-02,Stock Award(Grant) at price 0.00 per share.,1590,0
2026-01-09,Stock Award(Grant) at price 0.00 per share.,100056,0
2026-01-09,Stock Award(Grant) at price 0.00 per share.,127387,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3493,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3556,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3493,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3558,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3772,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3732,0
2026-01-15,Stock Award(Grant) at price 0.00 per share.,3583,0
2026-02-12,Purchase at price 53.74 - 54.31 per share.,25000,1347889
