date,transactionType,shares,value
2024-03-05,Stock Award(Grant) at price 0.00 per share.,28438,0
2024-03-05,Stock Award(Grant) at price 0.00 per share.,16375,0
2024-03-05,Stock Award(Grant) at price 0.00 per share.,17500,0
2024-03-12,Sale at price 1289.86 - 1290.62 per share.,3150,4064583
2024-03-15,Stock Award(Grant) at price 0.00 per share.,10000,0
2024-03-21,Sale at price 1386.76 - 1389.20 per share.,9160,12715311
2024-03-25,Sale at price 1352.35 per share.,2500,3380875
2024-03-25,Sale at price 1344.00 per share.,5000,6720000
2024-03-28,Sale at price 1318.98 per share.,2500,3297438
2024-03-28,Stock Gift at price 0.00 per share.,7700,0
2024-04-02,Sale at price 1312.25 per share.,2000,2624500
2024-04-03,Sale at price 1367.52 per share.,2500,3418800
2024-04-05,Sale at price 1343.14 per share.,3000,4029435
2024-04-10,Sale at price 1316.46 per share.,2500,3291150
2024-04-10,Sale at price 1323.00 per share.,110,145530
2024-04-15,Stock Gift at price 0.00 per share.,18601,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-04-22,Stock Award(Grant) at price 0.00 per share.,189,0
2024-06-17,Sale at price 1830.95 per share.,2520,4613997
2024-06-17,Sale at price 1800.00 per share.,312,561600
2024-06-20,Sale at price 1750.26 per share.,254,444566
2024-06-21,Stock Gift at price 0.00 per share.,3450,0
2024-06-21,Stock Gift at price 0.00 per share.,30,0
2024-06-26,Stock Gift at price 0.00 per share.,15815,0
2024-07-05,Stock Gift at price 0.00 per share.,8200,0
2024-07-11,Sale at price 17059.50 per share.,7502,127980369
2024-09-17,Sale at price 163.37 per share.,50000,8168550
2024-09-19,Sale at price 168.27 per share.,25200,4240505
2024-09-24,Sale at price 172.94 per share.,150000,25941000
2024-09-25,Sale at price 174.53 per share.,750,130898
2024-09-25,Stock Gift at price 0.00 per share.,142988,0
2024-10-01,Sale at price 167.14 per share.,10000,1671410
2024-10-04,Sale at price 172.32 - 174.87 per share.,40000,6943980
2024-10-07,Sale at price 177.10 per share.,20280,3591547
2024-10-09,Sale at price 182.88 per share.,18900,3456338
2024-10-11,Sale at price 181.45 per share.,18900,3429405
2024-10-11,Sale at price 181.44 per share.,15950,2894048
2024-11-06,Stock Award(Grant) at price 0.00 per share.,1477110,0
2024-12-16,Stock Gift at price 0.00 per share.,137795,0
2024-12-17,Sale at price 240.00 per share.,6540,1569626
2024-12-17,Stock Gift at price 0.00 per share.,1000,0
2024-12-20,Sale at price 229.62 per share.,12570,2886323
2024-12-23,Sale at price 226.68 per share.,15000,3400200
