date,transactionType,shares,value
2024-03-13,Sale at price 85.04 - 86.05 per share.,236000,20210253
2024-03-20,Stock Award(Grant) at price 0.00 per share.,1462,0
2024-04-25,Stock Gift at price 0.00 per share.,950000,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1407,0
2024-06-07,Sale at price 89.92 per share.,3350,301232
2024-08-08,Sale at price 100.32 per share.,2500,250800
2024-08-29,Sale at price 104.51 per share.,134640,14071226
2024-11-26,Sale at price 111.75 per share.,418928,46815204
2024-12-13,Stock Gift at price 0.00 per share.,9370,0
2024-12-13,Stock Gift at price 0.00 per share.,1032,0
2024-12-13,Stock Gift at price 0.00 per share.,2017,0
2024-12-31,Stock Gift at price 0.00 per share.,100360,0
2024-12-31,Stock Gift at price 0.00 per share.,100360,0
2024-12-31,Stock Gift at price 0.00 per share.,100360,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,12456,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,74749,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,8144,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,10636,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,12904,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,18783,0
2025-02-24,Stock Award(Grant) at price 0.00 per share.,13352,0
2025-03-03,Stock Award(Grant) at price 0.00 per share.,3248,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1268,0
2025-08-06,Purchase at price 91.44 per share.,1000,91440
2025-08-08,Purchase at price 93.31 per share.,2678,249884
2025-12-15,Stock Gift at price 0.00 per share.,1422,0
2025-12-17,Stock Gift at price 0.00 per share.,1500,0
2025-12-19,Stock Gift at price 0.00 per share.,3592,0
2025-12-31,Stock Gift at price 0.00 per share.,127034,0
