date,transactionType,shares,value
2024-04-01,Stock Award(Grant) at price 0.00 per share.,71243,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,79159,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,71243,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,197896,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,10687,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,55411,0
2024-05-06,Purchase at price 119.17 - 119.95 per share.,276,33121
2024-05-13,Stock Award(Grant) at price 0.00 per share.,1702,0
2024-06-25,Stock Award(Grant) at price 0.00 per share.,1692,0
2024-07-03,Sale at price 123.00 per share.,116448,14323104
2024-07-09,Stock Award(Grant) at price 0.00 per share.,1736,0
2024-07-12,Stock Award(Grant) at price 0.00 per share.,1636,0
2024-07-30,Sale at price 140.90 per share.,4987,702668
2024-07-31,Sale at price 141.93 per share.,9000,1277370
2024-08-05,Purchase at price 127.36 - 132.49 per share.,268,34868
2024-08-07,Sale at price 131.74 per share.,35000,4610900
2024-09-13,Stock Award(Grant) at price 0.00 per share.,1402,0
2024-09-16,Stock Gift at price 0.00 per share.,2414,0
2024-10-01,Sale at price 150.42 - 153.11 per share.,116448,17561066
2024-11-04,Purchase at price 167.90 - 170.92 per share.,217,36799
2024-11-07,Sale at price 175.94 per share.,42249,7433289
2024-11-08,Stock Award(Grant) at price 0.00 per share.,1242,0
2024-11-13,Stock Gift at price 0.00 per share.,11000,0
2024-12-23,Stock Gift at price 0.00 per share.,575,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,24042,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,41801,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,1314,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,41801,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,12388,0
2025-01-10,Stock Award(Grant) at price 0.00 per share.,33604,0
2025-02-18,Purchase at price 164.82 - 164.86 per share.,375,61926
2025-03-04,Stock Gift at price 0.00 per share.,1242,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,12098,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,67207,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,100811,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,85689,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,100811,0
2025-04-01,Stock Award(Grant) at price 0.00 per share.,201621,0
2025-05-05,Purchase at price 135.86 - 137.14 per share.,295,40342
2025-05-08,Sale at price 138.46 - 139.04 per share.,25000,3461640
2025-06-25,Stock Award(Grant) at price 0.00 per share.,1464,0
2025-07-09,Stock Award(Grant) at price 0.00 per share.,1334,0
2025-07-14,Stock Award(Grant) at price 0.00 per share.,1295,0
2025-08-05,Sale at price 167.19 - 167.83 per share.,100000,16736242
2025-08-07,Sale at price 169.97 per share.,9400,1597718
2025-08-11,Purchase at price 169.72 - 170.61 per share.,274,46699
2025-08-14,Sale at price 172.99 - 174.69 per share.,50850,8829575
2025-09-08,Sale at price 171.46 per share.,21500,3686390
2025-09-09,Stock Gift at price 0.00 per share.,10000,0
2025-09-15,Stock Award(Grant) at price 0.00 per share.,1150,0
2025-09-25,Sale at price 175.67 - 176.40 per share.,113000,19853483
2025-10-29,Purchase at price 151.23 per share.,13170,1991699
2025-11-04,Purchase at price 142.89 - 144.21 per share.,13900,1999635
2025-11-07,Stock Award(Grant) at price 0.00 per share.,1529,0
2025-11-10,Purchase at price 143.40 - 148.92 per share.,402,58835
2025-11-12,Stock Gift at price 0.00 per share.,2244,0
2026-01-12,Stock Award(Grant) at price 0.00 per share.,51216,0
2026-01-12,Stock Award(Grant) at price 0.00 per share.,1656,0
2026-01-12,Stock Award(Grant) at price 0.00 per share.,51216,0
2026-01-12,Stock Award(Grant) at price 0.00 per share.,14959,0
2026-01-12,Stock Award(Grant) at price 0.00 per share.,29458,0
2026-01-12,Stock Award(Grant) at price 0.00 per share.,41174,0
2026-02-17,Purchase at price 130.30 - 131.11 per share.,524,68553
