date,transactionType,shares,value
2024-02-26,Stock Gift at price 0.00 per share.,8081,0
2024-02-28,Conversion of Exercise of derivative security at price 138.35 per share.,7881,1090336
2024-02-28,Sale at price 329.80 per share.,4575,1508835
2024-03-04,Stock Award(Grant) at price 0.00 per share.,2731,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,2510,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,2731,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,2731,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,3543,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,229,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,2731,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,1846,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,12181,0
2024-03-04,Stock Award(Grant) at price 0.00 per share.,5168,0
2024-03-07,Conversion of Exercise of derivative security at price 196.70 - 219.76 per share.,29579,6173152
2024-05-03,Purchase at price 337.39 per share.,500,168695
2024-05-13,Conversion of Exercise of derivative security at price 74.77 - 95.66 per share.,30551,2907531
2024-05-13,Sale at price 356.90 per share.,21847,7797194
2024-05-20,Purchase at price 356.40 per share.,100,35640
2024-05-30,Sale at price 340.00 per share.,1508,512720
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-06-12,Stock Award(Grant) at price 328.73 per share.,517,169953
2024-07-15,Stock Gift at price 0.00 per share.,505,0
2024-07-16,Sale at price 350.00 per share.,1508,527800
2024-08-22,Sale at price 342.48 per share.,2975,1018878
2024-08-30,Conversion of Exercise of derivative security at price 127.60 per share.,5000,638000
2024-08-30,Sale at price 351.36 per share.,3185,1119082
2024-09-04,Purchase at price 338.59 per share.,100,33859
2024-11-01,Sale at price 380.98 per share.,968,368789
2024-11-01,Conversion of Exercise of derivative security at price 196.70 per share.,2000,393400
2024-11-04,Sale at price 378.84 per share.,2664,1009230
2024-11-06,Conversion of Exercise of derivative security at price 127.60 per share.,8000,1020800
2024-11-06,Sale at price 409.84 per share.,5509,2257809
2024-11-06,Sale at price 418.00 per share.,1300,543400
