date,transactionType,shares,value
2024-03-01,Sale at price 60.20 - 60.21 per share.,8332,501601
2024-03-15,Sale at price 50.19 per share.,3500,175665
2024-03-15,Sale at price 49.84 per share.,4166,207628
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-03-21,Stock Award(Grant) at price 0.00 per share.,4438,0
2024-04-01,Sale at price 49.39 per share.,4166,205767
2024-04-01,Sale at price 49.61 per share.,490,24309
2024-04-01,Sale at price 49.61 per share.,533,26442
2024-04-01,Sale at price 49.61 per share.,2792,138511
2024-04-15,Sale at price 45.74 per share.,3156,144355
2024-04-15,Sale at price 45.74 per share.,3500,160090
2024-04-15,Sale at price 44.80 per share.,4166,186627
2024-05-01,Sale at price 46.66 per share.,4166,194366
2024-05-15,Sale at price 49.16 per share.,4166,204809
2024-05-15,Sale at price 49.00 per share.,3500,171500
2024-05-15,Sale at price 49.00 per share.,1288,63112
2024-06-03,Sale at price 47.99 per share.,4166,199927
2024-06-17,Sale at price 46.05 per share.,3500,161175
2024-06-17,Sale at price 46.05 per share.,1289,59358
2024-07-01,Sale at price 48.29 per share.,490,23662
2024-07-01,Sale at price 48.29 per share.,2712,130962
2024-07-15,Sale at price 48.81 per share.,3500,170835
2024-07-15,Sale at price 48.81 per share.,1289,62916
2024-08-15,Sale at price 52.42 per share.,3500,183470
2024-08-15,Sale at price 52.42 per share.,1289,67569
2024-09-16,Sale at price 56.24 per share.,3500,196840
2024-09-16,Sale at price 56.24 per share.,1289,72493
2024-10-01,Sale at price 61.49 per share.,2200,135278
2024-10-15,Sale at price 67.43 per share.,1289,86917
2024-10-15,Sale at price 67.43 per share.,3500,236005
2024-11-15,Sale at price 68.99 per share.,3500,241465
2024-11-15,Sale at price 68.99 per share.,1289,88928
2024-12-16,Sale at price 89.09 per share.,3500,311815
2024-12-16,Sale at price 89.09 per share.,1289,114837
2024-12-17,Stock Award(Grant) at price 0.00 per share.,26798,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,17995,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,16447,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,16310,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,19160,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,33266,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,2494,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,14943,0
2024-12-17,Stock Award(Grant) at price 0.00 per share.,128676,0
2024-12-19,Stock Gift at price 0.00 per share.,44077,0
2024-12-24,Stock Gift at price 0.00 per share.,5000,0
2024-12-26,Sale at price 87.64 per share.,2682,235050
2024-12-26,Sale at price 87.64 per share.,350,30674
2025-01-02,Sale at price 84.64 per share.,5648,478053
2025-01-02,Sale at price 83.64 - 83.68 per share.,13600,1137774
2025-01-06,Sale at price 84.96 per share.,16912,1436852
2025-01-15,Sale at price 85.91 per share.,1502,129037
2025-01-15,Sale at price 85.91 per share.,350,30068
2025-01-15,Sale at price 85.91 per share.,1509,129638
2025-01-15,Sale at price 85.29 - 85.30 per share.,6800,579982
2025-02-03,Sale at price 84.83 - 84.89 per share.,6800,577071
2025-02-18,Sale at price 89.37 - 89.41 per share.,6800,607870
