date,transactionType,shares,value
2024-03-05,Sale at price 48.86 per share.,9100,444636
2024-03-11,Sale at price 50.00 per share.,13942,697100
2024-03-13,Sale at price 50.00 per share.,2497,124850
2024-03-14,Sale at price 50.01 - 50.27 per share.,3239,162034
2024-03-14,Sale at price 50.01 - 50.27 per share.,2666,133359
2024-03-15,Stock Award(Grant) at price 48.93 per share.,694,33957
2024-03-15,Stock Award(Grant) at price 48.93 per share.,776,37970
2024-05-17,Sale at price 48.24 per share.,8016,386701
2024-05-29,Sale at price 46.10 per share.,26331,1213788
2024-05-29,Sale at price 45.89 per share.,3378,155016
2024-06-13,Sale at price 45.42 per share.,762,34610
2024-06-13,Sale at price 45.34 per share.,2619,118759
2024-06-14,Stock Award(Grant) at price 0.00 per share.,2587,0
2024-06-14,Sale at price 45.32 per share.,13896,629767
2024-06-17,Stock Award(Grant) at price 45.69 per share.,744,33993
2024-06-17,Stock Award(Grant) at price 45.69 per share.,831,37968
2024-08-16,Sale at price 49.37 - 49.64 per share.,27143,1342089
2024-08-16,Sale at price 49.30 - 49.63 per share.,7462,368699
2024-08-20,Sale at price 50.00 per share.,22309,1115457
2024-08-21,Sale at price 50.33 per share.,8270,416248
2024-08-28,Sale at price 50.36 per share.,3379,170166
2024-09-12,Sale at price 49.09 per share.,638,31319
2024-09-12,Sale at price 48.95 per share.,2642,129335
2024-09-12,Sale at price 48.92 per share.,1328,64966
2024-09-16,Stock Award(Grant) at price 51.03 per share.,666,33986
2024-09-16,Stock Award(Grant) at price 51.03 per share.,744,37966
2024-09-19,Stock Award(Grant) at price 0.00 per share.,216175,0
2024-09-19,Stock Award(Grant) at price 0.00 per share.,174962,0
2024-09-19,Stock Award(Grant) at price 0.00 per share.,82621,0
2024-09-19,Stock Award(Grant) at price 0.00 per share.,136081,0
2024-09-19,Stock Award(Grant) at price 0.00 per share.,106921,0
2024-11-05,Stock Award(Grant) at price 0.00 per share.,15600,0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,15360,0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,89712,0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,189192,0
2024-11-08,Stock Award(Grant) at price 0.00 per share.,69999,0
2024-11-15,Sale at price 57.49 per share.,58188,3344955
2024-11-15,Sale at price 57.49 per share.,86351,4963896
2024-11-15,Sale at price 57.49 per share.,171744,9872824
2024-11-20,Sale at price 57.07 per share.,21230,1211541
2024-11-27,Sale at price 59.73 per share.,4881,291542
2024-12-06,Sale at price 59.87 per share.,7500,449025
2024-12-09,Stock Award(Grant) at price 0.00 per share.,4156,0
2024-12-09,Stock Award(Grant) at price 0.00 - 58.95 per share.,4732,33955
2024-12-09,Stock Award(Grant) at price 0.00 - 58.95 per share.,4800,37964
2024-12-09,Stock Award(Grant) at price 0.00 per share.,4156,0
2024-12-09,Stock Award(Grant) at price 0.00 per share.,4156,0
2024-12-09,Stock Award(Grant) at price 0.00 per share.,4156,0
2024-12-09,Stock Award(Grant) at price 0.00 per share.,4156,0
2024-12-09,Stock Award(Grant) at price 0.00 per share.,4156,0
2024-12-11,Stock Gift at price 0.00 per share.,4156,0
2024-12-11,Stock Gift at price 0.00 per share.,4156,0
2024-12-12,Sale at price 58.69 per share.,586,34392
2024-12-12,Sale at price 59.21 per share.,2660,157507
2024-12-12,Sale at price 59.19 per share.,3042,180058
2025-02-14,Sale at price 64.01 - 64.81 per share.,31983,2060179
2025-02-14,Sale at price 64.00 - 64.80 per share.,19929,1283703
2025-02-20,Sale at price 64.52 per share.,8973,578958
2025-02-21,Sale at price 64.36 - 64.94 per share.,11808,760031
2025-02-26,Sale at price 63.96 per share.,3485,222901
2025-03-12,Sale at price 60.71 per share.,2856,173393
2025-03-12,Sale at price 60.70 per share.,2065,125344
2025-03-12,Sale at price 60.99 per share.,762,46474
2025-03-17,Stock Award(Grant) at price 60.89 per share.,624,37995
2025-05-12,Stock Award(Grant) at price 0.00 per share.,2328,0
2025-05-16,Sale at price 63.50 per share.,9643,612301
2025-05-16,Sale at price 63.97 per share.,9961,637205
2025-05-28,Sale at price 63.53 per share.,15000,952947
2025-05-28,Sale at price 63.51 per share.,4185,265781
2025-06-05,Stock Award(Grant) at price 0.00 per share.,30951,0
2025-06-05,Sale at price 64.61 per share.,29784,1924434
2025-06-11,Sale at price 64.07 per share.,762,48821
2025-06-12,Sale at price 64.01 - 64.27 per share.,2697,172710
2025-06-12,Sale at price 64.27 per share.,899,57779
2025-06-16,Stock Award(Grant) at price 65.51 per share.,580,37996
2025-06-16,Stock Award(Grant) at price 65.51 per share.,148,9695
2025-06-17,Sale at price 65.52 - 66.12 per share.,8726,571867
2025-06-17,Sale at price 65.51 - 66.08 per share.,15678,1027244
2025-08-15,Sale at price 66.19 - 68.47 per share.,30557,2036057
2025-08-15,Sale at price 68.61 per share.,475,32590
2025-08-15,Sale at price 66.21 - 68.20 per share.,9783,651568
2025-08-15,Sale at price 66.21 - 68.20 per share.,9061,603437
2025-08-19,Sale at price 66.98 per share.,7230,484294
2025-08-20,Sale at price 66.84 per share.,7511,502022
2025-08-25,Sale at price 67.28 per share.,3162,212739
2025-09-11,Sale at price 68.07 - 68.54 per share.,2718,185054
2025-09-11,Sale at price 68.25 per share.,428,29211
2025-09-12,Sale at price 66.78 per share.,1744,116464
2025-09-15,Stock Award(Grant) at price 67.02 per share.,550,36861
2025-09-15,Stock Award(Grant) at price 67.02 per share.,407,27277
2025-09-16,Stock Award(Grant) at price 0.00 per share.,190050,0
2025-09-16,Stock Award(Grant) at price 0.00 per share.,12763,0
2025-09-16,Stock Award(Grant) at price 0.00 per share.,63500,0
2025-09-16,Stock Award(Grant) at price 0.00 per share.,112058,0
2025-09-16,Stock Award(Grant) at price 0.00 per share.,89646,0
2025-09-16,Stock Award(Grant) at price 0.00 per share.,59764,0
2025-09-16,Stock Award(Grant) at price 0.00 per share.,70970,0
2025-09-19,Sale at price 67.84 - 68.42 per share.,17526,1190839
2025-11-10,Stock Award(Grant) at price 0.00 per share.,60895,0
2025-11-10,Stock Award(Grant) at price 0.00 per share.,59083,0
2025-11-10,Stock Award(Grant) at price 0.00 per share.,74492,0
2025-11-10,Stock Award(Grant) at price 0.00 per share.,259130,0
2025-11-10,Stock Award(Grant) at price 0.00 per share.,9492,0
2025-11-10,Stock Award(Grant) at price 0.00 per share.,959689,0
2025-11-10,Stock Award(Grant) at price 0.00 per share.,256057,0
2025-11-14,Sale at price 76.59 - 78.20 per share.,163896,12760201
2025-11-17,Sale at price 76.59 - 78.20 per share.,164604,12815109
2025-11-17,Sale at price 76.56 - 77.98 per share.,5440,416508
2025-11-18,Sale at price 76.58 - 78.95 per share.,602432,46971638
2025-11-18,Sale at price 77.16 - 77.63 per share.,68916,5327200
2025-11-19,Sale at price 77.90 - 78.50 per share.,56038,4389264
2025-11-20,Sale at price 79.21 per share.,13353,1057691
2025-11-24,Sale at price 76.37 - 76.86 per share.,9801,748586
2025-12-11,Sale at price 80.33 per share.,428,34381
2025-12-12,Sale at price 79.46 per share.,1745,138658
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-16,Stock Award(Grant) at price 0.00 - 77.55 per share.,3871,30244
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-16,Stock Award(Grant) at price 77.55 per share.,438,33967
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,3481,0
2025-12-18,Sale at price 77.13 per share.,13481,1039845
2025-12-19,Stock Gift at price 0.00 per share.,3481,0
2025-12-19,Stock Gift at price 0.00 per share.,3481,0
2025-12-19,Sale at price 77.13 - 77.28 per share.,27000,2084855
2026-02-13,Sale at price 74.12 - 76.92 per share.,19545,1485395
2026-02-13,Sale at price 74.12 - 76.92 per share.,11248,854853
2026-02-13,Sale at price 74.24 per share.,51,3786
2026-02-19,Sale at price 78.50 - 79.04 per share.,10233,804268
