date,transactionType,shares,value
2024-03-15,Stock Award(Grant) at price 36.97 per share.,1014,37488
2024-06-14,Stock Award(Grant) at price 32.18 per share.,1165,37490
2024-09-13,Stock Award(Grant) at price 33.52 per share.,1119,37509
2024-11-18,Sale at price 35.39 - 35.40 per share.,118588,4197315
2024-11-18,Conversion of Exercise of derivative security at price 22.69 per share.,70000,1588300
2024-12-13,Stock Award(Grant) at price 33.24 per share.,1128,37495
2024-12-31,Stock Award(Grant) at price 27.43 - 28.43 per share.,732,20461
2025-01-24,Stock Award(Grant) at price 0.00 per share.,19077,0
2025-01-24,Stock Award(Grant) at price 0.00 per share.,17550,0
2025-01-24,Stock Award(Grant) at price 0.00 per share.,3413,0
2025-01-24,Stock Award(Grant) at price 0.00 per share.,24978,0
2025-01-24,Stock Award(Grant) at price 0.00 per share.,3038,0
2025-01-24,Stock Award(Grant) at price 0.00 per share.,74998,0
2025-01-24,Stock Award(Grant) at price 0.00 per share.,18436,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,1861,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,18880,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 33.37 per share.,5694,190009
2025-02-14,Stock Award(Grant) at price 0.00 per share.,74918,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,13186,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,5694,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,9590,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,13935,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,16482,0
2025-02-14,Stock Award(Grant) at price 0.00 per share.,18880,0
2025-02-19,Stock Gift at price 0.00 per share.,30000,0
2025-03-04,Sale at price 31.41 per share.,1500,47115
2025-03-14,Stock Award(Grant) at price 30.01 per share.,1250,37512
2025-06-13,Stock Award(Grant) at price 32.12 per share.,1167,37484
2025-09-15,Stock Award(Grant) at price 32.50 per share.,1154,37505
2025-10-20,Purchase at price 36.87 per share.,55000,2027850
2025-10-20,Sale at price 36.76 per share.,24249,891393
2025-10-20,Conversion of Exercise of derivative security at price 17.94 - 22.70 per share.,24249,488063
2025-10-22,Sale at price 36.09 per share.,31053,1120703
2025-10-22,Conversion of Exercise of derivative security at price 17.59 - 17.94 per share.,31053,551502
2025-11-14,Stock Award(Grant) at price 0.00 per share.,1296,0
2025-12-04,Stock Gift at price 0.00 per share.,10000,0
2025-12-15,Stock Award(Grant) at price 37.18 per share.,1681,62500
2026-01-23,Stock Award(Grant) at price 0.00 per share.,336,0
2026-01-23,Stock Award(Grant) at price 0.00 per share.,3113,0
2026-01-23,Stock Award(Grant) at price 0.00 per share.,2298,0
2026-01-23,Stock Award(Grant) at price 0.00 per share.,355,0
2026-01-23,Stock Award(Grant) at price 0.00 per share.,298,0
2026-01-23,Stock Award(Grant) at price 0.00 per share.,2397,0
2026-01-23,Stock Award(Grant) at price 0.00 per share.,2298,0
2026-01-28,Sale at price 37.48 per share.,66667,2498679
2026-02-03,Sale at price 38.65 per share.,31456,1215774
2026-02-03,Conversion of Exercise of derivative security at price 31.67 per share.,31456,996212
2026-02-19,Sale at price 41.56 per share.,90000,3740400
2026-02-19,Conversion of Exercise of derivative security at price 16.13 - 22.70 per share.,90000,1834264
