date,transactionType,shares,value
2024-04-01,Stock Award(Grant) at price 0.00 per share.,15082,0
2024-04-01,Stock Award(Grant) at price 79.56 per share.,45248,3599931
2024-04-01,Stock Award(Grant) at price 0.00 per share.,28280,0
2024-04-01,Stock Award(Grant) at price 79.56 per share.,10683,849939
2024-04-01,Stock Award(Grant) at price 79.56 per share.,9426,749933
2024-04-01,Stock Award(Grant) at price 0.00 per share.,12569,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,15082,0
2024-04-01,Stock Award(Grant) at price 79.56 per share.,6913,549998
2024-04-01,Stock Award(Grant) at price 0.00 per share.,12569,0
2024-04-01,Stock Award(Grant) at price 0.00 per share.,16339,0
2024-05-02,Purchase at price 54.49 per share.,9181,500294
2024-05-02,Purchase at price 53.88 per share.,1000,53879
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2347,134999
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2184,125624
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2184,125624
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2314,133101
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2912,167498
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2314,133101
2024-05-16,Stock Award(Grant) at price 57.52 per share.,2314,133101
2024-10-23,Purchase at price 56.47 - 62.24 per share.,80,4589
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2364,134984
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2200,125620
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2375,135612
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2200,125620
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2200,125620
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2331,133100
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2200,125620
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2933,167474
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2200,125620
2024-11-21,Stock Award(Grant) at price 57.10 per share.,2331,133100
2024-11-29,Stock Award(Grant) at price 59.85 per share.,50125,2999981
2024-11-29,Stock Award(Grant) at price 59.85 per share.,83542,4999989
2024-11-29,Stock Award(Grant) at price 59.85 per share.,50125,2999981
2024-12-05,Stock Gift at price 56.86 per share.,2665,151532
2025-01-23,Purchase at price 53.70 per share.,24,1289
2025-02-18,Purchase at price 66.70 per share.,30000,2001000
2025-03-05,Sale at price 66.35 per share.,7513,498488
2025-03-05,Conversion of Exercise of derivative security at price 62.21 per share.,7513,467384
2025-03-17,Conversion of Exercise of derivative security at price 62.21 per share.,846,52630
2025-04-01,Stock Award(Grant) at price 67.98 per share.,16181,1099984
2025-04-01,Stock Award(Grant) at price 67.98 per share.,11768,799989
2025-04-01,Stock Award(Grant) at price 67.98 per share.,16181,1099984
2025-04-01,Stock Award(Grant) at price 67.98 per share.,26478,1799974
2025-04-01,Stock Award(Grant) at price 67.98 per share.,20594,1399980
2025-04-01,Stock Award(Grant) at price 67.98 per share.,14710,999986
2025-04-01,Stock Award(Grant) at price 67.98 per share.,21329,1449945
2025-05-06,Sale at price 66.67 - 69.66 per share.,3750000,253695413
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2077,125596
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2263,136844
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2232,134969
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2077,125596
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2077,125596
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2232,134969
2025-05-15,Stock Award(Grant) at price 60.47 per share.,2769,167441
2025-05-15,Stock Award(Grant) at price 60.47 per share.,692,41845
2025-05-15,Stock Award(Grant) at price 60.47 per share.,144,8708
2025-05-30,Stock Award(Grant) at price 64.04 per share.,53091,3399948
2025-05-30,Stock Award(Grant) at price 64.04 per share.,21861,1399978
2025-06-05,Purchase at price 63.70 per share.,1570,100009
2025-08-20,Sale at price 71.02 per share.,7500,532650
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1652,125618
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1775,134971
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1652,125618
2025-11-20,Stock Award(Grant) at price 76.04 per share.,591,44940
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1775,134971
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1652,125618
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1652,125618
2025-11-20,Stock Award(Grant) at price 76.04 per share.,1800,136872
