date,transactionType,shares,value
2024-03-08,,662,
2024-03-08,,5777,
2024-03-28,Stock Award(Grant) at price 116.95 per share.,1195,139767.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,918,107372.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,711,83233.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,826,96636.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,794,92893.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,722,84496.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,795,92999.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,797,93244.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,467,54616.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,873,102109.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,795,92999.0
2024-03-28,Stock Award(Grant) at price 116.95 per share.,803,93946.0
2024-04-01,Sale at price 121.92 per share.,1857,226405.0
2024-05-08,Purchase at price 106.03 per share.,20000,2120628.0
2024-05-09,Sale at price 106.00 per share.,4400,466400.0
2024-06-14,,4640,
2024-06-14,,2435,
2024-06-21,,757,
2024-06-21,,1333,
2024-06-27,,3624,
2024-06-28,Stock Award(Grant) at price 101.51 per share.,1305,132511.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,898,91186.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,966,98120.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,874,88750.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,898,91247.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,821,83431.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,898,91247.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,898,91247.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,898,91247.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,985,99998.0
2024-06-28,Stock Award(Grant) at price 101.51 per share.,898,91186.0
2024-07-17,,1155,
2024-07-17,,1179,
2024-08-08,Purchase at price 85.06 per share.,11756,999994.0
2024-09-27,,45,
2024-09-30,Stock Award(Grant) at price 94.13 per share.,1190,112052.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,976,91909.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,1063,100098.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,1004,94544.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,994,93650.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,1004,94544.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,948,89311.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,1117,105181.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,1534,144461.0
2024-09-30,Stock Award(Grant) at price 94.13 per share.,909,85602.0
2024-11-11,Sale at price 99.99 per share.,2798,279772.0
2024-11-20,Conversion of Exercise of derivative security at price 92.24 per share.,5000,461175.0
2024-11-20,Sale at price 113.62 per share.,5000,568101.0
2024-11-20,,83808,
2024-11-22,Conversion of Exercise of derivative security at price 92.24 per share.,372412,34349421.0
2024-11-22,Sale at price 114.49 - 114.93 per share.,372412,42667113.0
2024-12-11,Conversion of Exercise of derivative security at price 92.24 per share.,8000,737880.0
2024-12-11,Sale at price 114.49 - 114.99 per share.,8000,917920.0
2024-12-13,,4662,
2024-12-13,,6245,
2024-12-13,,5113,
2024-12-13,,46883,
2024-12-13,,11458,
2024-12-13,,12548,
2024-12-17,Sale at price 111.36 per share.,3078,342766.0
2024-12-18,,515,
2024-12-27,,3642,
2024-12-31,Stock Award(Grant) at price 111.88 per share.,815,91249.0
2024-12-31,Stock Award(Grant) at price 111.88 per share.,815,91205.0
2024-12-31,Stock Award(Grant) at price 111.88 per share.,1184,132499.0
2024-12-31,Stock Award(Grant) at price 111.88 per share.,877,98130.0
2024-12-31,Stock Award(Grant) at price 111.88 per share.,793,88754.0
