date,transactionType,shares,value
2024-02-27,Sale at price 107.25 per share.,4800,514810.0
2024-02-29,Stock Gift at price 0.00 per share.,927,0.0
2024-05-02,Sale at price 111.52 per share.,3000,334560.0
2024-05-03,,1333,
2024-05-03,,1333,
2024-05-15,Sale at price 116.00 per share.,10000,1160000.0
2024-06-03,Sale at price 116.61 per share.,1198,139701.0
2024-06-05,Stock Gift at price 0.00 per share.,600,0.0
2024-06-05,Sale at price 115.07 per share.,3500,402738.0
2025-01-31,Stock Gift at price 0.00 per share.,1152,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,6671,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,2189,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,14040,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,15040,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,11047,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,6874,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,8274,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,16516,0.0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,1492,0.0
2025-02-06,Stock Award(Grant) at price 0.00 per share.,1000,0.0
2025-02-19,Sale at price 129.92 per share.,1014,131739.0
2025-02-19,Sale at price 129.56 per share.,3801,492458.0
2025-02-24,Sale at price 132.40 per share.,7062,935009.0
2025-05-02,,1479,
2025-05-02,,1479,
2025-05-02,,1479,
2025-05-05,,1679,
2025-05-05,,1679,
2025-05-05,,1679,
2025-08-14,Sale at price 140.53 per share.,1600,224849.0
2025-08-28,Stock Gift at price 0.00 per share.,725,0.0
2025-09-08,Stock Award(Grant) at price 0.00 per share.,7422,0.0
2025-09-08,Stock Award(Grant) at price 0.00 per share.,7422,0.0
2025-11-03,Stock Award(Grant) at price 0.00 per share.,1868,0.0
2026-01-30,Stock Gift at price 0.00 per share.,1155,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,3130,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,2674,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,18508,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,987,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,6062,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,11845,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,14388,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,1801,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,51028,0.0
2026-02-04,Stock Award(Grant) at price 0.00 per share.,5850,0.0
