date,transactionType,shares,value
2024-03-08,Stock Award(Grant) at price 0.00 per share.,21711,0
2024-03-08,Stock Award(Grant) at price 0.00 per share.,26053,0
2024-03-08,Stock Award(Grant) at price 0.00 per share.,51692,0
2024-03-08,Stock Award(Grant) at price 0.00 per share.,26053,0
2024-03-08,Stock Award(Grant) at price 0.00 per share.,21711,0
2024-03-08,Stock Award(Grant) at price 0.00 per share.,26053,0
2024-03-08,Stock Award(Grant) at price 0.00 per share.,21711,0
2024-03-12,Sale at price 134.41 per share.,11661,1567363
2024-03-12,Sale at price 134.41 per share.,4764,640333
2024-03-12,Sale at price 134.41 per share.,6710,901896
2024-03-12,Sale at price 134.41 per share.,8799,1182680
2024-03-12,Sale at price 131.47 - 134.41 per share.,81007,10802803
2024-03-12,Sale at price 131.50 - 134.41 per share.,20321,2715006
2024-03-12,Sale at price 134.41 per share.,14639,1967638
2024-03-12,Stock Gift at price 0.00 per share.,7736,0
2024-03-15,Sale at price 129.18 - 131.39 per share.,4203,547259
2024-03-25,Sale at price 140.00 per share.,4137,579180
2024-03-28,Sale at price 140.02 - 140.73 per share.,2624,367472
2024-04-08,Sale at price 137.96 - 138.71 per share.,49633,6864136
2024-04-15,Sale at price 137.81 per share.,1990,274242
2024-04-30,Sale at price 126.25 per share.,629,79411
2024-05-15,Sale at price 126.58 per share.,2423,306703
2024-05-17,Stock Gift at price 0.00 per share.,2927,0
2024-05-17,Stock Gift at price 0.00 per share.,3043,0
2024-05-17,Stock Gift at price 0.00 per share.,3306,0
2024-05-17,Stock Gift at price 0.00 per share.,2911,0
2024-05-17,Stock Gift at price 0.00 per share.,2885,0
2024-05-17,Stock Gift at price 0.00 per share.,2906,0
2024-05-17,Stock Gift at price 0.00 per share.,2906,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2618,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2973,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2618,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2618,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2632,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2632,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2613,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2613,0
2024-05-22,Stock Award(Grant) at price 0.00 per share.,2613,0
2024-05-31,Sale at price 119.24 per share.,652,77744
2024-06-10,Sale at price 115.05 per share.,745,85713
2024-06-10,Sale at price 115.05 per share.,427,49127
2024-06-10,Sale at price 115.05 per share.,745,85713
2024-06-14,Sale at price 113.55 per share.,1000,113550
2024-06-18,Sale at price 115.18 - 117.77 per share.,6000,702029
2024-06-28,Sale at price 114.29 per share.,659,75317
2024-07-31,Sale at price 69.55 per share.,652,45347
2024-08-30,Sale at price 70.00 per share.,686,48020
2024-09-09,Sale at price 69.15 per share.,746,51586
2024-09-09,Sale at price 69.15 per share.,426,29458
2024-09-09,Sale at price 69.15 per share.,746,51586
2024-09-16,Sale at price 70.00 per share.,1000,70000
2024-11-15,Sale at price 75.51 per share.,3500,264285
2024-11-20,Sale at price 74.73 per share.,4259,318275
2024-12-16,Sale at price 76.87 per share.,744,57191
2024-12-16,Sale at price 76.87 per share.,424,32593
2024-12-16,Sale at price 76.87 per share.,744,57191
2024-12-16,Sale at price 76.87 per share.,1000,76870
2025-01-28,Stock Award(Grant) at price 0.00 per share.,3048,0
2025-01-28,Stock Award(Grant) at price 0.00 per share.,5586,0
2025-01-28,Stock Award(Grant) at price 0.00 per share.,5586,0
2025-01-28,Stock Award(Grant) at price 0.00 per share.,7107,0
2025-01-28,Stock Award(Grant) at price 0.00 per share.,68503,0
2025-01-29,Sale at price 86.91 per share.,2090,181650
2025-01-29,Sale at price 86.91 per share.,1183,102820
2025-01-29,Sale at price 86.91 per share.,2093,181911
2025-01-29,Sale at price 86.91 per share.,2634,228932
2025-01-29,Sale at price 86.91 per share.,33359,2899367
2025-03-06,Stock Award(Grant) at price 0.00 per share.,5720,0
2025-03-07,Stock Award(Grant) at price 0.00 per share.,52720,0
2025-03-07,Stock Award(Grant) at price 0.00 per share.,58704,0
2025-03-07,Stock Award(Grant) at price 0.00 per share.,52720,0
2025-03-07,Stock Award(Grant) at price 0.00 per share.,58704,0
2025-03-07,Stock Award(Grant) at price 0.00 per share.,85490,0
2025-03-10,Sale at price 73.22 - 74.70 per share.,7000,516830
2025-03-12,Sale at price 70.38 per share.,14076,990670
2025-03-12,Sale at price 70.38 per share.,32498,2287212
2025-03-12,Sale at price 70.38 per share.,12001,844632
2025-03-12,Sale at price 70.38 per share.,13000,914941
2025-03-12,Sale at price 70.38 per share.,11176,786568
2025-03-17,Sale at price 70.33 per share.,352,24756
2025-05-08,Stock Gift at price 0.00 per share.,2613,0
2025-05-08,Stock Gift at price 0.00 per share.,2632,0
2025-05-08,Stock Gift at price 0.00 per share.,2613,0
2025-05-08,Stock Gift at price 0.00 per share.,2618,0
2025-05-08,Stock Gift at price 0.00 per share.,2973,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5046,0
2025-05-08,Stock Gift at price 0.00 per share.,2618,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5046,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5192,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5074,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,1161,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5731,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5074,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5037,0
2025-05-08,Stock Award(Grant) at price 0.00 per share.,5074,0
2025-05-22,Stock Award(Grant) at price 0.00 per share.,68738,0
2025-05-23,Sale at price 84.28 per share.,10000,842849
2025-05-27,Sale at price 85.11 per share.,6184,526318
2025-06-16,Sale at price 82.80 per share.,500,41400
2025-06-16,Sale at price 83.13 per share.,2750,228605
2025-06-16,Sale at price 81.69 - 82.80 per share.,6290,517906
2025-06-26,Sale at price 85.06 per share.,1466,124698
2025-07-15,Sale at price 85.17 - 86.03 per share.,2750,234217
2025-07-15,Sale at price 86.03 per share.,500,43015
2025-07-28,Sale at price 88.99 per share.,1466,130459
2025-08-15,Sale at price 81.02 - 81.54 per share.,2750,222903
2025-08-15,Sale at price 80.29 per share.,500,40145
2025-09-02,Sale at price 74.17 per share.,4824,357796
2025-09-04,Sale at price 80.00 per share.,1466,117280
2025-09-05,Sale at price 80.86 per share.,667,53934
2025-10-24,Stock Award(Grant) at price 0.00 per share.,7166,0
2025-11-10,Sale at price 55.17 per share.,3948,217811
2025-11-10,Purchase at price 54.98 - 55.43 per share.,18200,1001702
2025-11-12,Sale at price 58.07 per share.,1012,58767
2025-11-14,Sale at price 59.05 per share.,2906,171599
2026-01-29,Stock Award(Grant) at price 0.00 per share.,7123,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,7123,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,7123,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,71218,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,8310,0
2026-02-12,Sale at price 68.01 per share.,1012,68826
