date,transactionType,shares,value
2024-04-19,,1996,
2024-05-14,Conversion of Exercise of derivative security at price 71.33 per share.,4374,311997.0
2024-05-15,Sale at price 135.73 per share.,14493,1967135.0
2024-05-17,,787,
2024-05-22,Sale at price 130.62 per share.,12786,1670107.0
2024-05-22,Conversion of Exercise of derivative security at price 76.23 per share.,12786,974677.0
2024-05-30,Sale at price 121.26 per share.,14976,1815990.0
2024-05-30,Conversion of Exercise of derivative security at price 76.23 per share.,14976,1141620.0
2024-08-23,Sale at price 93.61 per share.,3890,364143.0
2024-08-23,Conversion of Exercise of derivative security at price 71.33 per share.,4374,311997.0
2024-08-27,Sale at price 91.93 per share.,3437,315963.0
2024-08-27,Conversion of Exercise of derivative security at price 71.33 per share.,4374,311997.0
2024-09-03,,195940,
2024-11-01,,4596,
2024-11-01,,16600,
2024-11-01,,8468,
2024-11-01,,4370,
2024-11-01,,1640,
2024-11-01,,3079,
2024-11-01,,476,
2024-11-01,,3901,
2024-11-01,,19833,
2024-11-01,Sale at price 67.76 per share.,10969,743259.0
2024-11-01,,10687,
2024-11-01,,8181,
2024-11-14,Purchase at price 65.00 per share.,1000,65000.0
2024-11-14,Purchase at price 63.18 - 64.99 per share.,157000,10045534.0
2024-11-18,Purchase at price 64.00 - 65.57 per share.,153000,9862777.0
2024-11-19,Purchase at price 64.35 - 64.83 per share.,77800,5016181.0
2025-02-05,Purchase at price 65.79 per share.,700,46053.0
2025-02-06,Purchase at price 64.57 - 68.80 per share.,87000,5724373.0
2025-02-07,Purchase at price 64.99 - 65.47 per share.,45500,2957333.0
2025-08-21,Sale at price 88.23 per share.,15699,1385123.0
2025-08-21,Conversion of Exercise of derivative security at price 77.35 per share.,15699,1214318.0
2025-08-22,Sale at price 91.07 per share.,3723,339054.0
2025-08-22,Conversion of Exercise of derivative security at price 84.35 per share.,3972,335038.0
2025-08-25,Conversion of Exercise of derivative security at price 84.35 per share.,3972,335038.0
2025-08-27,,14357,
2025-08-28,Sale at price 91.88 per share.,6417,589594.0
2025-08-29,Sale at price 91.65 per share.,3702,339288.0
2025-08-29,Conversion of Exercise of derivative security at price 84.35 per share.,3972,335038.0
2025-11-03,,7238,
2025-11-03,,10984,
2025-11-03,,3497,
2025-11-03,,6876,
2025-11-03,,3682,
2025-11-03,,1673,
2025-11-03,,3589,
2025-11-03,,9066,
2025-11-04,,2519402,
2025-11-04,,2845283,
2025-11-04,,5670000,
2025-11-06,Sale at price 89.70 per share.,2845283,255221885.0
2025-11-06,Sale at price 89.70 per share.,5670000,508599000.0
2025-11-06,Sale at price 89.70 per share.,2786040,249907788.0
2025-11-11,Sale at price 91.83 per share.,3972,364749.0
2025-11-11,Conversion of Exercise of derivative security at price 84.35 per share.,3972,335038.0
2025-11-18,Sale at price 87.84 per share.,5430,476971.0
2025-11-26,Sale at price 94.45 per share.,1604,151498.0
2025-11-26,Sale at price 94.38 per share.,17840,1683739.0
2025-11-26,Conversion of Exercise of derivative security at price 89.47 per share.,17840,1596145.0
