date,transactionType,shares,value
2024-02-28,Stock Award(Grant) at price 50.60 per share.,1976,99986
2024-02-28,Stock Award(Grant) at price 50.60 per share.,150,7590
2024-02-28,Stock Award(Grant) at price 50.60 per share.,1976,99986
2024-02-28,Stock Award(Grant) at price 50.60 per share.,1976,99986
2024-02-28,Stock Award(Grant) at price 50.60 per share.,1976,99986
2024-03-19,Stock Award(Grant) at price 0.00 per share.,588,0
2024-03-19,Stock Award(Grant) at price 0.00 per share.,784,0
2024-04-24,Sale at price 65.01 per share.,4027,261795
2024-04-26,Sale at price 65.48 per share.,3241,212221
2024-04-26,Conversion of Exercise of derivative security at price 52.20 per share.,3241,169180
2024-05-14,Stock Award(Grant) at price 67.39 per share.,31,2089
2024-05-31,Sale at price 64.23 per share.,3241,208169
2024-05-31,Conversion of Exercise of derivative security at price 52.20 per share.,3241,169180
2024-06-20,Stock Award(Grant) at price 0.00 per share.,3095,0
2024-06-20,Stock Award(Grant) at price 0.00 per share.,3095,0
2024-06-20,Stock Award(Grant) at price 0.00 per share.,2321,0
2024-06-20,Stock Award(Grant) at price 0.00 per share.,3095,0
2024-06-20,Stock Award(Grant) at price 0.00 per share.,3095,0
2024-06-24,Sale at price 69.08 per share.,6357,439142
2024-08-07,Sale at price 71.25 per share.,3000,213750
2024-08-14,Stock Award(Grant) at price 57.84 per share.,28,1620
2024-08-21,Sale at price 72.00 per share.,2986,214992
2024-08-21,Sale at price 72.00 per share.,6484,466848
2024-08-21,Conversion of Exercise of derivative security at price 68.40 per share.,2986,204242
2024-08-21,Conversion of Exercise of derivative security at price 68.40 per share.,4647,317855
2024-08-22,Sale at price 72.52 per share.,11212,813094
2024-08-28,Sale at price 74.20 per share.,1000,74200
2024-11-07,Sale at price 71.50 per share.,2000,143000
2024-11-14,Stock Award(Grant) at price 62.11 per share.,31,1925
2025-01-17,Stock Award(Grant) at price 0.00 per share.,4145,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,7654,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,15308,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,2185,0
2025-01-17,Stock Award(Grant) at price 0.00 per share.,3826,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,20971,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,3827,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,3943,0
2025-02-05,Stock Award(Grant) at price 0.00 per share.,6070,0
2025-02-05,Sale at price 72.21 per share.,2101,151713
2025-02-05,Conversion of Exercise of derivative security at price 68.40 per share.,2101,143708
2025-02-06,Sale at price 72.06 per share.,642,46263
2025-02-06,Sale at price 72.06 - 72.09 per share.,9487,683761
2025-02-06,Sale at price 72.06 per share.,845,60891
2025-02-06,Sale at price 72.06 per share.,4294,309426
2025-02-06,Sale at price 72.06 per share.,12459,897796
2025-02-06,Sale at price 72.06 per share.,5340,384800
2025-02-28,Stock Award(Grant) at price 62.55 per share.,1598,99955
2025-02-28,Stock Award(Grant) at price 62.55 per share.,119,7443
2025-03-17,Purchase at price 69.81 per share.,4,279
2025-05-01,Sale at price 70.55 per share.,1007,71044
2025-05-14,Stock Award(Grant) at price 58.70 per share.,24,1409
2025-07-01,Stock Award(Grant) at price 0.00 per share.,3122,0
2025-07-01,Stock Award(Grant) at price 0.00 per share.,3122,0
2025-07-01,Stock Award(Grant) at price 0.00 per share.,3122,0
2025-07-01,Stock Award(Grant) at price 0.00 per share.,3122,0
2025-07-01,Stock Award(Grant) at price 0.00 per share.,3122,0
2025-08-07,Stock Award(Grant) at price 0.00 per share.,19564,0
2025-08-07,Stock Award(Grant) at price 0.00 per share.,2971,0
2025-08-14,Stock Award(Grant) at price 53.98 per share.,1852,99971
2025-08-14,Stock Award(Grant) at price 53.98 per share.,37,1997
2025-11-14,Stock Award(Grant) at price 50.51 per share.,39,1970
2025-12-30,Stock Gift at price 0.00 per share.,42500,0
2026-01-16,Stock Award(Grant) at price 0.00 per share.,2977,0
2026-01-16,Stock Award(Grant) at price 0.00 per share.,11020,0
2026-01-16,Stock Award(Grant) at price 0.00 per share.,13105,0
2026-02-09,Stock Award(Grant) at price 0.00 per share.,6840,0
2026-02-09,Stock Award(Grant) at price 0.00 per share.,12010,0
2026-02-09,Stock Award(Grant) at price 0.00 per share.,9174,0
2026-02-09,Stock Award(Grant) at price 0.00 per share.,4593,0
2026-02-09,Stock Award(Grant) at price 0.00 per share.,19909,0
2026-02-09,Stock Award(Grant) at price 0.00 per share.,4761,0
2026-02-10,Sale at price 65.13 per share.,656,42725
2026-02-10,Sale at price 65.13 per share.,3637,236878
2026-02-10,Sale at price 65.13 per share.,5765,375474
2026-02-18,Sale at price 63.56 per share.,749,47606
2026-02-18,Sale at price 63.56 per share.,2429,154387
2026-02-18,Sale at price 63.56 per share.,909,57776
