date,transactionType,shares,value
2024-03-01,,3991,
2024-03-01,Stock Award(Grant) at price 0.00 per share.,7788,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,12711,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,14467,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,3267,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,42847,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,2343,0.0
2024-03-01,Stock Award(Grant) at price 0.00 per share.,6211,0.0
2024-03-01,,6512,
2024-03-01,,3182,
2024-03-01,,1200,
2024-03-01,,21950,
2024-03-01,,1674,
2024-03-01,,7411,
2024-03-01,,2416,
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2847,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2847,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2847,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2847,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,2847,0.0
2024-05-08,Stock Award(Grant) at price 0.00 per share.,1424,0.0
2024-08-12,,10686,
2024-08-13,Sale at price 58.86 per share.,3301,194280.0
2024-08-21,Sale at price 58.01 - 58.98 per share.,2847,166464.0
2024-08-27,Sale at price 58.80 per share.,3347,196809.0
2024-09-03,Sale at price 59.63 per share.,9236,550753.0
2024-09-06,,2062,
2024-09-20,,21,
2024-11-13,Sale at price 62.93 per share.,48141,3029552.0
2024-11-27,Sale at price 65.22 per share.,2300,150008.0
2024-12-13,,1733,
2025-02-28,Stock Award(Grant) at price 0.00 per share.,1675,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,732,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,965,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,10052,0.0
2025-02-28,Stock Award(Grant) at price 0.00 per share.,1727,0.0
2025-02-28,,1521,
2025-02-28,,4450,
2025-02-28,,20875,
2025-02-28,,3584,
2025-02-28,,3480,
2025-05-07,Stock Award(Grant) at price 0.00 per share.,2311,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,2311,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,1156,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,2311,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,2311,0.0
2025-05-07,Stock Award(Grant) at price 0.00 per share.,2311,0.0
2025-06-11,Sale at price 67.13 - 67.96 per share.,2311,156500.0
2025-09-15,Sale at price 72.33 per share.,8000,578640.0
2025-10-01,,15337,
2025-10-07,,1704,
2025-12-01,,816,
